rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,118,1,2024-11-04,Louisville,,Morehead State,REG (Non-Conf),W 93-45,*,26,5,7,0.714,2,4,0.5,3,3,1.0,0.857,0,2,0.0,1,2,3,3,0,0,2,0,12,9.7,H,1,1,terrence-edwards-2,Terrence Edwards,2025
2,119,2,2024-11-09,Louisville,,Tennessee,REG (Non-Conf),L 55-77,*,20,2,12,0.167,0,5,0.0,2,7,0.286,0.167,1,1,1.0,1,0,1,0,0,0,0,1,5,-2.3,H,0,1,terrence-edwards-2,Terrence Edwards,2025
3,120,3,2024-11-19,Louisville,,Bellarmine,REG (Non-Conf),W 100-68,*,26,10,14,0.714,4,7,0.571,6,7,0.857,0.857,2,2,1.0,1,3,4,3,0,0,2,2,26,21.1,H,1,1,terrence-edwards-2,Terrence Edwards,2025
4,121,4,2024-11-22,Louisville,,Winthrop,REG (Non-Conf),W 76-61,*,30,3,9,0.333,0,4,0.0,3,5,0.6,0.333,0,0,,2,5,7,2,1,0,5,0,6,1.2,H,1,1,terrence-edwards-2,Terrence Edwards,2025
5,122,5,2024-11-27,Louisville,N,Indiana,REG (Non-Conf),W 89-61,*,24,3,6,0.5,0,3,0.0,3,3,1.0,0.5,2,2,1.0,1,0,1,7,0,0,3,2,8,6.8,N,1,1,terrence-edwards-2,Terrence Edwards,2025
6,123,6,2024-11-28,Louisville,N,West Virginia,REG (Non-Conf),W 79-70 (OT),*,36,4,9,0.444,0,1,0.0,4,8,0.5,0.444,2,2,1.0,4,3,7,1,0,0,2,0,10,7.7,N,1,1,terrence-edwards-2,Terrence Edwards,2025
7,124,7,2024-11-29,Louisville,N,Oklahoma,REG (Non-Conf),L 64-69,*,35,4,12,0.333,1,5,0.2,3,7,0.429,0.375,2,2,1.0,1,1,2,2,0,0,4,1,11,2.2,N,0,1,terrence-edwards-2,Terrence Edwards,2025
8,125,8,2024-12-03,Louisville,,Ole Miss,REG (Non-Conf),L 63-86,*,26,2,13,0.154,0,5,0.0,2,8,0.25,0.154,4,8,0.5,2,0,2,1,0,0,1,4,8,-2.4,H,0,1,terrence-edwards-2,Terrence Edwards,2025
9,126,9,2024-12-08,Louisville,,Duke,REG (Conf),L 65-76,,31,6,12,0.5,3,4,0.75,3,8,0.375,0.625,6,6,1.0,0,2,2,1,2,0,3,2,21,14.5,H,0,1,terrence-edwards-2,Terrence Edwards,2025
10,127,10,2024-12-11,Louisville,,UTEP,REG (Non-Conf),W 77-74,,30,6,13,0.462,2,8,0.25,4,5,0.8,0.538,8,10,0.8,1,2,3,1,2,0,0,1,22,18.1,H,1,1,terrence-edwards-2,Terrence Edwards,2025
