rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,30,1,2024-11-04,Alabama State,@,UNLV,REG (Non-Conf),L 79-93,,17,2,5,0.4,1,4,0.25,1,1,1.0,0.5,0,0,,1,0,1,0,0,0,0,0,5,3.0,A,0,1,tyler-mack-1,Tyler Mack,2025
2,31,2,2024-11-10,Alabama State,@,Louisiana State,REG (Non-Conf),L 61-74,,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,A,0,1,tyler-mack-1,Tyler Mack,2025
3,32,3,2024-11-18,Alabama State,,VU Lynchburg,REG (Non-Conf),W 115-64,,22,4,8,0.5,4,8,0.5,0,0,,0.75,1,2,0.5,0,2,2,1,0,0,0,0,13,9.9,H,1,1,tyler-mack-1,Tyler Mack,2025
4,33,4,2024-11-22,Alabama State,N,Omaha,REG (Non-Conf),W 85-67,,12,0,2,0.0,0,2,0.0,0,0,,0.0,0,0,,0,1,1,0,0,0,0,1,0,-1.5,N,1,1,tyler-mack-1,Tyler Mack,2025
5,34,5,2024-11-23,Alabama State,N,Lamar,REG (Non-Conf),W 77-75,,6,1,2,0.5,1,2,0.5,0,0,,0.75,0,0,,0,0,0,0,0,0,1,1,3,0.6,N,1,1,tyler-mack-1,Tyler Mack,2025
6,35,6,2024-11-24,Alabama State,@,Akron,REG (Non-Conf),L 78-97,,29,6,9,0.667,6,9,0.667,0,0,,1.0,0,0,,1,1,2,2,1,0,0,2,18,16.7,A,0,1,tyler-mack-1,Tyler Mack,2025
7,36,7,2024-11-27,Alabama State,@,Cincinnati,REG (Non-Conf),L 59-77,,21,2,5,0.4,1,4,0.25,1,1,1.0,0.5,0,0,,0,5,5,1,1,0,1,2,5,3.7,A,0,1,tyler-mack-1,Tyler Mack,2025
8,37,8,2024-12-03,Alabama State,@,SMU,REG (Non-Conf),L 72-101,,31,3,7,0.429,3,7,0.429,0,0,,0.643,0,0,,1,5,6,0,1,0,1,0,9,7.5,A,0,1,tyler-mack-1,Tyler Mack,2025
9,38,9,2024-12-05,Alabama State,@,Southern Mississippi,REG (Non-Conf),L 64-81,*,20,1,5,0.2,1,5,0.2,0,0,,0.3,0,0,,0,2,2,0,0,1,0,2,3,0.4,A,0,1,tyler-mack-1,Tyler Mack,2025
10,39,10,2024-12-11,Alabama State,,UT Martin,REG (Non-Conf),W 103-93 (OT),*,29,6,10,0.6,5,7,0.714,1,3,0.333,0.85,0,0,,0,3,3,0,1,0,0,2,17,13.5,H,1,1,tyler-mack-1,Tyler Mack,2025
11,40,11,2024-12-19,Alabama State,N,Norfolk State,REG (Non-Conf),L 54-71,*,22,1,8,0.125,1,7,0.143,0,1,0.0,0.188,0,0,,2,0,2,0,1,0,0,1,3,-0.2,N,0,1,tyler-mack-1,Tyler Mack,2025
12,41,12,2024-12-20,Alabama State,N,Delaware State,REG (Non-Conf),L 80-83,*,18,1,7,0.143,1,7,0.143,0,0,,0.214,0,0,,0,0,0,0,0,0,0,0,3,-1.5,N,0,1,tyler-mack-1,Tyler Mack,2025
13,42,13,2024-12-30,Alabama State,@,Missouri,REG (Non-Conf),L 65-82,,25,4,7,0.571,3,6,0.5,1,1,1.0,0.786,0,0,,0,4,4,0,1,1,1,2,11,8.8,A,0,1,tyler-mack-1,Tyler Mack,2025
14,43,14,2025-01-04,Alabama State,,Mississippi Valley State,REG (Conf),W 84-55,,9,1,1,1.0,1,1,1.0,0,0,,1.5,0,0,,0,0,0,0,0,0,0,1,3,2.3,H,1,1,tyler-mack-1,Tyler Mack,2025
15,44,15,2025-01-06,Alabama State,,Arkansas–Pine Bluff,REG (Conf),W 93-91,,6,1,3,0.333,1,3,0.333,0,0,,0.5,0,0,,0,0,0,0,0,0,0,1,3,0.9,H,1,1,tyler-mack-1,Tyler Mack,2025
16,45,16,2025-01-11,Alabama State,@,Jackson State,REG (Conf),L 70-77,,5,0,0,,0,0,,0,0,,,0,0,,0,2,2,0,0,1,0,1,0,0.9,A,0,1,tyler-mack-1,Tyler Mack,2025
17,46,17,2025-01-13,Alabama State,@,Alcorn State,REG (Conf),L 65-67,,16,3,8,0.375,2,6,0.333,1,2,0.5,0.5,0,0,,1,0,1,1,0,0,0,1,8,4.6,A,0,1,tyler-mack-1,Tyler Mack,2025
18,47,19,2025-01-25,Alabama State,,Prairie View A&M,REG (Conf),W 66-63,,4,1,2,0.5,1,2,0.5,0,0,,0.75,0,0,,0,2,2,0,0,0,0,0,3,2.6,H,1,1,tyler-mack-1,Tyler Mack,2025
19,48,24,2025-02-10,Alabama State,,Southern,REG (Conf),W 82-81,,8,1,4,0.25,1,3,0.333,0,1,0.0,0.375,0,0,,0,0,0,0,0,0,0,0,3,0.6,H,1,1,tyler-mack-1,Tyler Mack,2025
20,49,25,2025-02-15,Alabama State,@,Arkansas–Pine Bluff,REG (Conf),W 75-63,,7,0,2,0.0,0,0,,0,2,0.0,0.0,0,0,,0,2,2,0,0,0,0,2,0,-1.6,A,1,1,tyler-mack-1,Tyler Mack,2025
21,50,26,2025-02-17,Alabama State,@,Mississippi Valley State,REG (Conf),W 79-56,,21,2,3,0.667,2,3,0.667,0,0,,1.0,0,0,,0,3,3,1,0,0,1,3,6,4.1,A,1,1,tyler-mack-1,Tyler Mack,2025
22,51,27,2025-02-22,Alabama State,,Florida A&M,REG (Conf),W 60-59,,9,0,2,0.0,0,2,0.0,0,0,,0.0,0,0,,0,0,0,0,0,0,1,1,0,-2.8,H,1,1,tyler-mack-1,Tyler Mack,2025
23,52,28,2025-02-24,Alabama State,,Bethune-Cookman,REG (Conf),L 68-70,,7,2,6,0.333,1,5,0.2,1,1,1.0,0.417,1,1,1.0,0,0,0,1,1,0,0,1,6,3.9,H,0,1,tyler-mack-1,Tyler Mack,2025
24,53,29,2025-03-01,Alabama State,,Alabama A&M,REG (Conf),W 94-52,,11,0,1,0.0,0,1,0.0,0,0,,0.0,0,0,,0,5,5,1,0,0,0,2,0,0.7,H,1,1,tyler-mack-1,Tyler Mack,2025
25,54,30,2025-03-06,Alabama State,@,Southern,REG (Conf),W 66-65,,9,1,2,0.5,1,2,0.5,0,0,,0.75,0,0,,0,0,0,0,1,0,0,1,3,2.6,A,1,1,tyler-mack-1,Tyler Mack,2025
26,55,31,2025-03-08,Alabama State,@,Grambling State,REG (Conf),W 59-47,,15,1,5,0.2,1,5,0.2,0,0,,0.3,0,0,,0,3,3,1,0,0,0,0,3,1.5,A,1,1,tyler-mack-1,Tyler Mack,2025
27,56,32,2025-03-13,Alabama State,N,Texas Southern,CTOURN,W 84-79,,7,0,0,,0,0,,0,0,,,0,0,,0,0,0,1,0,0,0,0,0,0.7,N,1,0,tyler-mack-1,Tyler Mack,2025
28,57,33,2025-03-14,Alabama State,N,Grambling State,CTOURN,W 64-62,,8,4,4,1.0,4,4,1.0,0,0,,1.5,0,0,,0,0,0,0,0,0,0,0,12,10.8,N,1,0,tyler-mack-1,Tyler Mack,2025
29,58,34,2025-03-15,Alabama State,N,Jackson State,CTOURN,W 60-56,,9,0,4,0.0,0,4,0.0,0,0,,0.0,0,0,,0,1,1,0,0,0,1,1,0,-3.9,N,1,0,tyler-mack-1,Tyler Mack,2025
30,59,35,2025-03-18,Alabama State,N,Saint Francis (PA),FIRST-FOUR,W 70-68,,9,1,1,1.0,1,1,1.0,0,0,,1.5,0,0,,0,2,2,0,0,0,0,0,3,3.3,N,1,0,tyler-mack-1,Tyler Mack,2025
31,60,36,2025-03-20,Alabama State,N,Auburn,ROUND-64,L 63-83,,12,0,4,0.0,0,4,0.0,0,0,,0.0,0,0,,0,1,1,1,0,0,1,1,0,-3.2,N,0,0,tyler-mack-1,Tyler Mack,2025
