rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,92,5,2024-11-21,VCU,N,Seton Hall,REG (Non-Conf),L 66-69 (OT),,26,4,10,0.4,3,8,0.375,1,2,0.5,0.55,4,4,1.0,0,3,3,1,3,1,3,2,15,11.1,N,0,1,zeb-jackson-1,Zeb Jackson,2025
2,93,6,2024-11-22,VCU,N,Nevada,REG (Non-Conf),L 61-64,,29,5,11,0.455,4,9,0.444,1,2,0.5,0.636,4,4,1.0,3,4,7,4,1,0,1,1,18,18.0,N,0,1,zeb-jackson-1,Zeb Jackson,2025
3,94,7,2024-11-24,VCU,N,Miami (FL),REG (Non-Conf),W 77-70,,27,4,9,0.444,1,4,0.25,3,5,0.6,0.5,3,4,0.75,0,3,3,1,1,0,0,0,12,9.5,N,1,1,zeb-jackson-1,Zeb Jackson,2025
4,95,8,2024-11-29,VCU,,Elizabeth City St.,REG (Non-Conf),W 103-58,,19,4,7,0.571,2,4,0.5,2,3,0.667,0.714,4,4,1.0,1,1,2,3,0,0,1,3,14,11.6,H,1,1,zeb-jackson-1,Zeb Jackson,2025
5,96,9,2024-12-04,VCU,,Georgia Southern,REG (Non-Conf),W 89-54,,9,1,3,0.333,0,1,0.0,1,2,0.5,0.333,1,2,0.5,2,1,3,3,0,0,1,0,3,3.7,H,1,1,zeb-jackson-1,Zeb Jackson,2025
6,97,11,2024-12-14,VCU,N,Colorado State,REG (Non-Conf),W 76-68,,13,1,3,0.333,1,2,0.5,0,1,0.0,0.5,1,2,0.5,0,0,0,1,0,0,2,4,4,-1.0,N,1,1,zeb-jackson-1,Zeb Jackson,2025
7,98,12,2024-12-18,VCU,@,New Mexico,REG (Non-Conf),L 71-78,,25,4,9,0.444,2,6,0.333,2,3,0.667,0.556,0,1,0.0,0,2,2,2,1,0,1,3,10,5.7,A,0,1,zeb-jackson-1,Zeb Jackson,2025
8,99,13,2024-12-22,VCU,,William & Mary,REG (Non-Conf),W 90-70,,23,5,11,0.455,2,5,0.4,3,6,0.5,0.545,2,3,0.667,1,4,5,1,2,0,0,2,14,11.7,H,1,1,zeb-jackson-1,Zeb Jackson,2025
9,100,14,2024-12-31,VCU,@,St. Bonaventure,REG (Conf),L 75-77,,24,2,5,0.4,0,3,0.0,2,2,1.0,0.4,2,2,1.0,1,1,2,2,0,0,2,0,6,3.7,A,0,1,zeb-jackson-1,Zeb Jackson,2025
10,101,15,2025-01-04,VCU,@,Loyola Chicago,REG (Conf),W 84-65,,18,4,8,0.5,3,6,0.5,1,2,0.5,0.688,0,0,,2,0,2,1,0,1,2,3,11,6.6,A,1,1,zeb-jackson-1,Zeb Jackson,2025
11,102,16,2025-01-08,VCU,,Fordham,REG (Conf),W 73-61,,23,3,11,0.273,0,5,0.0,3,6,0.5,0.273,2,2,1.0,0,2,2,2,1,0,1,4,8,1.9,H,1,1,zeb-jackson-1,Zeb Jackson,2025
12,103,17,2025-01-14,VCU,,Saint Louis,REG (Conf),W 78-62,,22,0,8,0.0,0,5,0.0,0,3,0.0,0.0,2,2,1.0,3,2,5,0,2,0,1,3,2,-1.1,H,1,1,zeb-jackson-1,Zeb Jackson,2025
13,104,18,2025-01-17,VCU,@,Saint Joseph's,REG (Conf),W 78-69,,28,3,7,0.429,0,3,0.0,3,4,0.75,0.429,8,8,1.0,1,6,7,2,2,0,2,1,14,13.8,A,1,1,zeb-jackson-1,Zeb Jackson,2025
14,105,19,2025-01-21,VCU,@,Rhode Island,REG (Conf),W 81-57,,18,4,10,0.4,1,3,0.333,3,7,0.429,0.45,2,4,0.5,1,1,2,2,2,0,4,2,11,4.4,A,1,1,zeb-jackson-1,Zeb Jackson,2025
15,106,20,2025-01-24,VCU,,St. Bonaventure,REG (Conf),W 75-61,,24,2,10,0.2,1,4,0.25,1,6,0.167,0.25,2,2,1.0,1,8,9,3,1,0,1,0,7,6.0,H,1,1,zeb-jackson-1,Zeb Jackson,2025
16,107,21,2025-01-28,VCU,@,Saint Louis,REG (Conf),L 69-78,,18,4,8,0.5,3,6,0.5,1,2,0.5,0.688,4,4,1.0,0,1,1,1,2,0,0,5,15,12.0,A,0,1,zeb-jackson-1,Zeb Jackson,2025
17,108,22,2025-02-01,VCU,,Richmond,REG (Conf),W 90-49,,16,3,5,0.6,2,3,0.667,1,2,0.5,0.8,2,2,1.0,0,1,1,1,0,0,0,1,10,8.3,H,1,1,zeb-jackson-1,Zeb Jackson,2025
18,109,23,2025-02-04,VCU,,La Salle,REG (Conf),W 96-66,,14,2,5,0.4,1,3,0.333,1,2,0.5,0.5,3,3,1.0,2,3,5,1,1,0,1,1,8,7.9,H,1,1,zeb-jackson-1,Zeb Jackson,2025
19,110,24,2025-02-07,VCU,@,Dayton,REG (Conf),W 73-68,,29,2,11,0.182,0,4,0.0,2,7,0.286,0.182,13,14,0.929,1,4,5,2,1,0,4,1,17,9.6,A,1,1,zeb-jackson-1,Zeb Jackson,2025
20,111,25,2025-02-12,VCU,@,George Washington,REG (Conf),W 80-72,,22,3,5,0.6,3,3,1.0,0,2,0.0,0.9,6,7,0.857,2,2,4,3,2,1,2,2,15,16.3,A,1,1,zeb-jackson-1,Zeb Jackson,2025
21,112,26,2025-02-19,VCU,,Massachusetts,REG (Conf),W 80-51,,16,1,5,0.2,1,3,0.333,0,2,0.0,0.3,2,2,1.0,0,5,5,1,1,0,0,3,5,3.9,H,1,1,zeb-jackson-1,Zeb Jackson,2025
22,113,27,2025-02-22,VCU,,George Mason,REG (Conf),W 70-54,,23,2,8,0.25,1,4,0.25,1,4,0.25,0.313,0,0,,4,1,5,6,2,0,0,4,5,7.9,H,1,1,zeb-jackson-1,Zeb Jackson,2025
23,114,28,2025-02-25,VCU,@,Richmond,REG (Conf),W 78-60,,27,3,7,0.429,2,4,0.5,1,3,0.333,0.571,2,2,1.0,1,5,6,3,1,0,1,1,10,10.2,A,1,1,zeb-jackson-1,Zeb Jackson,2025
24,115,29,2025-02-28,VCU,,Davidson,REG (Conf),W 80-56,,23,3,5,0.6,1,2,0.5,2,3,0.667,0.7,2,2,1.0,0,3,3,3,1,0,1,2,9,8.9,H,1,1,zeb-jackson-1,Zeb Jackson,2025
25,116,30,2025-03-04,VCU,@,Duquesne,REG (Conf),W 71-62,,27,5,12,0.417,3,6,0.5,2,6,0.333,0.542,3,3,1.0,1,3,4,2,2,0,2,3,16,11.4,A,1,1,zeb-jackson-1,Zeb Jackson,2025
26,117,31,2025-03-07,VCU,,Dayton,REG (Conf),L 76-79,*,32,5,16,0.313,2,10,0.2,3,6,0.5,0.375,4,4,1.0,1,2,3,1,2,0,1,2,16,9.0,H,0,1,zeb-jackson-1,Zeb Jackson,2025
27,118,32,2025-03-14,VCU,N,St. Bonaventure,CTOURN,W 76-59,,21,5,11,0.455,0,4,0.0,5,7,0.714,0.455,4,4,1.0,0,1,1,0,0,0,2,3,14,5.4,N,1,0,zeb-jackson-1,Zeb Jackson,2025
28,119,33,2025-03-15,VCU,N,Loyola Chicago,CTOURN,W 62-55,,27,3,7,0.429,0,3,0.0,3,4,0.75,0.429,2,4,0.5,1,3,4,4,0,0,1,2,8,6.1,N,1,0,zeb-jackson-1,Zeb Jackson,2025
29,120,34,2025-03-16,VCU,N,George Mason,CTOURN,W 68-63,,29,1,7,0.143,1,6,0.167,0,1,0.0,0.214,2,2,1.0,0,5,5,3,2,1,3,0,5,3.8,N,1,0,zeb-jackson-1,Zeb Jackson,2025
30,121,35,2025-03-20,VCU,N,Brigham Young,ROUND-64,L 71-80,,28,9,14,0.643,5,10,0.5,4,4,1.0,0.821,0,0,,0,0,0,4,2,0,0,1,23,21.2,N,0,0,zeb-jackson-1,Zeb Jackson,2025
