rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,51,1,2025-11-03,Queens (NC),N,Winthrop,REG (Non-Conf),L 74-81,*,19,4,5,0.8,0,0,,4,5,0.8,0.8,2,2,1.0,0,2,2,0,0,0,2,5,10,4.7,N,0,1,avantae-parker-1,Avantae Parker,2026
2,52,2,2025-11-05,Queens (NC),,Lynchburg,REG (Non-Conf),W 87-76,*,18,3,4,0.75,1,1,1.0,2,3,0.667,0.875,0,0,,0,1,1,2,1,1,4,5,7,2.8,H,1,1,avantae-parker-1,Avantae Parker,2026
3,53,3,2025-11-08,Queens (NC),@,Villanova,REG (Non-Conf),L 74-94,*,13,3,4,0.75,0,0,,3,4,0.75,0.75,3,5,0.6,0,1,1,0,0,0,3,5,9,1.9,A,0,1,avantae-parker-1,Avantae Parker,2026
4,54,4,2025-11-11,Queens (NC),@,Duquesne,REG (Non-Conf),L 81-87 (OT),*,31,3,7,0.429,0,1,0.0,3,6,0.5,0.429,6,8,0.75,3,4,7,4,2,3,2,4,12,14.1,A,0,1,avantae-parker-1,Avantae Parker,2026
5,55,5,2025-11-15,Queens (NC),,Sacred Heart,REG (Non-Conf),W 81-64,*,21,5,10,0.5,0,0,,5,10,0.5,0.5,0,0,,1,4,5,2,1,0,1,1,10,7.9,H,1,1,avantae-parker-1,Avantae Parker,2026
6,56,6,2025-11-20,Queens (NC),,UNC Greensboro,REG (Non-Conf),W 101-94,*,22,6,6,1.0,1,1,1.0,5,5,1.0,1.083,1,1,1.0,1,4,5,1,1,1,0,4,14,14.9,H,1,1,avantae-parker-1,Avantae Parker,2026
7,57,7,2025-11-23,Queens (NC),@,Furman,REG (Non-Conf),L 79-90,*,18,4,5,0.8,0,1,0.0,4,4,1.0,0.8,2,3,0.667,0,3,3,0,0,0,0,5,10,6.6,A,0,1,avantae-parker-1,Avantae Parker,2026
8,58,8,2025-11-28,Queens (NC),@,Virginia,REG (Non-Conf),L 69-94,*,17,1,5,0.2,0,1,0.0,1,4,0.25,0.2,2,4,0.5,2,5,7,0,1,0,4,3,4,-1.2,A,0,1,avantae-parker-1,Avantae Parker,2026
9,59,9,2025-12-03,Queens (NC),,Gardner-Webb,REG (Non-Conf),W 107-74,*,18,9,11,0.818,0,1,0.0,9,10,0.9,0.818,0,2,0.0,2,3,5,1,2,2,1,1,18,18.1,H,1,1,avantae-parker-1,Avantae Parker,2026
10,60,10,2025-12-12,Queens (NC),,South Carolina State,REG (Non-Conf),W 102-78,*,22,3,3,1.0,1,1,1.0,2,2,1.0,1.167,3,4,0.75,2,3,5,4,1,4,1,4,10,15.0,H,1,1,avantae-parker-1,Avantae Parker,2026
11,61,11,2025-12-14,Queens (NC),@,Wake Forest,REG (Non-Conf),L 73-111,*,19,6,6,1.0,0,0,,6,6,1.0,1.0,2,2,1.0,3,1,4,1,0,0,0,4,14,13.7,A,0,1,avantae-parker-1,Avantae Parker,2026
12,62,12,2025-12-16,Queens (NC),@,Arkansas,REG (Non-Conf),L 80-108,*,23,5,7,0.714,0,0,,5,7,0.714,0.714,3,6,0.5,2,1,3,2,2,0,5,3,13,7.8,A,0,1,avantae-parker-1,Avantae Parker,2026
13,63,13,2025-12-29,Queens (NC),@,Auburn,REG (Non-Conf),L 65-106,*,8,3,3,1.0,1,1,1.0,2,2,1.0,1.167,2,3,0.667,0,1,1,0,0,1,0,5,9,6.7,A,0,1,avantae-parker-1,Avantae Parker,2026
14,64,14,2026-01-01,Queens (NC),,Eastern Kentucky,REG (Conf),W 91-89,*,23,6,7,0.857,0,0,,6,7,0.857,0.857,4,9,0.444,1,7,8,2,0,1,2,4,16,12.8,H,1,1,avantae-parker-1,Avantae Parker,2026
15,65,15,2026-01-03,Queens (NC),,Bellarmine,REG (Conf),W 98-76,*,22,3,3,1.0,1,1,1.0,2,2,1.0,1.167,2,3,0.667,5,3,8,1,1,2,1,4,9,12.6,H,1,1,avantae-parker-1,Avantae Parker,2026
16,66,16,2026-01-08,Queens (NC),@,Jacksonville,REG (Conf),W 77-51,*,18,1,3,0.333,0,0,,1,3,0.333,0.333,2,5,0.4,1,1,2,2,0,2,3,2,4,1.1,A,1,1,avantae-parker-1,Avantae Parker,2026
