rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,58,1,2025-11-03,Nebraska,,West Georgia,REG (Non-Conf),W 86-53,*,22,2,5,0.4,0,1,0.0,2,4,0.5,0.4,0,0,,2,5,7,3,0,0,0,0,4,6.3,H,1,1,berke-buyuktuncel-1,Berke Buyuktuncel,2026
2,59,2,2025-11-08,Nebraska,,Florida International,REG (Non-Conf),W 96-66,*,20,4,7,0.571,1,3,0.333,3,4,0.75,0.643,2,4,0.5,1,2,3,3,1,1,2,0,11,10.0,H,1,1,berke-buyuktuncel-1,Berke Buyuktuncel,2026
3,60,3,2025-11-11,Nebraska,,Maryland Eastern Shore,REG (Non-Conf),W 69-50,*,24,2,8,0.25,0,3,0.0,2,5,0.4,0.25,4,5,0.8,1,5,6,1,1,3,2,2,8,6.0,H,1,1,berke-buyuktuncel-1,Berke Buyuktuncel,2026
4,61,4,2025-11-15,Nebraska,N,Oklahoma,REG (Non-Conf),W 105-99,*,32,5,7,0.714,1,1,1.0,4,6,0.667,0.786,5,6,0.833,1,3,4,1,0,0,0,4,16,13.4,N,1,1,berke-buyuktuncel-1,Berke Buyuktuncel,2026
5,62,5,2025-11-20,Nebraska,N,New Mexico,REG (Non-Conf),W 84-72,*,21,2,4,0.5,0,2,0.0,2,2,1.0,0.5,1,2,0.5,3,4,7,1,1,0,2,4,5,4.0,N,1,1,berke-buyuktuncel-1,Berke Buyuktuncel,2026
6,63,6,2025-11-21,Nebraska,N,Kansas State,REG (Non-Conf),W 86-85,*,21,2,9,0.222,0,5,0.0,2,4,0.5,0.222,1,2,0.5,3,5,8,0,0,0,3,0,5,-0.3,N,1,1,berke-buyuktuncel-1,Berke Buyuktuncel,2026
7,64,8,2025-11-29,Nebraska,,USC Upstate,REG (Non-Conf),W 72-63,*,20,2,6,0.333,0,3,0.0,2,3,0.667,0.333,0,0,,3,4,7,1,0,2,1,1,4,4.6,H,1,1,berke-buyuktuncel-1,Berke Buyuktuncel,2026
8,65,9,2025-12-07,Nebraska,,Creighton,REG (Non-Conf),W 71-50,*,29,1,6,0.167,0,2,0.0,1,4,0.25,0.167,4,8,0.5,3,10,13,0,1,1,0,2,6,6.6,H,1,1,berke-buyuktuncel-1,Berke Buyuktuncel,2026
9,66,10,2025-12-10,Nebraska,,Wisconsin,REG (Conf),W 90-60,*,19,4,5,0.8,2,2,1.0,2,3,0.667,1.0,4,4,1.0,2,3,5,1,1,2,1,1,14,16.1,H,1,1,berke-buyuktuncel-1,Berke Buyuktuncel,2026
10,67,11,2025-12-13,Nebraska,@,Illinois,REG (Conf),W 83-80,*,26,1,4,0.25,0,1,0.0,1,3,0.333,0.25,1,2,0.5,1,2,3,1,3,2,0,4,3,5.0,A,1,1,berke-buyuktuncel-1,Berke Buyuktuncel,2026
