rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,68,1,2025-11-04,Iowa,,Robert Morris,REG (Non-Conf),W 101-69,*,13,3,7,0.429,0,0,3,7,0.429,0.429,4,5,0.8,1,0,1,0,1,0,0,2,10,6.8,H,1,1,cam-manyawu-1,Cam Manyawu,2026
2,69,2,2025-11-07,Iowa,,Western Illinois,REG (Non-Conf),W 77-58,*,12,1,2,0.5,0,0,1,2,0.5,0.5,2,2,1.0,0,4,4,0,0,1,0,2,4,4.1,H,1,1,cam-manyawu-1,Cam Manyawu,2026
3,70,3,2025-11-14,Iowa,,Xavier,REG (Non-Conf),W 81-62,*,18,4,8,0.5,0,0,4,8,0.5,0.5,1,2,0.5,3,6,9,0,0,1,0,0,9,9.2,H,1,1,cam-manyawu-1,Cam Manyawu,2026
4,71,4,2025-11-18,Iowa,,Southeast Missouri State,REG (Non-Conf),W 99-70,*,17,4,4,1.0,0,0,4,4,1.0,1.0,4,6,0.667,0,3,3,1,1,0,0,1,12,12.2,H,1,1,cam-manyawu-1,Cam Manyawu,2026
5,72,5,2025-11-20,Iowa,,Chicago State,REG (Non-Conf),W 93-54,*,13,2,2,1.0,0,0,2,2,1.0,1.0,1,2,0.5,2,0,2,2,1,0,0,3,5,6.6,H,1,1,cam-manyawu-1,Cam Manyawu,2026
6,73,6,2025-11-25,Iowa,N,Ole Miss,REG (Non-Conf),W 74-69,*,16,2,4,0.5,0,0,2,4,0.5,0.5,2,2,1.0,2,2,4,1,2,0,0,4,6,7.1,N,1,1,cam-manyawu-1,Cam Manyawu,2026
7,74,7,2025-11-26,Iowa,N,Grand Canyon,REG (Non-Conf),W 59-46,*,23,2,3,0.667,0,0,2,3,0.667,0.667,3,4,0.75,3,0,3,1,0,1,1,4,7,6.2,N,1,1,cam-manyawu-1,Cam Manyawu,2026
8,75,8,2025-12-02,Iowa,@,Michigan State,REG (Conf),L 52-71,*,22,3,5,0.6,0,0,3,5,0.6,0.6,0,0,,3,3,6,0,0,0,0,1,6,6.3,A,0,1,cam-manyawu-1,Cam Manyawu,2026
9,76,9,2025-12-06,Iowa,,Maryland,REG (Conf),W 83-64,*,23,5,7,0.714,0,0,5,7,0.714,0.714,2,3,0.667,2,5,7,3,2,1,3,4,12,11.8,H,1,1,cam-manyawu-1,Cam Manyawu,2026
10,77,10,2025-12-11,Iowa,@,Iowa State,REG (Non-Conf),L 62-66,*,21,5,10,0.5,0,0,5,10,0.5,0.5,0,0,,3,3,6,2,0,1,3,2,10,6.3,A,0,1,cam-manyawu-1,Cam Manyawu,2026
