rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,80,1,2025-11-04,Hawaii,@,Oregon,REG (Non-Conf),L 59-60,*,13,4,9,0.444,1,3,0.333,3,6,0.5,0.5,4,4,1.0,5,3,8,0,3,1,1,5,13,13.4,A,0,1,isaac-johnson-23,Isaac Johnson,2026
2,81,2,2025-11-10,Hawaii,,East Texas A&M,REG (Non-Conf),W 100-74,*,24,3,7,0.429,0,1,0.0,3,6,0.5,0.429,7,10,0.7,5,6,11,1,0,1,2,1,13,12.4,H,1,1,isaac-johnson-23,Isaac Johnson,2026
3,82,3,2025-11-13,Hawaii,,Mississippi Valley State,REG (Non-Conf),W 88-56,*,16,2,3,0.667,0,0,,2,3,0.667,0.667,5,5,1.0,1,4,5,0,0,0,0,2,9,8.8,H,1,1,isaac-johnson-23,Isaac Johnson,2026
4,83,4,2025-11-15,Hawaii,,Manhattan,REG (Non-Conf),W 86-56,*,25,9,14,0.643,4,5,0.8,5,9,0.556,0.786,3,3,1.0,3,8,11,1,0,2,1,2,25,23.6,H,1,1,isaac-johnson-23,Isaac Johnson,2026
5,84,5,2025-11-16,Hawaii,,Utah Tech,REG (Non-Conf),W 68-62,*,26,4,6,0.667,0,2,0.0,4,4,1.0,0.667,6,6,1.0,3,8,11,2,1,1,3,3,14,14.8,H,1,1,isaac-johnson-23,Isaac Johnson,2026
6,85,6,2025-11-21,Hawaii,,Arizona State,REG (Non-Conf),L 76-83,*,31,6,11,0.545,2,4,0.5,4,7,0.571,0.636,9,9,1.0,2,5,7,1,0,2,1,2,23,20.9,H,0,1,isaac-johnson-23,Isaac Johnson,2026
7,86,7,2025-11-25,Hawaii,,Hawaii Pacific,REG (Non-Conf),W 88-76,*,18,3,4,0.75,0,1,0.0,3,3,1.0,0.75,10,10,1.0,0,4,4,0,0,1,0,1,16,15.9,H,1,1,isaac-johnson-23,Isaac Johnson,2026
8,87,8,2025-11-29,Hawaii,,North Dakota,REG (Non-Conf),W 92-55,*,21,5,9,0.556,0,2,0.0,5,7,0.714,0.556,4,4,1.0,0,6,6,3,2,1,1,1,14,14.9,H,1,1,isaac-johnson-23,Isaac Johnson,2026
9,88,9,2025-12-05,Hawaii,,UC Davis,REG (Conf),W 75-69,*,20,2,6,0.333,0,0,,2,6,0.333,0.333,0,0,,0,7,7,2,1,0,3,3,4,0.9,H,1,1,isaac-johnson-23,Isaac Johnson,2026
10,89,10,2025-12-07,Hawaii,,Cal State Fullerton,REG (Conf),W 69-59,*,24,3,11,0.273,1,7,0.143,2,4,0.5,0.318,1,2,0.5,2,3,5,0,0,3,5,1,8,0.1,H,1,1,isaac-johnson-23,Isaac Johnson,2026
11,90,11,2025-12-11,Hawaii,,Hawaii Hilo,REG (Non-Conf),W 98-46,*,15,3,5,0.6,0,0,,3,5,0.6,0.6,0,0,,2,2,4,0,1,0,1,1,6,5.3,H,1,1,isaac-johnson-23,Isaac Johnson,2026
12,91,12,2025-12-14,Hawaii,,UTEP,REG (Non-Conf),W 66-61,*,19,2,5,0.4,0,1,0.0,2,4,0.5,0.4,2,3,0.667,0,2,2,0,0,1,0,2,6,3.4,H,1,1,isaac-johnson-23,Isaac Johnson,2026
13,92,13,2026-01-01,Hawaii,@,UC Riverside,REG (Conf),W 88-45,*,22,7,10,0.7,3,4,0.75,4,6,0.667,0.85,1,2,0.5,2,4,6,3,1,0,2,2,18,16.3,A,1,1,isaac-johnson-23,Isaac Johnson,2026
14,93,14,2026-01-03,Hawaii,@,UC San Diego,REG (Conf),L 73-83,*,22,5,11,0.455,0,4,0.0,5,7,0.714,0.455,0,0,,1,4,5,2,1,1,3,1,10,5.9,A,0,1,isaac-johnson-23,Isaac Johnson,2026
15,94,15,2026-01-11,Hawaii,,UC Irvine,REG (Conf),W 67-66,*,13,5,10,0.5,2,6,0.333,3,4,0.75,0.6,3,3,1.0,3,2,5,1,0,2,3,4,15,10.2,H,1,1,isaac-johnson-23,Isaac Johnson,2026
16,95,16,2026-01-15,Hawaii,@,Cal Poly,REG (Conf),W 86-66,*,20,4,10,0.4,0,2,0.0,4,8,0.5,0.4,3,3,1.0,2,3,5,1,0,2,1,2,11,8.2,A,1,1,isaac-johnson-23,Isaac Johnson,2026
17,96,17,2026-01-17,Hawaii,@,UC Santa Barbara,REG (Conf),L 62-77,*,19,3,8,0.375,1,5,0.2,2,3,0.667,0.438,3,4,0.75,2,0,2,1,0,0,4,1,10,2.9,A,0,1,isaac-johnson-23,Isaac Johnson,2026
18,97,18,2026-01-23,Hawaii,,Cal State Bakersfield,REG (Conf),W 98-71,*,15,4,8,0.5,0,3,0.0,4,5,0.8,0.5,4,4,1.0,1,2,3,2,0,2,1,2,12,10.3,H,1,1,isaac-johnson-23,Isaac Johnson,2026
