rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,34,1,2025-11-03,LIU,@,Notre Dame,REG (Non-Conf),L 67-89,*,29,3,8,0.375,3,6,0.5,0,2,0.0,0.563,3,4,0.75,1,4,5,2,0,0,1,4,12,7.9,A,0,1,jamal-fuller-1,Jamal Fuller,2026
2,35,3,2025-11-11,LIU,@,Air Force,REG (Non-Conf),W 76-72,,31,4,8,0.5,0,0,,4,8,0.5,0.5,6,9,0.667,0,3,3,0,2,0,2,3,14,8.5,A,1,1,jamal-fuller-1,Jamal Fuller,2026
3,36,4,2025-11-15,LIU,,James Madison,REG (Non-Conf),W 88-79,*,32,8,15,0.533,3,4,0.75,5,11,0.455,0.633,2,5,0.4,2,6,8,3,1,1,1,2,21,17.7,H,1,1,jamal-fuller-1,Jamal Fuller,2026
4,37,5,2025-11-20,LIU,@,Fordham,REG (Non-Conf),L 53-69,*,36,6,10,0.6,0,2,0.0,6,8,0.75,0.6,7,7,1.0,0,4,4,1,0,0,2,4,19,12.7,A,0,1,jamal-fuller-1,Jamal Fuller,2026
5,38,6,2025-11-22,LIU,@,Illinois,REG (Non-Conf),L 58-98,*,20,2,5,0.4,1,4,0.25,1,1,1.0,0.5,0,0,,0,4,4,1,0,1,3,3,5,0.7,A,0,1,jamal-fuller-1,Jamal Fuller,2026
6,39,7,2025-11-24,LIU,@,Missouri State,REG (Non-Conf),W 75-61,*,32,6,11,0.545,2,3,0.667,4,8,0.5,0.636,0,0,,1,4,5,0,0,3,3,4,14,8.1,A,1,1,jamal-fuller-1,Jamal Fuller,2026
7,40,8,2025-12-02,LIU,,Winthrop,REG (Non-Conf),L 92-94 (OT),*,42,6,10,0.6,1,3,0.333,5,7,0.714,0.65,7,8,0.875,1,4,5,2,3,1,1,1,20,20.6,H,0,1,jamal-fuller-1,Jamal Fuller,2026
8,41,9,2025-12-06,LIU,@,Lehigh,REG (Non-Conf),W 87-82,*,33,6,9,0.667,4,5,0.8,2,4,0.5,0.889,4,5,0.8,4,2,6,1,0,1,2,5,20,16.5,A,1,1,jamal-fuller-1,Jamal Fuller,2026
9,42,10,2025-12-13,LIU,,La Salle,REG (Non-Conf),W 70-60,*,31,2,8,0.25,1,3,0.333,1,5,0.2,0.313,2,4,0.5,2,3,5,2,2,0,2,2,7,4.3,H,1,1,jamal-fuller-1,Jamal Fuller,2026
10,43,11,2025-12-16,LIU,@,Mississippi State,REG (Non-Conf),L 83-87,*,38,6,12,0.5,3,8,0.375,3,4,0.75,0.625,3,4,0.75,1,9,10,1,3,0,1,4,18,16.1,A,0,1,jamal-fuller-1,Jamal Fuller,2026
11,44,12,2025-12-20,LIU,@,Florida International,REG (Non-Conf),L 79-86,*,31,6,14,0.429,3,6,0.5,3,8,0.375,0.536,3,3,1.0,1,4,5,4,4,1,3,2,18,16.2,A,0,1,jamal-fuller-1,Jamal Fuller,2026
12,45,13,2025-12-29,LIU,@,Georgia,REG (Non-Conf),L 74-89,*,38,6,9,0.667,1,2,0.5,5,7,0.714,0.722,5,8,0.625,3,2,5,4,1,1,2,3,18,16.9,A,0,1,jamal-fuller-1,Jamal Fuller,2026
13,46,14,2026-01-02,LIU,,Central Connecticut State,REG (Conf),W 84-78,*,39,7,12,0.583,4,6,0.667,3,6,0.5,0.75,2,3,0.667,2,7,9,5,1,2,1,2,20,21.6,H,1,1,jamal-fuller-1,Jamal Fuller,2026
