rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,32,1,2025-11-03,Georgia,,Bellarmine,REG (Non-Conf),W 104-59,*,20,2,4,0.5,2,4,0.5,0,0,,0.75,3,3,1.0,1,2,3,2,1,0,0,1,9,10.3,H,1,1,kanon-catchings-1,Kanon Catchings,2026
2,33,2,2025-11-05,Georgia,,Maryland Eastern Shore,REG (Non-Conf),W 94-29,*,20,6,11,0.545,0,5,0.0,6,6,1.0,0.545,2,2,1.0,4,5,9,3,0,2,0,3,14,15.3,H,1,1,kanon-catchings-1,Kanon Catchings,2026
3,34,3,2025-11-09,Georgia,,Morehead State,REG (Non-Conf),W 120-81,*,16,5,10,0.5,4,8,0.5,1,2,0.5,0.7,0,1,0.0,2,4,6,2,1,1,1,2,14,12.5,H,1,1,kanon-catchings-1,Kanon Catchings,2026
4,35,4,2025-11-14,Georgia,,Georgia Tech,REG (Non-Conf),W 92-87,*,18,2,10,0.2,0,6,0.0,2,4,0.5,0.2,2,2,1.0,2,3,5,1,0,0,1,4,6,0.2,H,1,1,kanon-catchings-1,Kanon Catchings,2026
5,36,5,2025-11-17,Georgia,,Florida A&M,REG (Non-Conf),W 87-57,*,17,1,2,0.5,0,1,0.0,1,1,1.0,0.5,1,2,0.5,0,2,2,0,0,0,1,1,3,0.8,H,1,1,kanon-catchings-1,Kanon Catchings,2026
6,37,6,2025-11-21,Georgia,N,Xavier,REG (Non-Conf),W 78-77,*,17,1,9,0.111,1,6,0.167,0,3,0.0,0.167,0,0,,0,3,3,2,0,2,1,3,3,-1.4,N,1,1,kanon-catchings-1,Kanon Catchings,2026
7,38,7,2025-11-23,Georgia,N,Clemson,REG (Non-Conf),L 94-97 (OT),*,20,2,8,0.25,1,5,0.2,1,3,0.333,0.313,2,3,0.667,0,2,2,2,0,0,2,2,7,1.0,N,0,1,kanon-catchings-1,Kanon Catchings,2026
8,39,8,2025-11-29,Georgia,,Tennessee Tech,REG (Non-Conf),W 123-81,*,25,6,12,0.5,3,9,0.333,3,3,1.0,0.625,2,2,1.0,1,6,7,1,1,1,2,0,17,13.9,H,1,1,kanon-catchings-1,Kanon Catchings,2026
9,40,9,2025-12-02,Georgia,@,Florida State,REG (Non-Conf),W 107-73,*,23,7,12,0.583,1,5,0.2,6,7,0.857,0.625,2,3,0.667,3,3,6,0,2,0,1,0,17,15.0,A,1,1,kanon-catchings-1,Kanon Catchings,2026
10,41,10,2025-12-13,Georgia,N,Cincinnati,REG (Non-Conf),W 84-65,*,26,1,4,0.25,1,2,0.5,0,2,0.0,0.375,0,0,,1,6,7,2,0,0,2,2,3,1.7,N,1,1,kanon-catchings-1,Kanon Catchings,2026
