rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,39,1,2025-11-03,Queens (NC),N,Winthrop,REG (Non-Conf),L 74-81,*,35,5,13,0.385,0,2,0.0,5,11,0.455,0.385,2,2,1.0,5,5,10,1,0,0,2,1,12,8.2,N,0,1,nasir-mann-1,Nasir Mann,2026
2,40,2,2025-11-05,Queens (NC),,Lynchburg,REG (Non-Conf),W 87-76,*,27,1,4,0.25,1,3,0.333,0,1,0.0,0.375,5,6,0.833,2,8,10,3,0,0,1,4,8,8.5,H,1,1,nasir-mann-1,Nasir Mann,2026
3,41,3,2025-11-08,Queens (NC),@,Villanova,REG (Non-Conf),L 74-94,*,31,9,11,0.818,1,2,0.5,8,9,0.889,0.864,2,2,1.0,2,3,5,2,0,1,2,0,21,19.3,A,0,1,nasir-mann-1,Nasir Mann,2026
4,42,4,2025-11-11,Queens (NC),@,Duquesne,REG (Non-Conf),L 81-87 (OT),*,39,7,15,0.467,2,4,0.5,5,11,0.455,0.533,0,0,,3,2,5,0,3,0,2,3,16,10.8,A,0,1,nasir-mann-1,Nasir Mann,2026
5,43,5,2025-11-15,Queens (NC),,Sacred Heart,REG (Non-Conf),W 81-64,*,32,6,10,0.6,2,6,0.333,4,4,1.0,0.7,1,1,1.0,2,4,6,4,2,0,2,3,15,14.6,H,1,1,nasir-mann-1,Nasir Mann,2026
6,44,6,2025-11-20,Queens (NC),,UNC Greensboro,REG (Non-Conf),W 101-94,*,29,3,10,0.3,0,3,0.0,3,7,0.429,0.3,6,6,1.0,3,2,5,5,0,0,1,2,12,10.6,H,1,1,nasir-mann-1,Nasir Mann,2026
7,45,7,2025-11-23,Queens (NC),@,Furman,REG (Non-Conf),L 79-90,*,33,6,10,0.6,2,3,0.667,4,7,0.571,0.7,0,0,,2,1,3,4,1,0,1,1,14,13.5,A,0,1,nasir-mann-1,Nasir Mann,2026
8,46,8,2025-11-28,Queens (NC),@,Virginia,REG (Non-Conf),L 69-94,*,31,7,11,0.636,1,4,0.25,6,7,0.857,0.682,3,3,1.0,2,1,3,0,2,0,2,2,18,14.0,A,0,1,nasir-mann-1,Nasir Mann,2026
9,47,9,2025-12-03,Queens (NC),,Gardner-Webb,REG (Non-Conf),W 107-74,*,25,8,12,0.667,3,5,0.6,5,7,0.714,0.792,1,3,0.333,2,4,6,2,0,0,1,1,20,16.6,H,1,1,nasir-mann-1,Nasir Mann,2026
10,48,10,2025-12-12,Queens (NC),,South Carolina State,REG (Non-Conf),W 102-78,*,28,6,9,0.667,2,3,0.667,4,6,0.667,0.778,9,12,0.75,1,5,6,6,2,1,0,1,23,26.6,H,1,1,nasir-mann-1,Nasir Mann,2026
