rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,101,1,2025-11-03,Clemson,,New Hampshire,REG (Non-Conf),W 88-38,*,20,3,4,0.75,1,1,1.0,2,3,0.667,0.875,3,4,0.75,1,4,5,1,0,1,0,1,10,10.9,H,1,1,nick-davidson-2,Nick Davidson,2026
2,102,2,2025-11-07,Clemson,,Gardner-Webb,REG (Non-Conf),W 97-59,*,22,6,10,0.6,1,3,0.333,5,7,0.714,0.65,5,8,0.625,5,1,6,2,2,0,0,1,18,19.0,H,1,1,nick-davidson-2,Nick Davidson,2026
3,103,3,2025-11-11,Clemson,,Morehead State,REG (Non-Conf),W 83-56,*,27,1,6,0.167,0,2,0.0,1,4,0.25,0.167,4,4,1.0,4,3,7,1,2,0,2,2,6,5.8,H,1,1,nick-davidson-2,Nick Davidson,2026
4,104,4,2025-11-15,Clemson,@,Georgetown,REG (Non-Conf),L 74-79,*,31,6,13,0.462,1,4,0.25,5,9,0.556,0.5,0,1,0.0,3,2,5,0,0,0,1,3,13,6.4,A,0,1,nick-davidson-2,Nick Davidson,2026
5,105,5,2025-11-17,Clemson,,North Alabama,REG (Non-Conf),W 81-61,*,17,1,3,0.333,0,1,0.0,1,2,0.5,0.333,0,0,,0,1,1,3,0,1,2,0,2,1.4,H,1,1,nick-davidson-2,Nick Davidson,2026
6,106,6,2025-11-21,Clemson,N,West Virginia,REG (Non-Conf),W 70-67,*,16,0,2,0.0,0,0,,0,2,0.0,0.0,0,0,,0,2,2,2,0,0,0,1,0,0.2,N,1,1,nick-davidson-2,Nick Davidson,2026
7,107,7,2025-11-23,Clemson,N,Georgia,REG (Non-Conf),W 97-94 (OT),,22,1,8,0.125,0,1,0.0,1,7,0.143,0.125,4,6,0.667,2,7,9,2,1,0,0,2,6,5.1,N,1,1,nick-davidson-2,Nick Davidson,2026
8,108,8,2025-11-28,Clemson,,Alabama A&M,REG (Non-Conf),W 92-56,*,16,2,5,0.4,0,1,0.0,2,4,0.5,0.4,2,2,1.0,3,3,6,2,0,0,0,3,6,6.5,H,1,1,nick-davidson-2,Nick Davidson,2026
9,109,9,2025-12-03,Clemson,@,Alabama,REG (Non-Conf),L 84-90,,14,4,6,0.667,0,0,,4,6,0.667,0.667,3,4,0.75,1,2,3,1,0,0,0,0,11,10.0,A,0,1,nick-davidson-2,Nick Davidson,2026
10,110,10,2025-12-09,Clemson,N,Brigham Young,REG (Non-Conf),L 64-67,*,21,2,6,0.333,0,3,0.0,2,3,0.667,0.333,2,2,1.0,2,2,4,3,0,1,1,0,6,6.4,N,0,1,nick-davidson-2,Nick Davidson,2026
11,111,11,2025-12-13,Clemson,,Mercer,REG (Non-Conf),W 70-63,*,32,5,6,0.833,1,2,0.5,4,4,1.0,0.917,1,2,0.5,1,4,5,0,0,1,1,2,12,10.2,H,1,1,nick-davidson-2,Nick Davidson,2026
12,112,12,2025-12-16,Clemson,,South Carolina,REG (Non-Conf),W 68-61,*,24,2,4,0.5,1,2,0.5,1,2,0.5,0.625,4,6,0.667,0,2,2,1,1,0,5,2,9,2.7,H,1,1,nick-davidson-2,Nick Davidson,2026
13,113,13,2025-12-21,Clemson,N,Cincinnati,REG (Non-Conf),W 68-65,,26,4,5,0.8,2,2,1.0,2,3,0.667,1.0,0,0,,0,4,4,3,1,0,1,4,10,9.8,N,1,1,nick-davidson-2,Nick Davidson,2026
14,114,14,2025-12-31,Clemson,@,Syracuse,REG (Conf),W 64-61,,22,2,5,0.4,0,2,0.0,2,3,0.667,0.4,1,2,0.5,1,3,4,1,1,0,1,3,5,3.0,A,1,1,nick-davidson-2,Nick Davidson,2026
15,115,15,2026-01-03,Clemson,@,Pittsburgh,REG (Conf),W 73-68,,19,5,7,0.714,1,3,0.333,4,4,1.0,0.786,3,4,0.75,1,2,3,2,0,0,1,3,14,11.2,A,1,1,nick-davidson-2,Nick Davidson,2026
16,116,16,2026-01-07,Clemson,,SMU,REG (Conf),W 74-70,,26,2,6,0.333,0,2,0.0,2,4,0.5,0.333,5,6,0.833,1,3,4,0,0,0,0,1,9,6.4,H,1,1,nick-davidson-2,Nick Davidson,2026
17,117,17,2026-01-10,Clemson,@,Notre Dame,REG (Conf),W 76-61,,13,1,3,0.333,1,2,0.5,0,1,0.0,0.5,0,0,,0,3,3,0,0,1,0,3,3,1.7,A,1,1,nick-davidson-2,Nick Davidson,2026
18,118,18,2026-01-13,Clemson,,Boston College,REG (Conf),W 74-50,,25,8,11,0.727,4,6,0.667,4,5,0.8,0.909,5,5,1.0,1,2,3,0,2,1,2,4,25,20.9,H,1,1,nick-davidson-2,Nick Davidson,2026
19,119,19,2026-01-17,Clemson,,Miami (FL),REG (Conf),W 69-59,,20,3,7,0.429,0,1,0.0,3,6,0.5,0.429,1,3,0.333,1,3,4,1,2,1,1,0,7,6.5,H,1,1,nick-davidson-2,Nick Davidson,2026
20,120,20,2026-01-20,Clemson,,NC State,REG (Conf),L 76-80 (OT),,14,3,3,1.0,0,0,,3,3,1.0,1.0,0,0,,2,0,2,0,0,0,2,1,6,4.1,H,0,1,nick-davidson-2,Nick Davidson,2026
21,121,21,2026-01-24,Clemson,@,Georgia Tech,REG (Conf),W 77-63,,30,5,10,0.5,1,4,0.25,4,6,0.667,0.55,2,3,0.667,2,4,6,0,0,2,2,2,13,8.8,A,1,1,nick-davidson-2,Nick Davidson,2026
22,122,22,2026-01-31,Clemson,,Pittsburgh,REG (Conf),W 63-52,,24,5,8,0.625,2,4,0.5,3,4,0.75,0.75,0,0,,0,2,2,1,0,0,2,4,12,6.1,H,1,1,nick-davidson-2,Nick Davidson,2026
23,123,23,2026-02-04,Clemson,@,Stanford,REG (Conf),W 66-64,,30,5,6,0.833,2,2,1.0,3,4,0.75,1.0,4,5,0.8,1,6,7,0,0,1,0,1,16,16.2,A,1,1,nick-davidson-2,Nick Davidson,2026
24,124,24,2026-02-07,Clemson,@,California,REG (Conf),W 77-55,,22,2,5,0.4,1,4,0.25,1,1,1.0,0.5,0,0,,1,3,4,3,0,0,1,1,5,4.6,A,1,1,nick-davidson-2,Nick Davidson,2026
25,125,25,2026-02-11,Clemson,,Virginia Tech,REG (Conf),L 66-76,,26,7,9,0.778,1,2,0.5,6,7,0.857,0.833,1,4,0.25,2,1,3,0,1,0,4,1,16,9.6,H,0,1,nick-davidson-2,Nick Davidson,2026
26,126,26,2026-02-14,Clemson,@,Duke,REG (Conf),L 54-67,,17,3,5,0.6,1,1,1.0,2,4,0.5,0.7,0,0,,0,0,0,2,0,0,1,2,7,4.3,A,0,1,nick-davidson-2,Nick Davidson,2026
27,127,27,2026-02-18,Clemson,@,Wake Forest,REG (Conf),L 77-85,,21,2,7,0.286,1,4,0.25,1,3,0.333,0.357,4,6,0.667,1,2,3,0,0,0,0,2,9,4.6,A,0,1,nick-davidson-2,Nick Davidson,2026
28,128,28,2026-02-21,Clemson,,Florida State,REG (Conf),L 65-70,,17,1,5,0.2,0,3,0.0,1,2,0.5,0.2,0,0,,1,1,2,2,0,2,1,2,2,0.9,H,0,1,nick-davidson-2,Nick Davidson,2026
29,129,29,2026-02-28,Clemson,,Louisville,REG (Conf),W 80-75,,20,2,5,0.4,0,1,0.0,2,4,0.5,0.4,0,0,,0,3,3,2,2,1,1,2,4,4.5,H,1,1,nick-davidson-2,Nick Davidson,2026
30,130,30,2026-03-03,Clemson,@,North Carolina,REG (Conf),L 63-67,,10,3,9,0.333,0,5,0.0,3,4,0.75,0.333,0,0,,1,1,2,0,0,0,1,4,6,-0.7,A,0,1,nick-davidson-2,Nick Davidson,2026
31,131,31,2026-03-07,Clemson,,Georgia Tech,REG (Conf),W 79-76,*,23,6,8,0.75,3,5,0.6,3,3,1.0,0.938,0,0,,1,1,2,0,0,0,0,5,15,10.8,H,1,1,nick-davidson-2,Nick Davidson,2026
32,132,32,2026-03-11,Clemson,N,Wake Forest,CTOURN,W 71-62,,22,4,8,0.5,0,3,0.0,4,5,0.8,0.5,0,2,0.0,3,4,7,1,0,0,0,0,8,7.2,N,1,0,nick-davidson-2,Nick Davidson,2026
33,133,33,2026-03-12,Clemson,N,North Carolina,CTOURN,W 80-79,,22,5,6,0.833,4,4,1.0,1,2,0.5,1.167,3,6,0.5,0,11,11,0,0,0,2,4,17,13.3,N,1,0,nick-davidson-2,Nick Davidson,2026
34,134,34,2026-03-13,Clemson,N,Duke,CTOURN,L 61-73,,27,1,5,0.2,0,2,0.0,1,3,0.333,0.2,1,2,0.5,0,5,5,1,1,0,1,2,3,0.9,N,0,0,nick-davidson-2,Nick Davidson,2026
