rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,103,1,2025-11-03,Clemson,,New Hampshire,REG (Non-Conf),W 88-38,*,22,4,6,0.667,0,1,0.0,4,5,0.8,0.667,1,2,0.5,1,8,9,3,0,0,2,1,9,8.8,H,1,1,rj-godfrey-1,RJ Godfrey,2026
2,104,2,2025-11-07,Clemson,,Gardner-Webb,REG (Non-Conf),W 97-59,*,23,5,5,1.0,0,0,,5,5,1.0,1.0,3,3,1.0,0,6,6,3,2,1,0,2,13,17.3,H,1,1,rj-godfrey-1,RJ Godfrey,2026
3,105,3,2025-11-11,Clemson,,Morehead State,REG (Non-Conf),W 83-56,*,28,5,8,0.625,0,0,,5,8,0.625,0.625,3,4,0.75,7,4,11,3,2,0,0,4,13,17.6,H,1,1,rj-godfrey-1,RJ Godfrey,2026
4,106,4,2025-11-15,Clemson,@,Georgetown,REG (Non-Conf),L 74-79,*,12,1,3,0.333,0,0,,1,3,0.333,0.333,1,2,0.5,1,0,1,0,0,0,0,3,3,0.4,A,0,1,rj-godfrey-1,RJ Godfrey,2026
5,107,5,2025-11-17,Clemson,,North Alabama,REG (Non-Conf),W 81-61,,29,6,8,0.75,0,1,0.0,6,7,0.857,0.75,4,4,1.0,2,4,6,3,1,2,0,3,16,18.7,H,1,1,rj-godfrey-1,RJ Godfrey,2026
6,108,6,2025-11-21,Clemson,N,West Virginia,REG (Non-Conf),W 70-67,,28,6,8,0.75,0,0,,6,8,0.75,0.75,2,3,0.667,3,3,6,3,0,3,1,1,14,16.2,N,1,1,rj-godfrey-1,RJ Godfrey,2026
7,109,7,2025-11-23,Clemson,N,Georgia,REG (Non-Conf),W 97-94 (OT),*,24,4,6,0.667,0,0,,4,6,0.667,0.667,4,6,0.667,4,3,7,2,1,0,2,4,12,11.1,N,1,1,rj-godfrey-1,RJ Godfrey,2026
8,110,8,2025-11-28,Clemson,,Alabama A&M,REG (Non-Conf),W 92-56,*,20,4,7,0.571,0,0,,4,7,0.571,0.571,2,2,1.0,3,5,8,1,0,0,2,2,10,8.2,H,1,1,rj-godfrey-1,RJ Godfrey,2026
9,111,9,2025-12-03,Clemson,@,Alabama,REG (Non-Conf),L 84-90,*,32,6,10,0.6,0,0,,6,10,0.6,0.6,7,9,0.778,1,3,4,3,1,1,3,2,19,15.2,A,0,1,rj-godfrey-1,RJ Godfrey,2026
10,112,10,2025-12-09,Clemson,N,Brigham Young,REG (Non-Conf),L 64-67,,24,5,7,0.714,0,0,,5,7,0.714,0.714,3,3,1.0,4,1,5,2,0,1,0,3,13,14.1,N,0,1,rj-godfrey-1,RJ Godfrey,2026
11,113,11,2025-12-13,Clemson,,Mercer,REG (Non-Conf),W 70-63,*,25,4,6,0.667,0,0,,4,6,0.667,0.667,1,3,0.333,0,8,8,1,1,0,2,2,9,6.9,H,1,1,rj-godfrey-1,RJ Godfrey,2026
12,114,12,2025-12-16,Clemson,,South Carolina,REG (Non-Conf),W 68-61,*,13,2,6,0.333,0,0,,2,6,0.333,0.333,2,2,1.0,0,3,3,0,0,1,2,4,6,0.6,H,1,1,rj-godfrey-1,RJ Godfrey,2026
