rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,105,1,2025-11-03,Louisville,,South Carolina State,REG (Non-Conf),W 104-45,*,19,2,3,0.667,1,2,0.5,1,1,1.0,0.833,7,8,0.875,0,3,3,2,2,0,1,5,12,11.6,H,1,1,ryan-conwell-1,Ryan Conwell,2026
2,106,2,2025-11-06,Louisville,,Jackson State,REG (Non-Conf),W 106-70,*,27,5,13,0.385,4,10,0.4,1,3,0.333,0.538,5,6,0.833,2,6,8,1,0,0,0,2,19,14.6,H,1,1,ryan-conwell-1,Ryan Conwell,2026
3,107,3,2025-11-11,Louisville,,Kentucky,REG (Non-Conf),W 96-88,*,32,6,16,0.375,4,10,0.4,2,6,0.333,0.5,8,12,0.667,1,0,1,2,2,0,0,4,24,16.1,H,1,1,ryan-conwell-1,Ryan Conwell,2026
4,108,4,2025-11-15,Louisville,,Ohio,REG (Non-Conf),W 106-81,*,27,7,14,0.5,5,10,0.5,2,4,0.5,0.679,3,4,0.75,2,4,6,3,3,0,2,4,22,18.7,H,1,1,ryan-conwell-1,Ryan Conwell,2026
5,109,5,2025-11-21,Louisville,N,Cincinnati,REG (Non-Conf),W 74-64,*,34,8,15,0.533,5,10,0.5,3,5,0.6,0.7,4,4,1.0,2,3,5,2,0,0,1,3,25,19.2,N,1,1,ryan-conwell-1,Ryan Conwell,2026
6,110,6,2025-11-24,Louisville,,Eastern Michigan,REG (Non-Conf),W 87-46,*,20,3,8,0.375,1,5,0.2,2,3,0.667,0.438,0,0,,0,6,6,1,2,0,2,1,7,4.7,H,1,1,ryan-conwell-1,Ryan Conwell,2026
7,111,7,2025-11-26,Louisville,,NJIT,REG (Non-Conf),W 104-47,*,24,9,17,0.529,8,15,0.533,1,2,0.5,0.765,6,6,1.0,2,7,9,6,1,0,1,2,32,30.6,H,1,1,ryan-conwell-1,Ryan Conwell,2026
8,112,8,2025-12-03,Louisville,@,Arkansas,REG (Non-Conf),L 80-89,*,33,4,16,0.25,3,12,0.25,1,4,0.25,0.344,4,4,1.0,0,1,1,4,0,0,5,5,15,1.5,A,0,1,ryan-conwell-1,Ryan Conwell,2026
9,113,9,2025-12-06,Louisville,N,Indiana,REG (Non-Conf),W 87-78,*,31,4,10,0.4,3,7,0.429,1,3,0.333,0.55,10,11,0.909,0,4,4,2,1,1,2,4,21,15.9,N,1,1,ryan-conwell-1,Ryan Conwell,2026
10,114,10,2025-12-13,Louisville,,Memphis,REG (Non-Conf),W 99-73,*,26,5,11,0.455,3,7,0.429,2,4,0.5,0.591,4,4,1.0,0,2,2,2,0,1,3,2,17,10.2,H,1,1,ryan-conwell-1,Ryan Conwell,2026
11,115,11,2025-12-16,Louisville,@,Tennessee,REG (Non-Conf),L 62-83,*,33,7,19,0.368,4,13,0.308,3,6,0.5,0.474,4,7,0.571,0,5,5,1,2,0,3,4,22,9.9,A,0,1,ryan-conwell-1,Ryan Conwell,2026
12,116,12,2025-12-20,Louisville,,Montana,REG (Non-Conf),W 94-54,*,31,5,15,0.333,3,11,0.273,2,4,0.5,0.433,1,1,1.0,0,5,5,2,3,0,0,2,14,10.6,H,1,1,ryan-conwell-1,Ryan Conwell,2026
13,117,13,2025-12-30,Louisville,@,California,REG (Conf),W 90-70,*,25,8,16,0.5,6,13,0.462,2,3,0.667,0.688,4,4,1.0,0,4,4,4,2,0,2,4,26,20.4,A,1,1,ryan-conwell-1,Ryan Conwell,2026
14,118,14,2026-01-02,Louisville,@,Stanford,REG (Conf),L 76-80,*,35,6,21,0.286,2,14,0.143,4,7,0.571,0.333,4,6,0.667,2,5,7,2,1,0,4,5,18,4.2,A,0,1,ryan-conwell-1,Ryan Conwell,2026
15,119,15,2026-01-06,Louisville,,Duke,REG (Conf),L 73-84,*,34,8,19,0.421,4,11,0.364,4,8,0.5,0.526,4,4,1.0,0,7,7,1,1,0,4,3,24,12.5,H,0,1,ryan-conwell-1,Ryan Conwell,2026
16,120,17,2026-01-13,Louisville,,Virginia,REG (Conf),L 70-79,*,37,5,21,0.238,3,12,0.25,2,9,0.222,0.31,1,3,0.333,1,6,7,3,2,1,1,2,14,6.0,H,0,1,ryan-conwell-1,Ryan Conwell,2026
17,121,18,2026-01-17,Louisville,@,Pittsburgh,REG (Conf),W 100-59,*,30,9,16,0.563,5,11,0.455,4,5,0.8,0.719,1,1,1.0,0,6,6,6,1,0,2,2,24,20.6,A,1,1,ryan-conwell-1,Ryan Conwell,2026
18,122,19,2026-01-24,Louisville,,Virginia Tech,REG (Conf),W 85-71,*,32,5,14,0.357,4,11,0.364,1,3,0.333,0.5,1,1,1.0,0,6,6,1,0,0,1,3,15,7.5,H,1,1,ryan-conwell-1,Ryan Conwell,2026
19,123,20,2026-01-26,Louisville,@,Duke,REG (Conf),L 52-83,*,37,7,14,0.5,4,9,0.444,3,5,0.6,0.643,0,0,,2,1,3,3,2,0,0,1,18,16.4,A,0,1,ryan-conwell-1,Ryan Conwell,2026
20,124,21,2026-01-31,Louisville,,SMU,REG (Conf),W 88-74,*,34,4,15,0.267,1,11,0.091,3,4,0.75,0.3,3,3,1.0,1,4,5,3,2,0,0,3,12,7.9,H,1,1,ryan-conwell-1,Ryan Conwell,2026
21,125,22,2026-02-04,Louisville,,Notre Dame,REG (Conf),W 76-65,*,33,4,14,0.286,1,9,0.111,3,5,0.6,0.321,3,3,1.0,0,4,4,3,1,1,2,1,12,6.4,H,1,1,ryan-conwell-1,Ryan Conwell,2026
22,126,23,2026-02-07,Louisville,@,Wake Forest,REG (Conf),W 88-80,*,26,3,6,0.5,2,4,0.5,1,2,0.5,0.667,3,4,0.75,1,3,4,2,0,0,3,4,11,6.0,A,1,1,ryan-conwell-1,Ryan Conwell,2026
23,127,24,2026-02-09,Louisville,,NC State,REG (Conf),W 118-77,*,29,10,14,0.714,5,6,0.833,5,8,0.625,0.893,6,7,0.857,0,7,7,6,1,1,4,0,31,28.8,H,1,1,ryan-conwell-1,Ryan Conwell,2026
24,128,25,2026-02-14,Louisville,N,Baylor,REG (Non-Conf),W 82-71,*,31,4,10,0.4,1,5,0.2,3,5,0.6,0.45,5,7,0.714,0,4,4,4,0,0,2,3,14,8.6,N,1,1,ryan-conwell-1,Ryan Conwell,2026
25,129,26,2026-02-17,Louisville,@,SMU,REG (Conf),L 85-95,*,33,4,16,0.25,2,11,0.182,2,5,0.4,0.313,2,2,1.0,2,4,6,0,0,1,3,4,12,1.1,A,0,1,ryan-conwell-1,Ryan Conwell,2026
26,130,27,2026-02-21,Louisville,,Georgia Tech,REG (Conf),W 87-70,*,30,5,11,0.455,2,7,0.286,3,4,0.75,0.545,3,3,1.0,1,0,1,4,1,0,3,1,15,10.4,H,1,1,ryan-conwell-1,Ryan Conwell,2026
27,131,28,2026-02-23,Louisville,@,North Carolina,REG (Conf),L 74-77,*,28,7,19,0.368,4,11,0.364,3,8,0.375,0.474,5,5,1.0,0,2,2,1,2,0,1,3,23,13.6,A,0,1,ryan-conwell-1,Ryan Conwell,2026
28,132,29,2026-02-28,Louisville,@,Clemson,REG (Conf),L 75-80,*,28,6,12,0.5,3,9,0.333,3,3,1.0,0.625,0,0,,0,5,5,2,1,0,3,4,15,8.3,A,0,1,ryan-conwell-1,Ryan Conwell,2026
29,133,30,2026-03-03,Louisville,,Syracuse,REG (Conf),W 77-62,*,33,8,20,0.4,5,13,0.385,3,7,0.429,0.525,2,2,1.0,1,6,7,3,2,0,1,4,23,16.2,H,1,1,ryan-conwell-1,Ryan Conwell,2026
30,134,31,2026-03-07,Louisville,@,Miami (FL),REG (Conf),W 92-89,*,37,7,14,0.5,4,9,0.444,3,5,0.6,0.643,6,6,1.0,0,2,2,2,1,0,3,1,24,16.6,A,1,1,ryan-conwell-1,Ryan Conwell,2026
31,135,32,2026-03-11,Louisville,N,SMU,CTOURN,W 62-58,*,33,6,15,0.4,2,9,0.222,4,6,0.667,0.467,2,2,1.0,0,3,3,0,0,0,5,3,16,2.6,N,1,0,ryan-conwell-1,Ryan Conwell,2026
32,136,33,2026-03-12,Louisville,N,Miami (FL),CTOURN,L 73-78,*,38,8,20,0.4,1,10,0.1,7,10,0.7,0.425,5,6,0.833,1,8,9,3,1,0,1,2,22,15.2,N,0,0,ryan-conwell-1,Ryan Conwell,2026
