rk,career_game,game_num,date,team,location_flag,opponent,game_type,result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,location,win,is_regular_season,player_id,player_name,year
1,1,1,2025-11-04,Iowa,,Robert Morris,REG (Non-Conf),W 101-69,,16,0,1,0.0,0,0,,0,1,0.0,0.0,3,6,0.5,1,2,3,2,0,0,1,3,3,1.6,H,1,1,tate-sage-1,Tate Sage,2026
2,2,2,2025-11-07,Iowa,,Western Illinois,REG (Non-Conf),W 77-58,,24,3,8,0.375,1,6,0.167,2,2,1.0,0.438,1,2,0.5,1,0,1,1,0,0,1,2,8,2.8,H,1,1,tate-sage-1,Tate Sage,2026
3,3,3,2025-11-14,Iowa,,Xavier,REG (Non-Conf),W 81-62,,12,3,3,1.0,1,1,1.0,2,2,1.0,1.167,1,2,0.5,0,0,0,1,0,0,1,0,8,6.4,H,1,1,tate-sage-1,Tate Sage,2026
4,4,4,2025-11-18,Iowa,,Southeast Missouri State,REG (Non-Conf),W 99-70,,18,1,4,0.25,0,1,0.0,1,3,0.333,0.25,5,6,0.833,3,2,5,2,3,1,1,3,7,9.8,H,1,1,tate-sage-1,Tate Sage,2026
5,5,5,2025-11-20,Iowa,,Chicago State,REG (Non-Conf),W 93-54,,16,4,7,0.571,1,4,0.25,3,3,1.0,0.643,4,6,0.667,1,2,3,1,0,0,0,1,13,10.5,H,1,1,tate-sage-1,Tate Sage,2026
6,6,6,2025-11-25,Iowa,N,Ole Miss,REG (Non-Conf),W 74-69,,4,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0.0,N,1,1,tate-sage-1,Tate Sage,2026
7,7,7,2025-11-26,Iowa,N,Grand Canyon,REG (Non-Conf),W 59-46,,4,0,1,0.0,0,0,,0,1,0.0,0.0,0,0,,1,0,1,0,0,0,0,0,0,0.0,N,1,1,tate-sage-1,Tate Sage,2026
8,8,8,2025-12-02,Iowa,@,Michigan State,REG (Conf),L 52-71,,12,1,3,0.333,0,1,0.0,1,2,0.5,0.333,1,2,0.5,0,2,2,0,0,0,0,3,3,0.3,A,0,1,tate-sage-1,Tate Sage,2026
9,9,9,2025-12-06,Iowa,,Maryland,REG (Conf),W 83-64,,20,5,9,0.556,1,2,0.5,4,7,0.571,0.611,1,2,0.5,1,3,4,3,1,0,1,4,12,9.4,H,1,1,tate-sage-1,Tate Sage,2026
10,10,10,2025-12-11,Iowa,@,Iowa State,REG (Non-Conf),L 62-66,,26,4,6,0.667,0,0,,4,6,0.667,0.667,0,1,0.0,2,2,4,0,0,0,2,1,8,4.6,A,0,1,tate-sage-1,Tate Sage,2026
