player_id,player_name,ppg,team_abbrev,year
derrick-gordon-1,Derrick Gordon,11.8,western-kentucky,2012
george-fant-1,George Fant,10.4,western-kentucky,2012
tj-price-1,T.J. Price,9.0,western-kentucky,2012
jamal-crook-1,Jamal Crook,8.5,western-kentucky,2012
kahlil-mcdonald-1,Kahlil McDonald,8.3,western-kentucky,2012
teeng-akol-1,Teeng Akol,6.3,western-kentucky,2012
kevin-kaspar-1,Kevin Kaspar,5.5,western-kentucky,2012
nigel-snipes-1,Nigel Snipes,3.7,western-kentucky,2012
vinny-zollo-1,Vinny Zollo,3.7,western-kentucky,2012
caden-dickerson-1,Caden Dickerson,2.8,western-kentucky,2012
okaro-akamune-1,O'Karo Akamune,2.3,western-kentucky,2012
kene-anyigbo-1,Kene Anyigbo,2.1,western-kentucky,2012
jay-starks-1,Jay Starks,0.0,western-kentucky,2012
spence-sheldon-1,Spence Sheldon,0.0,western-kentucky,2012
stephon-drane-1,Stephon Drane,0.0,western-kentucky,2012
