player_id,player_name,ppg,team_abbrev,year
seth-curry-1,Seth Curry,17.5,duke,2013
mason-plumlee-1,Mason Plumlee,17.1,duke,2013
ryan-kelly-3,Ryan Kelly,12.9,duke,2013
quinn-cook-1,Quinn Cook,11.7,duke,2013
rasheed-sulaimon-1,Rasheed Sulaimon,11.6,duke,2013
amile-jefferson-1,Amile Jefferson,4.0,duke,2013
tyler-thornton-1,Tyler Thornton,3.6,duke,2013
josh-hairston-1,Josh Hairston,2.6,duke,2013
alex-murphy-1,Alex Murphy,2.1,duke,2013
todd-zafirovski-1,Todd Zafirovski,0.7,duke,2013
marshall-plumlee-1,Marshall Plumlee,0.1,duke,2013
