player_id,player_name,ppg,team_abbrev,year
julius-randle-1,Julius Randle,15.0,kentucky,2014
james-young-1,James Young,14.3,kentucky,2014
aaron-harrison-1,Aaron Harrison,13.7,kentucky,2014
andrew-harrison-1,Andrew Harrison,10.9,kentucky,2014
willie-cauley-stein-1,Willie Cauley-Stein,6.8,kentucky,2014
alex-poythress-1,Alex Poythress,5.9,kentucky,2014
dakari-johnson-1,Dakari Johnson,5.2,kentucky,2014
marcus-lee-2,Marcus Lee,2.4,kentucky,2014
jon-hood-1,Jon Hood,1.2,kentucky,2014
derek-willis-1,Derek Willis,1.1,kentucky,2014
jarrod-polson-1,Jarrod Polson,1.0,kentucky,2014
dominique-hawkins-1,Dominique Hawkins,0.8,kentucky,2014
ej-floreal-1,EJ Floreal,0.7,kentucky,2014
brian-long-1,Brian Long,0.0,kentucky,2014
sam-malone-1,Sam Malone,0.0,kentucky,2014
