player_id,player_name,ppg,team_abbrev,year
warren-gillis-1,Warren Gillis,13.4,coastal-carolina,2015
josh-cameron-1,Josh Cameron,12.8,coastal-carolina,2015
elijah-wilson-1,Elijah Wilson,11.3,coastal-carolina,2015
shivaughn-wiggins-1,Shivaughn Wiggins,10.0,coastal-carolina,2015
badou-diagne-1,Badou Diagne,9.5,coastal-carolina,2015
marcus-freeman-1,Marcus Freeman,5.4,coastal-carolina,2015
tristian-curtis-1,Tristian Curtis,4.5,coastal-carolina,2015
uros-ljeskovic-1,Uros Ljeskovic,4.0,coastal-carolina,2015
ron-trapps-1,Ron Trapps,3.4,coastal-carolina,2015
michel-enanga-1,Michel Enanga,2.6,coastal-carolina,2015
colton-ray-st-cyr-1,Colton Ray-St Cyr,2.0,coastal-carolina,2015
kyle-buffkin-1,Kyle Buffkin,0.2,coastal-carolina,2015
aaron-law-1,Aaron Law,0.0,coastal-carolina,2015
