player_id,player_name,ppg,team_abbrev,year
isaiah-taylor-1,Isaiah Taylor,13.1,texas,2015
jonathan-holmes-2,Jonathan Holmes,10.3,texas,2015
myles-turner-1,Myles Turner,10.1,texas,2015
javan-felix-1,Javan Felix,8.7,texas,2015
cameron-ridley-1,Cameron Ridley,8.0,texas,2015
demarcus-holland-1,Demarcus Holland,7.1,texas,2015
kendal-yancy-1,Kendal Yancy,6.3,texas,2015
connor-lammert-1,Connor Lammert,5.1,texas,2015
joe-schwartz-1,Joe Schwartz,3.0,texas,2015
prince-ibeh-1,Prince Ibeh,2.1,texas,2015
jordan-barnett-1,Jordan Barnett,1.9,texas,2015
damarcus-croaker-1,Damarcus Croaker,1.6,texas,2015
ryan-mcclurg-1,Ryan McClurg,0.8,texas,2015
brandon-allums-1,Brandon Allums,0.6,texas,2015
tarale-murry-1,Tarale Murry,0.6,texas,2015
danny-newsome-1,Danny Newsome,0.4,texas,2015
