player_id,player_name,ppg,team_abbrev,year
quenton-decosey-1,Quenton DeCosey,15.9,temple,2016
obi-enechionyia-1,Obi Enechionyia,11.0,temple,2016
jaylen-bond-1,Jaylen Bond,10.3,temple,2016
devin-coleman-1,Devin Coleman,9.2,temple,2016
josh-brown-3,Josh Brown,8.3,temple,2016
trey-lowe-1,Trey Lowe,4.8,temple,2016
daniel-dingle-1,Daniel Dingle,4.4,temple,2016
mark-williams-3,Mark Williams,3.6,temple,2016
shawn-alston-1,Shizz Alston Jr.,2.0,temple,2016
ernest-aflakpui-1,Ernest Aflakpui,1.8,temple,2016
devontae-watson-1,Devontae Watson,0.4,temple,2016
mike-robbins-1,Mike Robbins,0.3,temple,2016
