player_id,player_name,ppg,team_abbrev,year
jevon-carter-1,Jevon Carter,13.5,west-virginia,2017
esa-ahmad-1,Esa Ahmad,11.3,west-virginia,2017
nathan-adrian-1,Nathan Adrian,9.6,west-virginia,2017
tarik-phillip-1,Tarik Phillip,9.5,west-virginia,2017
daxter-miles-1,Daxter Miles Jr.,8.8,west-virginia,2017
elijah-macon-1,Elijah Macon,6.3,west-virginia,2017
teyvon-myers-1,Teyvon Myers,5.8,west-virginia,2017
lamont-west-1,Lamont West,5.6,west-virginia,2017
brandon-watkins-2,Brandon Watkins,4.3,west-virginia,2017
sagaba-konate-1,Sagaba Konate,4.1,west-virginia,2017
james-bolden-1,James Bolden,3.5,west-virginia,2017
james-long-1,James Long,1.9,west-virginia,2017
maciej-bender-1,Maciej Bender,1.6,west-virginia,2017
chase-harler-1,Chase Harler,1.4,west-virginia,2017
logan-routt-1,Logan Routt,1.1,west-virginia,2017
