player_id,player_name,ppg,team_abbrev,year
jacob-evans-1,Jacob Evans,13.0,cincinnati,2018
gary-clark-2,Gary Clark,12.9,cincinnati,2018
jarron-cumberland-1,Jarron Cumberland,11.5,cincinnati,2018
kyle-washington-2,Kyle Washington,11.3,cincinnati,2018
cane-broome-1,Cane Broome,7.9,cincinnati,2018
justin-jenifer-1,Justin Jenifer,4.8,cincinnati,2018
trevor-moore-1,Trevor Moore,3.4,cincinnati,2018
keith-williams-10,Keith Williams,3.1,cincinnati,2018
tre-scott-1,Tre Scott,3.1,cincinnati,2018
mamoudou-diarra-1,Mamoudou Diarra,2.9,cincinnati,2018
nysier-brooks-1,Nysier Brooks,2.6,cincinnati,2018
eliel-nsoseme-1,Eliel Nsoseme,0.9,cincinnati,2018
jackson-bart-1,Jackson Bart,0.5,cincinnati,2018
john-koz-1,John Koz,0.3,cincinnati,2018
sam-martin-4,Sam Martin,0.2,cincinnati,2018
