player_id,player_name,ppg,team_abbrev,year
phil-cofer-1,Phil Cofer,12.8,florida-state,2018
terance-mann-1,Terance Mann,12.6,florida-state,2018
braian-angola-rodas-1,Braian Angola-Rodas,12.5,florida-state,2018
cj-walker-2,CJ Walker,8.0,florida-state,2018
trent-forrest-1,Trent Forrest,7.9,florida-state,2018
mfiondu-kabengele-1,Mfiondu Kabengele,7.2,florida-state,2018
mj-walker-1,M.J. Walker,7.0,florida-state,2018
pj-savoy-1,PJ Savoy,6.7,florida-state,2018
jeanmarc-koumadje-1,Christ Koumadje,6.5,florida-state,2018
ike-obiagu-1,Ike Obiagu,2.3,florida-state,2018
travis-light-1,Travis Light,1.5,florida-state,2018
harrison-prieto-1,Harrison Prieto,1.0,florida-state,2018
brandon-allen-4,Brandon Allen,1.0,florida-state,2018
wyatt-wilkes-1,Wyatt Wilkes,0.7,florida-state,2018
justin-lindner-1,Justin Lindner,0.0,florida-state,2018
anthony-polite-1,Anthony Polite,0.0,florida-state,2018
will-miles-1,Will Miles,0.0,florida-state,2018
