player_id,player_name,ppg,team_abbrev,year
dmarcus-simonds-1,D'Marcus Simonds,18.4,georgia-state,2019
devin-mitchell-1,Devin Mitchell,12.2,georgia-state,2019
malik-benlevi-1,Malik Benlevi,11.9,georgia-state,2019
jeff-thomas-2,Jeff Thomas,11.5,georgia-state,2019
kane-williams-1,Kane Williams,11.1,georgia-state,2019
damon-wilson-1,Damon Wilson,5.4,georgia-state,2019
nelson-phillips-1,Nelson Phillips,5.1,georgia-state,2019
jordan-tyson-1,Jordan Tyson,2.5,georgia-state,2019
josh-linder-1,Josh Linder,1.2,georgia-state,2019
chris-clerkley-1,Chris Clerkley,0.8,georgia-state,2019
matt-chism-1,Matt Chism,0.6,georgia-state,2019
kavonte-ivery-1,Kavonte Ivery,0.5,georgia-state,2019
james-wall-2,James Wall,0.0,georgia-state,2019
