player_id,player_name,ppg,team_abbrev,year
vasa-pusica-1,Vasa Pusica,17.4,northeastern,2019
jordan-roland-1,Jordan Roland,14.6,northeastern,2019
bolden-brace-1,Bolden Brace,9.9,northeastern,2019
shawn-occeus-1,Shawn Occeus,9.9,northeastern,2019
donnell-greshamjr-1,Donnell Gresham Jr.,9.7,northeastern,2019
anthony-green-2,Anthony Green,8.8,northeastern,2019
tomas-murphy-1,Tomas Murphy,8.1,northeastern,2019
jason-strong-1,Jason Strong,3.3,northeastern,2019
jeremy-miller-2,Jeremy Miller,2.5,northeastern,2019
myles-franklin-2,Myles Franklin,1.8,northeastern,2019
shaquille-walters-1,Shaquille Walters,1.6,northeastern,2019
