player_id,player_name,ppg,team_abbrev,year
ricky-counciliv-1,Ricky Council IV,16.1,arkansas,2023
anthony-black-1,Anthony Black,12.8,arkansas,2023
nick-smith-jr-1,Nick Smith Jr.,12.5,arkansas,2023
trevon-brazile-1,Trevon Brazile,11.8,arkansas,2023
davonte-davis-1,Davonte Davis,10.9,arkansas,2023
jordan-walsh-1,Jordan Walsh,7.1,arkansas,2023
makhi-mitchell-1,Makhi Mitchell,7.0,arkansas,2023
jalen-graham-1,Jalen Graham,5.2,arkansas,2023
makhel-mitchell-1,Makhel Mitchell,3.6,arkansas,2023
joseph-pinion-1,Joseph Pinion,2.4,arkansas,2023
kamani-johnson-1,Kamani Johnson,2.2,arkansas,2023
derrian-ford-1,Derrian Ford,0.7,arkansas,2023
barry-dunning-jr-1,Barry Dunning Jr.,0.3,arkansas,2023
cade-arbogast-1,Cade Arbogast,0.3,arkansas,2023
lawson-blake-1,Lawson Blake,0.3,arkansas,2023
