player_id,player_name,ppg,team_abbrev,year
kam-jones-1,Kameron Jones,17.2,marquette,2024
tyler-kolek-1,Tyler Kolek,15.3,marquette,2024
oso-ighodaro-1,Oso Ighodaro,13.4,marquette,2024
david-joplin-1,David Joplin,10.8,marquette,2024
stevie-mitchell-1,Stevie Mitchell,8.8,marquette,2024
chase-ross-1,Chase Ross,6.1,marquette,2024
sean-jones-3,Sean Jones,5.8,marquette,2024
ben-gold-1,Ben Gold,5.0,marquette,2024
tre-norman-1,Tre Norman,2.0,marquette,2024
zaide-lowery-1,Zaide Lowery,1.6,marquette,2024
al-amadou-1,Al Amadou,1.2,marquette,2024
jonah-lucas-1,Jonah Lucas,0.5,marquette,2024
cameron-brown-2,Cameron Brown,0.3,marquette,2024
casey-omalley-1,Casey O'Malley,0.0,marquette,2024
jack-riley-1,Jack Riley,0.0,marquette,2024
