player_id,player_name,ppg,team_abbrev,year
larry-johnson-13,Larry Johnson,17.5,mcneese-state,2026
tyshawn-archie-1,Tyshawn Archie,14.3,mcneese-state,2026
javohn-garcia-1,Javohn Garcia,12.0,mcneese-state,2026
dj-richards-1,DJ Richards,8.3,mcneese-state,2026
garwey-dual-2,Garwey Dual,8.2,mcneese-state,2026
jerrell-colbert-1,Jerrell Colbert,5.8,mcneese-state,2026
jacolb-cole-1,Jacolb Cole,5.5,mcneese-state,2026
carl-cherenfant-1,Carl Cherenfant,4.3,mcneese-state,2026
peitok-machar-1,Peitok Machar,3.6,mcneese-state,2026
yanis-ndjonga-1,Yanis Ndjonga,2.5,mcneese-state,2026
jj-rembert-1,JJ Rembert,0.5,mcneese-state,2026
