rk,game_num,date,Unnamed: 3_level_1,opponent,game_type,result,pts,pts_opp,Score_OT,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_fg2,opp_fg2a,opp_fg2_pct,opp_efg_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,win,is_regular_season,is_ncaa_tourney,team_abbrev,year
1,1,2010-11-13,@,Long Beach State,REG (Non-Conf),W,81,65,,33,65,0.508,9,25,0.36,24,40,0.6,0.577,6,7,0.857,10,31,41,18,6,3,12,16,24,64,0.375,5,23,0.217,19,41,.463,0.414,12,19,0.632,12,20,32,11,6,0,9,11,1,1,0,san-diego-state,2011
2,2,2010-11-16,@,Gonzaga,REG (Non-Conf),W,79,76,,33,65,0.508,5,13,0.385,28,52,0.538,0.546,8,15,0.533,18,15,33,12,9,1,15,24,25,52,0.481,5,18,0.278,20,34,.588,0.529,21,27,0.778,8,18,26,10,7,2,14,17,1,1,0,san-diego-state,2011
3,3,2010-11-20,N,Green Bay,REG (Non-Conf),W,79,70,,29,48,0.604,0,7,0.0,29,41,0.707,0.604,21,36,0.583,11,24,35,12,4,4,15,18,24,64,0.375,6,15,0.4,18,49,.367,0.422,16,20,0.8,13,12,25,12,6,4,11,28,1,1,0,san-diego-state,2011
4,4,2010-11-21,N,IUPUI,REG (Non-Conf),W,61,46,,25,50,0.5,7,17,0.412,18,33,0.545,0.57,4,4,1.0,11,14,25,11,8,2,14,18,15,36,0.417,5,13,0.385,10,23,.435,0.486,11,15,0.733,6,9,15,7,7,2,17,8,1,1,0,san-diego-state,2011
5,5,2010-11-22,@,Miami (OH),REG (Non-Conf),W,77,56,,28,56,0.5,7,16,0.438,21,40,0.525,0.563,14,18,0.778,11,19,30,13,7,4,12,16,18,49,0.367,8,21,0.381,10,28,.357,0.449,12,15,0.8,8,16,24,8,3,2,19,16,1,1,0,san-diego-state,2011
6,6,2010-11-26,,San Diego Christ,REG (Non-Conf),W,88,69,,38,63,0.603,8,15,0.533,30,48,0.625,0.667,4,9,0.444,11,24,35,19,6,4,12,10,25,59,0.424,10,28,0.357,15,31,.484,0.508,9,9,1.0,8,14,22,17,5,1,12,8,1,1,0,san-diego-state,2011
7,7,2010-12-01,,St. Mary's (CA),REG (Non-Conf),W,69,55,,27,60,0.45,5,13,0.385,22,47,0.468,0.492,10,15,0.667,10,23,33,10,9,10,9,9,22,56,0.393,9,18,0.5,13,38,.342,0.473,2,4,0.5,6,26,32,9,5,1,16,19,1,1,0,san-diego-state,2011
8,8,2010-12-04,,Wichita State,REG (Non-Conf),W,83,69,,30,59,0.508,4,14,0.286,26,45,0.578,0.542,19,30,0.633,9,25,34,15,10,5,8,17,26,56,0.464,9,18,0.5,17,38,.447,0.545,8,12,0.667,5,20,25,13,6,6,13,25,1,1,0,san-diego-state,2011
9,9,2010-12-08,@,California,REG (Non-Conf),W,77,57,,28,59,0.475,10,22,0.455,18,37,0.486,0.559,11,19,0.579,8,19,27,16,6,7,8,21,18,48,0.375,0,9,0.0,18,39,.462,0.375,21,28,0.75,12,22,34,13,4,0,18,18,1,1,0,san-diego-state,2011
10,10,2010-12-11,,San Diego,REG (Non-Conf),W,77,49,,28,60,0.467,5,16,0.313,23,44,0.523,0.508,16,20,0.8,11,22,33,15,6,4,4,10,20,52,0.385,3,15,0.2,17,37,.459,0.413,6,9,0.667,7,21,28,6,1,1,10,17,1,1,0,san-diego-state,2011
