rk,game_num,date,Unnamed: 3_level_1,opponent,game_type,result,pts,pts_opp,Score_OT,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_fg2,opp_fg2a,opp_fg2_pct,opp_efg_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,win,is_regular_season,is_ncaa_tourney,team_abbrev,year
1,1,2011-11-11,,Guilford,REG (Non-Conf),W,111,64,,37,76,0.487,11,36,0.306,26,40,0.65,0.559,26,36,0.722,20,29,49,23,12,3,9,16,24,54,0.444,6,14,0.429,18,40,.450,0.5,10,18,0.556,5,21,26,9,4,1,21,29,1,1,0,davidson,2012
2,2,2011-11-14,,Richmond,REG (Non-Conf),W,74,61,,21,52,0.404,6,16,0.375,15,36,0.417,0.462,26,30,0.867,10,23,33,10,6,4,15,25,16,46,0.348,2,10,0.2,14,36,.389,0.37,27,33,0.818,4,18,22,7,10,3,13,26,1,1,0,davidson,2012
3,3,2011-11-18,@,Duke,REG (Non-Conf),L,69,82,,24,62,0.387,7,20,0.35,17,42,0.405,0.444,14,14,1.0,11,21,32,11,6,1,17,22,29,54,0.537,5,13,0.385,24,41,.585,0.583,19,30,0.633,8,25,33,10,9,4,12,17,0,1,0,davidson,2012
4,4,2011-11-21,,Presbyterian,REG (Non-Conf),W,68,54,,25,52,0.481,4,17,0.235,21,35,0.6,0.519,14,19,0.737,9,23,32,7,5,3,13,17,20,51,0.392,3,14,0.214,17,37,.459,0.422,11,15,0.733,8,17,25,11,5,2,13,18,1,1,0,davidson,2012
5,5,2011-11-26,@,UNC Wilmington,REG (Non-Conf),W,70,67,,25,61,0.41,7,24,0.292,18,37,0.486,0.467,13,20,0.65,12,20,32,11,6,3,11,22,24,48,0.5,0,3,0.0,24,45,.533,0.5,19,29,0.655,8,28,36,7,5,9,15,19,1,1,0,davidson,2012
6,6,2011-12-01,@,Wofford,REG (Conf),W,72,69,,24,51,0.471,5,18,0.278,19,33,0.576,0.52,19,24,0.792,10,16,26,9,6,4,12,16,29,55,0.527,4,12,0.333,25,43,.581,0.564,7,12,0.583,5,15,20,15,7,4,10,19,1,1,0,davidson,2012
7,7,2011-12-03,,Furman,REG (Conf),W,86,65,,27,51,0.529,7,19,0.368,20,32,0.625,0.598,25,29,0.862,8,23,31,10,6,3,14,18,22,59,0.373,5,18,0.278,17,41,.415,0.415,16,22,0.727,12,16,28,7,1,1,14,25,1,1,0,davidson,2012
8,8,2011-12-07,,Vanderbilt,REG (Non-Conf),L,83,87,,27,61,0.443,5,22,0.227,22,39,0.564,0.484,24,30,0.8,10,20,30,15,8,3,10,22,30,62,0.484,7,15,0.467,23,47,.489,0.54,20,26,0.769,12,19,31,8,4,6,15,27,0,1,0,davidson,2012
9,9,2011-12-10,@,Charlotte,REG (Non-Conf),L,61,84,,21,59,0.356,8,24,0.333,13,35,0.371,0.424,11,12,0.917,11,24,35,12,4,1,19,21,29,56,0.518,9,23,0.391,20,33,.606,0.598,17,25,0.68,6,24,30,16,13,5,12,14,0,1,0,davidson,2012
10,10,2011-12-19,N,Kansas,REG (Non-Conf),W,80,74,,25,61,0.41,11,33,0.333,14,28,0.5,0.5,19,25,0.76,9,25,34,14,7,2,12,24,25,62,0.403,6,23,0.261,19,39,.487,0.452,18,31,0.581,13,28,41,15,9,3,14,20,1,1,0,davidson,2012
11,11,2011-12-22,@,Massachusetts,REG (Non-Conf),L,65,73,,23,59,0.39,9,28,0.321,14,31,0.452,0.466,10,11,0.909,11,23,34,15,2,1,19,20,25,58,0.431,8,16,0.5,17,42,.405,0.5,15,25,0.6,11,21,32,11,11,6,14,14,0,1,0,davidson,2012
12,12,2011-12-29,,Pennsylvania,REG (Non-Conf),W,75,70,,21,52,0.404,5,20,0.25,16,32,0.5,0.452,28,34,0.824,8,23,31,11,5,2,13,25,24,52,0.462,5,18,0.278,19,34,.559,0.51,17,24,0.708,5,23,28,13,7,1,12,26,1,1,0,davidson,2012
13,13,2012-01-05,@,UNC Greensboro,REG (Conf),W,92,63,,30,59,0.508,10,25,0.4,20,34,0.588,0.593,22,27,0.815,16,22,38,17,6,1,16,26,18,51,0.353,6,16,0.375,12,35,.343,0.412,21,33,0.636,11,12,23,11,5,6,16,22,1,1,0,davidson,2012
14,14,2012-01-07,,Georgia Southern,REG (Conf),W,96,74,,33,55,0.6,11,19,0.579,22,36,0.611,0.7,19,21,0.905,7,29,36,21,4,3,14,23,30,57,0.526,4,9,0.444,26,48,.542,0.561,10,17,0.588,3,15,18,15,6,2,11,17,1,1,0,davidson,2012
15,15,2012-01-12,,Western Carolina,REG (Conf),W,88,67,,24,58,0.414,10,21,0.476,14,37,0.378,0.5,30,38,0.789,14,22,36,18,3,7,4,21,24,63,0.381,4,19,0.211,20,44,.455,0.413,15,26,0.577,17,20,37,8,3,6,9,24,1,1,0,davidson,2012
16,16,2012-01-14,@,Appalachian State,REG (Conf),W,83,79,,31,59,0.525,5,17,0.294,26,42,0.619,0.568,16,24,0.667,10,19,29,13,4,1,10,25,25,53,0.472,9,20,0.45,16,33,.485,0.557,20,32,0.625,12,19,31,15,4,4,13,25,1,1,0,davidson,2012
17,17,2012-01-19,,College of Charleston,REG (Conf),W,87,69,,30,66,0.455,8,23,0.348,22,43,0.512,0.515,19,24,0.792,11,33,44,14,3,5,10,21,24,61,0.393,7,26,0.269,17,35,.486,0.451,14,24,0.583,8,23,31,9,6,2,9,23,1,1,0,davidson,2012
