rk,game_num,date,Unnamed: 3_level_1,opponent,game_type,result,pts,pts_opp,Score_OT,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_fg2,opp_fg2a,opp_fg2_pct,opp_efg_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,win,is_regular_season,is_ncaa_tourney,team_abbrev,year
1,1,2011-11-11,,Grand Canyon,REG (Non-Conf),W,83,66,,30,64,0.469,8,24,0.333,22,40,0.55,0.531,15,30,0.5,14,26,40,18,9,4,11,13,23,55,0.418,5,14,0.357,18,41,.439,0.464,15,22,0.682,6,26,32,12,4,2,17,24,1,1,0,nevada-las-vegas,2012
2,2,2011-11-14,,Nevada,REG (Non-Conf),W,71,67,,26,63,0.413,7,26,0.269,19,37,0.514,0.468,12,19,0.632,13,32,45,18,6,8,10,21,19,59,0.322,7,24,0.292,12,35,.343,0.381,22,34,0.647,13,20,33,6,6,5,10,18,1,1,0,nevada-las-vegas,2012
3,3,2011-11-17,,Canisius,REG (Non-Conf),W,95,70,,33,54,0.611,11,20,0.55,22,34,0.647,0.713,18,26,0.692,6,23,29,28,11,9,19,16,26,60,0.433,8,18,0.444,18,42,.429,0.5,10,14,0.714,7,16,23,13,7,3,20,21,1,1,0,nevada-las-vegas,2012
4,4,2011-11-20,,Morgan State,REG (Non-Conf),W,92,55,,35,67,0.522,12,23,0.522,23,44,0.523,0.612,10,18,0.556,16,31,47,29,19,5,17,18,20,57,0.351,2,7,0.286,18,50,.360,0.368,13,21,0.619,10,20,30,8,11,2,23,18,1,1,0,nevada-las-vegas,2012
5,5,2011-11-22,,Cal Poly,REG (Non-Conf),W,75,52,,23,51,0.451,4,17,0.235,19,34,0.559,0.49,25,31,0.806,11,26,37,15,12,9,14,11,20,63,0.317,8,23,0.348,12,40,.300,0.381,4,5,0.8,13,17,30,11,9,0,18,23,1,1,0,nevada-las-vegas,2012
6,6,2011-11-25,N,Southern California,REG (Non-Conf),W,66,55,,21,51,0.412,7,23,0.304,14,28,0.5,0.48,17,20,0.85,13,16,29,12,6,4,15,15,24,46,0.522,1,10,0.1,23,36,.639,0.533,6,12,0.5,6,17,23,3,4,2,18,20,1,1,0,nevada-las-vegas,2012
7,7,2011-11-26,N,North Carolina,REG (Non-Conf),W,90,80,,31,71,0.437,13,32,0.406,18,39,0.462,0.528,15,18,0.833,13,33,46,22,3,3,13,26,28,66,0.424,4,9,0.444,24,57,.421,0.455,20,33,0.606,9,28,37,14,6,2,10,22,1,1,0,nevada-las-vegas,2012
8,8,2011-11-30,@,UC Santa Barbara,REG (Non-Conf),W,94,88,2OT,33,72,0.458,10,31,0.323,23,41,0.561,0.528,18,24,0.75,12,27,39,18,3,3,15,20,30,72,0.417,9,23,0.391,21,49,.429,0.479,19,26,0.731,14,30,44,16,9,6,10,25,1,1,0,nevada-las-vegas,2012
9,9,2011-12-04,@,Wichita State,REG (Non-Conf),L,70,89,,24,51,0.471,5,20,0.25,19,31,0.613,0.52,17,23,0.739,8,16,24,13,2,3,7,21,32,54,0.593,12,23,0.522,20,31,.645,0.704,13,19,0.684,8,19,27,20,3,1,6,18,0,1,0,nevada-las-vegas,2012
10,10,2011-12-07,N,Cal St San Marcos,REG (Non-Conf),W,94,50,,34,71,0.479,8,25,0.32,26,46,0.565,0.535,18,23,0.783,18,19,37,23,16,1,8,13,21,41,0.512,3,7,0.429,18,34,.529,0.549,5,12,0.417,3,20,23,11,2,3,25,20,1,1,0,nevada-las-vegas,2012
