rk,game_num,date,Unnamed: 3_level_1,opponent,game_type,result,pts,pts_opp,Score_OT,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_fg2,opp_fg2a,opp_fg2_pct,opp_efg_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,win,is_regular_season,is_ncaa_tourney,team_abbrev,year
1,1,2012-11-09,,Wofford,REG (Non-Conf),W,74,59,,21,47,0.447,4,12,0.333,17,35,0.486,0.489,28,36,0.778,7,28,35,10,5,6,10,12,22,61,0.361,13,35,0.371,9,26,.346,0.467,2,2,1.0,7,22,29,13,3,2,13,24,1,1,0,colorado,2013
2,2,2012-11-15,N,Dayton,REG (Non-Conf),W,67,57,,23,51,0.451,7,15,0.467,16,36,0.444,0.52,14,24,0.583,4,30,34,13,9,7,14,15,21,64,0.328,5,21,0.238,16,43,.372,0.367,10,14,0.714,10,27,37,9,5,4,14,23,1,1,0,colorado,2013
3,3,2012-11-16,N,Baylor,REG (Non-Conf),W,60,58,,25,56,0.446,6,15,0.4,19,41,0.463,0.5,4,18,0.222,11,26,37,6,6,3,17,16,22,59,0.373,3,16,0.188,19,43,.442,0.398,11,18,0.611,10,25,35,7,9,3,11,19,1,1,0,colorado,2013
4,4,2012-11-18,N,Murray State,REG (Non-Conf),W,81,74,,25,47,0.532,4,11,0.364,21,36,0.583,0.574,27,36,0.75,8,22,30,6,8,1,17,17,28,62,0.452,10,26,0.385,18,36,.500,0.532,8,15,0.533,12,17,29,14,10,3,17,27,1,1,0,colorado,2013
5,5,2012-11-25,,Air Force,REG (Non-Conf),W,89,74,,30,53,0.566,7,13,0.538,23,40,0.575,0.632,22,28,0.786,14,31,45,11,4,3,15,14,27,60,0.45,12,30,0.4,15,30,.500,0.55,8,14,0.571,4,13,17,11,7,1,6,21,1,1,0,colorado,2013
6,6,2012-11-27,,Texas Southern,REG (Non-Conf),W,85,80,2OT,23,59,0.39,6,19,0.316,17,40,0.425,0.441,33,44,0.75,12,31,43,11,6,8,12,19,28,73,0.384,12,37,0.324,16,36,.444,0.466,12,20,0.6,12,26,38,7,8,7,13,30,1,1,0,colorado,2013
7,7,2012-12-01,@,Wyoming,REG (Non-Conf),L,69,76,,24,58,0.414,9,21,0.429,15,37,0.405,0.491,12,15,0.8,12,22,34,11,4,0,17,27,24,50,0.48,7,25,0.28,17,25,.680,0.55,21,33,0.636,8,23,31,13,7,5,9,13,0,1,0,colorado,2013
8,8,2012-12-05,,Colorado State,REG (Non-Conf),W,70,61,,23,50,0.46,6,13,0.462,17,37,0.459,0.52,18,31,0.581,7,20,27,8,7,5,7,13,21,59,0.356,6,19,0.316,15,40,.375,0.407,13,16,0.813,15,24,39,6,4,3,13,23,1,1,0,colorado,2013
9,9,2012-12-08,@,Kansas,REG (Non-Conf),L,54,90,,20,54,0.37,2,13,0.154,18,41,0.439,0.389,12,21,0.571,9,19,28,8,7,4,18,17,34,62,0.548,8,20,0.4,26,42,.619,0.613,14,17,0.824,10,27,37,23,12,8,13,17,0,1,0,colorado,2013
10,10,2012-12-12,@,Fresno State,REG (Non-Conf),W,50,43,,18,43,0.419,2,4,0.5,16,39,0.41,0.442,12,21,0.571,10,29,39,7,7,2,16,14,16,54,0.296,4,18,0.222,12,36,.333,0.333,7,11,0.636,6,20,26,7,8,4,14,18,1,1,0,colorado,2013
11,11,2012-12-21,,Northern Arizona,REG (Non-Conf),W,98,51,,40,60,0.667,11,20,0.55,29,40,0.725,0.758,7,15,0.467,8,34,42,24,13,4,15,16,19,61,0.311,7,27,0.259,12,34,.353,0.369,6,7,0.857,7,14,21,6,7,3,16,11,1,1,0,colorado,2013
12,12,2012-12-29,,Hartford,REG (Non-Conf),W,80,52,,29,59,0.492,4,16,0.25,25,43,0.581,0.525,18,23,0.783,17,32,49,15,10,4,19,11,19,56,0.339,13,31,0.419,6,25,.240,0.455,1,4,0.25,6,13,19,13,13,2,19,20,1,1,0,colorado,2013
13,13,2013-01-03,@,Arizona,REG (Conf),L,83,92,OT,28,59,0.475,10,21,0.476,18,38,0.474,0.559,17,29,0.586,6,25,31,14,5,1,11,26,28,65,0.431,8,23,0.348,20,42,.476,0.492,28,36,0.778,12,27,39,12,8,1,13,19,0,1,0,colorado,2013
14,14,2013-01-06,@,Arizona State,REG (Conf),L,56,65,,24,68,0.353,2,19,0.105,22,49,0.449,0.368,6,8,0.75,15,21,36,10,7,1,10,25,20,47,0.426,5,17,0.294,15,30,.500,0.479,20,33,0.606,10,25,35,12,3,13,10,12,0,1,0,colorado,2013
15,15,2013-01-10,,Southern California,REG (Conf),W,66,60,,24,54,0.444,4,13,0.308,20,41,0.488,0.481,14,26,0.538,7,20,27,10,15,3,12,10,24,58,0.414,7,19,0.368,17,39,.436,0.474,5,6,0.833,14,23,37,11,7,4,23,23,1,1,0,colorado,2013
16,16,2013-01-12,,UCLA,REG (Conf),L,75,78,,25,57,0.439,5,17,0.294,20,40,0.5,0.482,20,27,0.741,9,23,32,8,5,0,14,16,31,60,0.517,4,8,0.5,27,52,.519,0.55,12,19,0.632,10,20,30,14,9,2,11,16,0,1,0,colorado,2013
17,17,2013-01-16,@,Washington,REG (Conf),L,54,64,,21,58,0.362,1,10,0.1,20,48,0.417,0.371,11,14,0.786,10,22,32,6,2,5,11,19,20,59,0.339,6,20,0.3,14,39,.359,0.39,18,23,0.783,15,22,37,9,6,5,9,15,0,1,0,colorado,2013
18,18,2013-01-19,@,Washington State,REG (Conf),W,58,49,,19,44,0.432,1,9,0.111,18,35,0.514,0.443,19,24,0.792,7,26,33,9,7,3,10,11,20,58,0.345,5,24,0.208,15,34,.441,0.388,4,9,0.444,10,20,30,6,4,4,12,19,1,1,0,colorado,2013
19,19,2013-01-24,,Stanford,REG (Conf),W,75,54,,30,57,0.526,4,9,0.444,26,48,0.542,0.561,11,22,0.5,10,35,45,12,8,5,12,19,20,64,0.313,6,20,0.3,14,44,.318,0.359,8,10,0.8,8,21,29,9,5,1,10,17,1,1,0,colorado,2013
20,20,2013-01-27,,California,REG (Conf),W,81,71,,28,47,0.596,7,15,0.467,21,32,0.656,0.67,18,22,0.818,4,30,34,13,4,1,20,14,30,72,0.417,6,18,0.333,24,54,.444,0.458,5,8,0.625,9,16,25,12,16,0,10,17,1,1,0,colorado,2013
21,21,2013-02-02,@,Utah,REG (Conf),L,55,58,,20,50,0.4,5,17,0.294,15,33,0.455,0.45,10,18,0.556,10,21,31,6,7,4,14,15,22,48,0.458,4,13,0.308,18,35,.514,0.5,10,14,0.714,6,21,27,13,3,3,9,16,0,1,0,colorado,2013
22,22,2013-02-07,@,Oregon,REG (Conf),W,48,47,,19,52,0.365,4,12,0.333,15,40,0.375,0.404,6,10,0.6,9,16,25,9,6,2,12,7,21,58,0.362,3,15,0.2,18,43,.419,0.388,2,2,1.0,14,20,34,9,7,6,12,14,1,1,0,colorado,2013
23,23,2013-02-10,@,Oregon State,REG (Conf),W,72,68,,24,58,0.414,6,19,0.316,18,39,0.462,0.466,18,24,0.75,10,17,27,12,10,5,9,14,26,57,0.456,9,20,0.45,17,37,.459,0.535,7,8,0.875,14,21,35,13,4,4,21,20,1,1,0,colorado,2013
24,24,2013-02-14,,Arizona,REG (Conf),W,71,58,,25,50,0.5,9,17,0.529,16,33,0.485,0.59,12,18,0.667,8,22,30,12,9,2,11,13,22,52,0.423,5,19,0.263,17,33,.515,0.471,9,13,0.692,9,19,28,12,5,3,13,16,1,1,0,colorado,2013
25,25,2013-02-16,,Arizona State,REG (Conf),L,62,63,OT,20,57,0.351,6,20,0.3,14,37,0.378,0.404,16,18,0.889,18,22,40,11,7,2,15,19,23,50,0.46,7,24,0.292,16,26,.615,0.53,10,17,0.588,2,16,18,8,7,3,9,16,0,1,0,colorado,2013
26,26,2013-02-21,,Utah,REG (Conf),W,60,50,,21,49,0.429,6,24,0.25,15,25,0.6,0.49,12,20,0.6,10,24,34,6,12,5,14,8,19,49,0.388,8,20,0.4,11,29,.379,0.469,4,4,1.0,3,23,26,12,10,2,15,17,1,1,0,colorado,2013
27,27,2013-02-27,@,Stanford,REG (Conf),W,65,63,,24,56,0.429,4,18,0.222,20,38,0.526,0.464,13,17,0.765,10,23,33,5,5,2,8,15,23,59,0.39,9,20,0.45,14,39,.359,0.466,8,11,0.727,14,18,32,13,6,2,12,16,1,1,0,colorado,2013
28,28,2013-03-02,@,California,REG (Conf),L,46,62,,15,65,0.231,6,21,0.286,9,44,0.205,0.277,10,15,0.667,18,16,34,6,4,1,5,13,26,56,0.464,0,6,0.0,26,50,.520,0.464,10,10,1.0,13,28,41,12,2,7,10,11,0,1,0,colorado,2013
