rk,game_num,date,Unnamed: 3_level_1,opponent,game_type,result,pts,pts_opp,Score_OT,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_fg2,opp_fg2a,opp_fg2_pct,opp_efg_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,win,is_regular_season,is_ncaa_tourney,team_abbrev,year
1,1,2012-11-09,,Stetson,REG (Non-Conf),W,87,79,,32,61,0.525,7,21,0.333,25,40,0.625,0.582,16,24,0.667,12,26,38,19,4,1,11,13,28,63,0.444,13,31,0.419,15,32,.469,0.548,10,14,0.714,7,21,28,20,6,1,10,21,1,1,0,miami-fl,2013
2,2,2012-11-13,@,Florida Gulf Coast,REG (Non-Conf),L,51,63,,16,55,0.291,8,26,0.308,8,29,0.276,0.364,11,21,0.524,13,18,31,10,7,2,16,16,25,51,0.49,1,11,0.091,24,40,.600,0.5,12,15,0.8,10,27,37,12,9,3,18,23,0,1,0,miami-fl,2013
3,3,2012-11-16,,Jacksonville,REG (Non-Conf),W,73,57,,23,39,0.59,4,12,0.333,19,27,0.704,0.641,23,35,0.657,6,20,26,13,12,3,14,12,20,50,0.4,7,20,0.35,13,30,.433,0.47,10,20,0.5,10,12,22,11,8,1,16,22,1,1,0,miami-fl,2013
4,4,2012-11-24,,Detroit Mercy,REG (Non-Conf),W,77,62,,28,54,0.519,4,15,0.267,24,39,0.615,0.556,17,19,0.895,10,30,40,15,6,5,13,12,21,59,0.356,11,32,0.344,10,27,.370,0.449,9,14,0.643,9,16,25,10,7,2,12,20,1,1,0,miami-fl,2013
5,5,2012-11-28,,Michigan State,REG (Non-Conf),W,67,59,,21,44,0.477,9,16,0.563,12,28,0.429,0.58,16,18,0.889,4,21,25,7,5,5,9,10,24,59,0.407,6,14,0.429,18,45,.400,0.458,5,11,0.455,12,21,33,11,4,3,11,16,1,1,0,miami-fl,2013
6,6,2012-12-01,@,Massachusetts,REG (Non-Conf),W,75,62,,25,52,0.481,6,15,0.4,19,37,0.514,0.538,19,25,0.76,5,29,34,11,4,8,9,17,18,63,0.286,7,32,0.219,11,31,.355,0.341,19,26,0.731,14,18,32,13,5,4,6,20,1,1,0,miami-fl,2013
7,7,2012-12-14,,Charlotte,REG (Non-Conf),W,77,46,,27,56,0.482,7,15,0.467,20,41,0.488,0.545,16,26,0.615,9,31,40,11,9,12,12,12,20,63,0.317,2,14,0.143,18,49,.367,0.333,4,11,0.364,12,21,33,5,4,3,16,24,1,1,0,miami-fl,2013
8,8,2012-12-18,@,UCF,REG (Non-Conf),W,72,50,,28,58,0.483,8,20,0.4,20,38,0.526,0.552,8,13,0.615,12,25,37,15,6,2,11,17,17,48,0.354,5,22,0.227,12,26,.462,0.406,11,17,0.647,5,17,22,9,4,5,12,12,1,1,0,miami-fl,2013
9,9,2012-12-22,@,Hawaii,REG (Non-Conf),W,73,58,,27,56,0.482,6,18,0.333,21,38,0.553,0.536,13,16,0.813,9,20,29,11,10,4,6,11,22,55,0.4,8,21,0.381,14,34,.412,0.473,6,8,0.75,11,18,29,16,2,3,15,13,1,1,0,miami-fl,2013
10,10,2012-12-23,N,Arizona,REG (Non-Conf),L,50,69,,19,52,0.365,5,19,0.263,14,33,0.424,0.413,7,14,0.5,5,14,19,5,14,1,9,13,25,52,0.481,8,18,0.444,17,34,.500,0.558,11,17,0.647,12,32,44,11,6,0,16,18,0,1,0,miami-fl,2013
11,11,2012-12-25,N,Indiana State,REG (Non-Conf),L,55,57,OT,22,65,0.338,0,15,0.0,22,50,0.44,0.338,11,21,0.524,13,29,42,7,4,6,8,16,17,63,0.27,6,25,0.24,11,38,.289,0.317,17,18,0.944,11,28,39,8,4,3,9,15,0,1,0,miami-fl,2013
12,12,2013-01-02,,La Salle,REG (Non-Conf),W,76,59,,24,51,0.471,8,17,0.471,16,34,0.471,0.549,20,28,0.714,7,30,37,7,6,6,9,10,23,62,0.371,7,21,0.333,16,41,.390,0.427,6,9,0.667,8,21,29,10,5,2,10,20,1,1,0,miami-fl,2013
13,13,2013-01-05,@,Georgia Tech,REG (Conf),W,62,49,,22,53,0.415,7,19,0.368,15,34,0.441,0.481,11,17,0.647,10,28,38,13,8,5,13,13,17,52,0.327,5,18,0.278,12,34,.353,0.375,10,15,0.667,7,19,26,13,5,2,12,13,1,1,0,miami-fl,2013
14,14,2013-01-10,@,North Carolina,REG (Conf),W,68,59,,25,53,0.472,9,26,0.346,16,27,0.593,0.557,9,13,0.692,5,23,28,10,7,8,12,11,24,60,0.4,6,15,0.4,18,45,.400,0.45,5,8,0.625,10,20,30,15,9,3,11,11,1,1,0,miami-fl,2013
