rk,game_num,date,Unnamed: 3_level_1,opponent,game_type,result,pts,pts_opp,Score_OT,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_fg2,opp_fg2a,opp_fg2_pct,opp_efg_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,win,is_regular_season,is_ncaa_tourney,team_abbrev,year
1,1,2012-11-09,,UC Davis,REG (Non-Conf),W,73,65,,23,57,0.404,8,22,0.364,15,35,0.429,0.474,19,24,0.792,8,20,28,14,10,6,9,18,23,55,0.418,7,16,0.438,16,39,.410,0.482,12,19,0.632,14,26,40,11,6,0,21,21,1,1,0,oklahoma-state,2013
2,2,2012-11-15,N,Akron,REG (Non-Conf),W,69,65,OT,21,56,0.375,4,13,0.308,17,43,0.395,0.411,23,28,0.821,13,26,39,8,8,7,15,20,21,70,0.3,8,26,0.308,13,44,.295,0.357,15,23,0.652,18,21,39,10,4,6,12,21,1,1,0,oklahoma-state,2013
3,3,2012-11-16,N,Tennessee,REG (Non-Conf),W,62,45,,18,43,0.419,3,13,0.231,15,30,0.5,0.453,23,31,0.742,8,31,39,7,5,2,13,21,13,50,0.26,5,23,0.217,8,27,.296,0.31,14,22,0.636,8,21,29,5,2,1,11,25,1,1,0,oklahoma-state,2013
4,4,2012-11-18,N,NC State,REG (Non-Conf),W,76,56,,24,57,0.421,8,22,0.364,16,35,0.457,0.491,20,24,0.833,12,30,42,14,6,8,13,16,22,62,0.355,4,14,0.286,18,48,.375,0.387,8,16,0.5,10,17,27,7,9,1,12,21,1,1,0,oklahoma-state,2013
5,5,2012-11-25,,Portland State,REG (Non-Conf),W,81,58,,32,56,0.571,7,15,0.467,25,41,0.61,0.634,10,13,0.769,7,23,30,19,6,4,13,11,21,53,0.396,7,21,0.333,14,32,.438,0.462,9,14,0.643,8,18,26,6,4,0,16,12,1,1,0,oklahoma-state,2013
6,6,2012-12-01,@,Virginia Tech,REG (Non-Conf),L,71,81,,28,66,0.424,4,23,0.174,24,43,0.558,0.455,11,15,0.733,10,19,29,13,5,5,8,23,24,55,0.436,6,16,0.375,18,39,.462,0.491,27,33,0.818,10,27,37,8,5,6,12,16,0,1,0,oklahoma-state,2013
7,7,2012-12-05,,South Florida,REG (Non-Conf),W,61,49,,22,55,0.4,5,16,0.313,17,39,0.436,0.445,12,14,0.857,12,26,38,9,4,6,10,15,17,50,0.34,5,20,0.25,12,30,.400,0.39,10,14,0.714,6,17,23,9,8,3,9,16,1,1,0,oklahoma-state,2013
8,8,2012-12-08,,Missouri State,REG (Non-Conf),W,62,42,,21,49,0.429,4,23,0.174,17,26,0.654,0.469,16,23,0.696,14,31,45,8,6,3,17,13,18,54,0.333,3,18,0.167,15,36,.417,0.361,3,7,0.429,6,16,22,7,3,1,14,21,1,1,0,oklahoma-state,2013
9,9,2012-12-16,,Central Arkansas,REG (Non-Conf),W,91,63,,32,66,0.485,7,23,0.304,25,43,0.581,0.538,20,27,0.741,10,40,50,19,9,5,15,15,24,69,0.348,6,26,0.231,18,43,.419,0.391,9,19,0.474,10,24,34,12,8,1,13,23,1,1,0,oklahoma-state,2013
10,10,2012-12-19,,UT Arlington,REG (Non-Conf),W,69,44,,25,58,0.431,7,17,0.412,18,41,0.439,0.491,12,14,0.857,12,17,29,8,15,7,15,12,18,46,0.391,7,15,0.467,11,31,.355,0.467,1,5,0.2,8,21,29,6,10,2,30,15,1,1,0,oklahoma-state,2013
11,11,2012-12-22,,Tennessee Tech,REG (Non-Conf),W,78,42,,29,59,0.492,11,27,0.407,18,32,0.563,0.585,9,15,0.6,12,23,35,19,11,7,12,16,15,39,0.385,4,15,0.267,11,24,.458,0.436,8,18,0.444,6,19,25,3,6,3,20,14,1,1,0,oklahoma-state,2013
12,12,2012-12-31,,Gonzaga,REG (Non-Conf),L,68,69,,26,55,0.473,9,23,0.391,17,32,0.531,0.555,7,11,0.636,7,11,18,11,5,6,8,18,24,50,0.48,6,16,0.375,18,34,.529,0.54,15,18,0.833,12,21,33,11,5,1,15,16,0,1,0,oklahoma-state,2013
13,13,2013-01-05,@,Kansas State,REG (Conf),L,67,73,,20,49,0.408,3,11,0.273,17,38,0.447,0.439,24,29,0.828,5,22,27,6,6,3,11,18,27,60,0.45,7,21,0.333,20,39,.513,0.508,12,17,0.706,10,25,35,19,5,4,12,24,0,1,0,oklahoma-state,2013
14,14,2013-01-09,,TCU,REG (Conf),W,63,45,,25,48,0.521,2,8,0.25,23,40,0.575,0.542,11,15,0.733,6,30,36,14,11,5,24,13,17,47,0.362,6,14,0.429,11,33,.333,0.426,5,9,0.556,2,15,17,7,10,1,21,14,1,1,0,oklahoma-state,2013
15,15,2013-01-12,@,Oklahoma,REG (Conf),L,68,77,,22,56,0.393,6,21,0.286,16,35,0.457,0.446,18,25,0.72,9,20,29,11,7,3,15,18,25,58,0.431,8,13,0.615,17,45,.378,0.5,19,21,0.905,7,27,34,13,8,1,13,21,0,1,0,oklahoma-state,2013
16,16,2013-01-19,,Texas Tech,REG (Conf),W,79,45,,25,53,0.472,8,16,0.5,17,37,0.459,0.547,21,28,0.75,9,31,40,16,4,6,10,19,13,46,0.283,3,17,0.176,10,29,.345,0.315,16,23,0.696,5,18,23,4,5,1,13,22,1,1,0,oklahoma-state,2013
17,17,2013-01-21,@,Baylor,REG (Conf),L,54,64,,22,63,0.349,2,16,0.125,20,47,0.426,0.365,8,15,0.533,11,22,33,15,9,3,11,22,21,51,0.412,8,22,0.364,13,29,.448,0.49,14,26,0.538,10,26,36,13,6,11,14,15,0,1,0,oklahoma-state,2013
18,18,2013-01-26,,West Virginia,REG (Conf),W,80,66,,25,52,0.481,10,19,0.526,15,33,0.455,0.577,20,25,0.8,9,21,30,16,6,4,11,18,24,56,0.429,7,19,0.368,17,37,.459,0.491,11,13,0.846,7,20,27,13,4,3,11,22,1,1,0,oklahoma-state,2013
19,19,2013-01-30,,Iowa State,REG (Conf),W,78,76,,29,61,0.475,6,16,0.375,23,45,0.511,0.525,14,21,0.667,9,19,28,12,9,1,8,11,28,52,0.538,13,24,0.542,15,28,.536,0.663,7,10,0.7,6,27,33,17,3,0,17,18,1,1,0,oklahoma-state,2013
20,20,2013-02-02,@,Kansas,REG (Conf),W,85,80,,29,67,0.433,8,24,0.333,21,43,0.488,0.493,19,25,0.76,17,20,37,13,9,6,13,21,25,61,0.41,9,20,0.45,16,41,.390,0.484,21,27,0.778,17,21,38,15,9,6,15,24,1,1,0,oklahoma-state,2013
21,21,2013-02-06,,Baylor,REG (Conf),W,69,67,OT,26,72,0.361,3,21,0.143,23,51,0.451,0.382,14,19,0.737,12,26,38,9,8,4,9,16,26,62,0.419,8,27,0.296,18,35,.514,0.484,7,12,0.583,7,32,39,15,3,6,16,16,1,1,0,oklahoma-state,2013
22,22,2013-02-09,@,Texas,REG (Conf),W,72,59,,21,56,0.375,4,16,0.25,17,40,0.425,0.411,26,39,0.667,14,27,41,11,10,6,17,20,23,59,0.39,1,18,0.056,22,41,.537,0.398,12,21,0.571,8,22,30,7,7,6,15,24,1,1,0,oklahoma-state,2013
23,23,2013-02-13,@,Texas Tech,REG (Conf),W,91,67,,32,57,0.561,12,20,0.6,20,37,0.541,0.667,15,21,0.714,9,24,33,19,8,4,11,21,20,54,0.37,7,18,0.389,13,36,.361,0.435,20,29,0.69,10,17,27,10,7,1,14,17,1,1,0,oklahoma-state,2013
24,24,2013-02-16,,Oklahoma,REG (Conf),W,84,79,OT,27,62,0.435,6,16,0.375,21,46,0.457,0.484,24,33,0.727,9,25,34,11,7,4,5,19,29,61,0.475,6,15,0.4,23,46,.500,0.525,15,21,0.714,7,30,37,9,2,1,8,23,1,1,0,oklahoma-state,2013
25,25,2013-02-20,,Kansas,REG (Conf),L,67,68,2OT,21,64,0.328,4,21,0.19,17,43,0.395,0.359,21,31,0.677,12,25,37,10,6,7,9,22,25,61,0.41,1,11,0.091,24,50,.480,0.418,17,27,0.63,11,34,45,5,5,6,16,21,0,1,0,oklahoma-state,2013
26,26,2013-02-23,@,West Virginia,REG (Conf),W,73,57,,25,53,0.472,3,10,0.3,22,43,0.512,0.5,20,25,0.8,10,22,32,11,5,6,14,24,16,53,0.302,4,21,0.19,12,32,.375,0.34,21,26,0.808,12,19,31,7,6,2,15,22,1,1,0,oklahoma-state,2013
27,27,2013-02-27,@,TCU,REG (Conf),W,64,47,,27,49,0.551,2,10,0.2,25,39,0.641,0.571,8,11,0.727,2,26,28,12,7,5,12,16,15,55,0.273,4,13,0.308,11,42,.262,0.309,13,18,0.722,13,19,32,5,6,2,14,12,1,1,0,oklahoma-state,2013
