rk,game_num,date,Unnamed: 3_level_1,opponent,game_type,result,pts,pts_opp,Score_OT,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_fg2,opp_fg2a,opp_fg2_pct,opp_efg_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,win,is_regular_season,is_ncaa_tourney,team_abbrev,year
1,1,2012-11-09,@,Alabama,REG (Non-Conf),L,67,70,,25,50,0.5,8,21,0.381,17,29,0.586,0.58,9,12,0.75,6,15,21,8,3,2,13,14,25,52,0.481,6,21,0.286,19,31,.613,0.538,14,14,1.0,8,19,27,14,8,4,12,16,0,1,0,south-dakota-state,2013
2,2,2012-11-13,,Tennessee State,REG (Non-Conf),W,78,71,,23,47,0.489,7,19,0.368,16,28,0.571,0.564,25,32,0.781,6,29,35,17,4,5,16,15,26,70,0.371,9,25,0.36,17,45,.378,0.436,10,14,0.714,13,20,33,16,13,2,11,24,1,1,0,south-dakota-state,2013
3,3,2012-11-16,@,Hofstra,REG (Non-Conf),L,63,66,,22,52,0.423,5,20,0.25,17,32,0.531,0.471,14,18,0.778,10,17,27,9,7,9,11,18,26,60,0.433,4,16,0.25,22,44,.500,0.467,10,12,0.833,14,18,32,9,3,6,10,13,0,1,0,south-dakota-state,2013
4,4,2012-11-17,N,Marshall,REG (Non-Conf),W,78,77,,27,57,0.474,11,21,0.524,16,36,0.444,0.57,13,20,0.65,9,19,28,19,4,1,4,15,30,63,0.476,8,23,0.348,22,40,.550,0.54,9,14,0.643,17,22,39,15,3,3,9,15,1,1,0,south-dakota-state,2013
5,5,2012-11-18,N,Dist. Columbia,REG (Non-Conf),W,96,48,,39,70,0.557,7,19,0.368,32,51,0.627,0.607,11,15,0.733,12,35,47,27,8,2,8,14,17,59,0.288,5,14,0.357,12,45,.267,0.331,9,10,0.9,5,21,26,8,3,3,13,14,1,1,0,south-dakota-state,2013
6,6,2012-11-21,,SW Minn. St.,REG (Non-Conf),W,81,72,,29,66,0.439,9,24,0.375,20,42,0.476,0.508,14,23,0.609,15,24,39,15,3,4,8,10,30,59,0.508,8,20,0.4,22,39,.564,0.576,4,5,0.8,3,24,27,19,7,0,10,23,1,1,0,south-dakota-state,2013
7,7,2012-11-28,,North Dakota,REG (Non-Conf),W,71,70,,20,52,0.385,8,20,0.4,12,32,0.375,0.462,23,30,0.767,9,19,28,11,8,4,10,14,25,49,0.51,7,14,0.5,18,35,.514,0.582,13,16,0.813,4,24,28,15,5,0,14,23,1,1,0,south-dakota-state,2013
8,8,2012-12-01,,Omaha,REG (Conf),W,78,63,,32,67,0.478,8,25,0.32,24,42,0.571,0.537,6,8,0.75,11,19,30,17,9,2,12,17,25,52,0.481,6,16,0.375,19,36,.528,0.538,7,11,0.636,9,22,31,13,5,5,21,18,1,1,0,south-dakota-state,2013
9,9,2012-12-04,@,Minnesota,REG (Non-Conf),L,64,88,,22,57,0.386,11,27,0.407,11,30,0.367,0.482,9,11,0.818,10,12,22,17,7,1,18,14,33,58,0.569,10,22,0.455,23,36,.639,0.655,12,20,0.6,11,23,34,21,13,6,13,14,0,1,0,south-dakota-state,2013
10,10,2012-12-06,,Dakota State,REG (Non-Conf),W,83,52,,34,56,0.607,7,16,0.438,27,40,0.675,0.67,8,13,0.615,10,28,38,20,3,4,10,14,18,47,0.383,5,14,0.357,13,33,.394,0.436,11,14,0.786,2,15,17,7,9,0,11,16,1,1,0,south-dakota-state,2013
11,11,2012-12-09,,Cal State Bakersfield,REG (Non-Conf),W,69,63,,22,48,0.458,5,15,0.333,17,33,0.515,0.51,20,26,0.769,6,27,33,13,1,5,10,9,27,62,0.435,6,17,0.353,21,45,.467,0.484,3,3,1.0,4,24,28,12,7,3,8,20,1,1,0,south-dakota-state,2013
12,12,2012-12-15,@,Montana,REG (Non-Conf),W,68,67,2OT,26,69,0.377,7,22,0.318,19,47,0.404,0.428,9,11,0.818,14,32,46,15,9,1,13,14,25,58,0.431,8,25,0.32,17,33,.515,0.5,9,14,0.643,2,29,31,17,7,2,14,15,1,1,0,south-dakota-state,2013
13,13,2012-12-19,@,Belmont,REG (Non-Conf),L,49,76,,17,63,0.27,3,21,0.143,14,42,0.333,0.294,12,18,0.667,10,16,26,8,6,5,7,12,29,52,0.558,7,15,0.467,22,37,.595,0.625,11,11,1.0,4,38,42,16,5,6,12,15,0,1,0,south-dakota-state,2013
14,14,2012-12-22,@,New Mexico,REG (Non-Conf),W,70,65,,24,50,0.48,9,25,0.36,15,25,0.6,0.57,13,15,0.867,6,28,34,13,2,1,18,23,20,54,0.37,8,24,0.333,12,30,.400,0.444,17,24,0.708,8,19,27,13,10,1,8,15,1,1,0,south-dakota-state,2013
15,15,2012-12-29,@,North Dakota State,REG (Conf),L,62,65,,25,54,0.463,4,14,0.286,21,40,0.525,0.5,8,11,0.727,9,18,27,9,1,0,8,21,23,43,0.535,9,23,0.391,14,20,.700,0.64,10,21,0.476,5,21,26,11,2,4,8,15,0,1,0,south-dakota-state,2013
16,16,2013-01-03,@,Kansas City,REG (Conf),W,77,61,,29,57,0.509,12,27,0.444,17,30,0.567,0.614,7,9,0.778,7,22,29,21,5,1,10,9,23,52,0.442,8,19,0.421,15,33,.455,0.519,7,9,0.778,4,19,23,10,5,2,11,16,1,1,0,south-dakota-state,2013
17,17,2013-01-05,@,South Dakota,REG (Conf),L,71,74,,24,65,0.369,10,29,0.345,14,36,0.389,0.446,13,16,0.813,12,22,34,12,1,3,5,18,24,54,0.444,8,18,0.444,16,36,.444,0.519,18,19,0.947,5,28,33,12,4,3,8,15,0,1,0,south-dakota-state,2013
