rk,game_num,date,Unnamed: 3_level_1,opponent,game_type,result,pts,pts_opp,Score_OT,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_fg2,opp_fg2a,opp_fg2_pct,opp_efg_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,win,is_regular_season,is_ncaa_tourney,team_abbrev,year
1,1,2013-11-08,@,Richmond,REG (Non-Conf),L,69,71,,19,51,0.373,4,21,0.19,15,30,0.5,0.412,27,37,0.73,4,28,32,8,5,4,13,23,25,58,0.431,3,19,0.158,22,39,.564,0.457,18,27,0.667,8,31,39,10,5,4,13,26,0,1,0,delaware,2014
2,2,2013-11-10,,Charleston Southern,REG (Non-Conf),L,93,95,,34,73,0.466,12,35,0.343,22,38,0.579,0.548,13,15,0.867,16,23,39,14,7,6,12,20,34,68,0.5,12,24,0.5,22,44,.500,0.588,15,24,0.625,14,23,37,14,9,2,10,17,0,1,0,delaware,2014
3,3,2013-11-17,@,Hampton,REG (Non-Conf),W,90,79,,31,64,0.484,8,11,0.727,23,53,0.434,0.547,20,33,0.606,9,28,37,15,6,4,14,23,28,62,0.452,5,16,0.313,23,46,.500,0.492,18,28,0.643,7,26,33,17,5,7,15,25,1,1,0,delaware,2014
4,4,2013-11-19,@,Army,REG (Non-Conf),W,89,74,,35,74,0.473,7,22,0.318,28,52,0.538,0.52,12,18,0.667,19,23,42,15,9,4,13,18,29,64,0.453,2,21,0.095,27,43,.628,0.469,14,20,0.7,13,21,34,7,7,5,15,17,1,1,0,delaware,2014
5,5,2013-11-22,@,Villanova,REG (Non-Conf),L,80,84,,30,66,0.455,11,26,0.423,19,40,0.475,0.538,9,15,0.6,10,18,28,16,5,2,12,20,29,66,0.439,5,25,0.2,24,41,.585,0.477,21,27,0.778,18,25,43,18,7,3,9,14,0,1,0,delaware,2014
6,6,2013-11-25,@,Delaware State,REG (Non-Conf),W,80,70,,24,53,0.453,9,19,0.474,15,34,0.441,0.538,23,27,0.852,9,26,35,14,4,0,13,15,30,63,0.476,4,15,0.267,26,48,.542,0.508,6,9,0.667,7,20,27,11,10,4,10,24,1,1,0,delaware,2014
7,7,2013-11-30,,Robert Morris,REG (Non-Conf),W,86,67,,27,52,0.519,4,13,0.308,23,39,0.59,0.558,28,37,0.757,10,19,29,9,9,1,11,19,22,49,0.449,7,17,0.412,15,32,.469,0.52,16,25,0.64,9,17,26,9,5,2,17,25,1,1,0,delaware,2014
8,8,2013-12-03,@,Charleston Southern,REG (Non-Conf),W,85,80,,27,60,0.45,11,22,0.5,16,38,0.421,0.542,20,26,0.769,7,27,34,10,2,6,15,20,27,66,0.409,6,25,0.24,21,41,.512,0.455,20,25,0.8,7,21,28,14,7,2,9,20,1,1,0,delaware,2014
9,9,2013-12-07,@,Notre Dame,REG (Non-Conf),L,75,80,,24,52,0.462,10,23,0.435,14,29,0.483,0.558,17,22,0.773,6,20,26,13,5,5,11,21,27,55,0.491,5,12,0.417,22,43,.512,0.536,21,28,0.75,9,24,33,13,8,0,9,20,0,1,0,delaware,2014
10,10,2013-12-16,@,North Dakota State,REG (Non-Conf),L,66,85,,25,63,0.397,5,22,0.227,20,41,0.488,0.437,11,17,0.647,10,16,26,7,4,1,11,24,27,51,0.529,5,17,0.294,22,34,.647,0.578,26,35,0.743,10,27,37,13,6,3,10,19,0,1,0,delaware,2014
11,11,2013-12-18,@,Ohio State,REG (Non-Conf),L,64,76,,25,57,0.439,7,18,0.389,18,39,0.462,0.5,7,15,0.467,7,21,28,9,5,1,13,22,24,59,0.407,6,18,0.333,18,41,.439,0.458,22,32,0.688,16,29,45,7,8,7,13,14,0,1,0,delaware,2014
12,12,2013-12-21,N,Bryant,REG (Non-Conf),W,108,107,OT,38,77,0.494,6,22,0.273,32,55,0.582,0.532,26,36,0.722,17,21,38,12,9,3,4,25,37,65,0.569,11,18,0.611,26,47,.553,0.654,22,37,0.595,8,27,35,17,2,3,13,25,1,1,0,delaware,2014
13,13,2013-12-30,@,St. Bonaventure,REG (Non-Conf),L,73,80,,28,73,0.384,8,24,0.333,20,49,0.408,0.438,9,15,0.6,15,24,39,7,6,5,12,20,34,65,0.523,4,12,0.333,30,53,.566,0.554,8,14,0.571,7,30,37,23,5,8,10,15,0,1,0,delaware,2014
14,14,2014-01-01,,Liberty,REG (Non-Conf),W,77,64,,26,57,0.456,8,26,0.308,18,31,0.581,0.526,17,25,0.68,8,23,31,12,7,6,7,18,23,60,0.383,2,14,0.143,21,46,.457,0.4,16,22,0.727,13,26,39,9,1,2,13,22,1,1,0,delaware,2014
15,15,2014-01-04,,Cal Poly,REG (Non-Conf),W,82,72,,20,53,0.377,10,24,0.417,10,29,0.345,0.472,32,39,0.821,10,25,35,12,6,1,9,14,25,57,0.439,12,31,0.387,13,26,.500,0.544,10,13,0.769,5,24,29,14,5,1,10,24,1,1,0,delaware,2014
16,16,2014-01-08,,Hofstra,REG (Conf),W,86,79,,27,56,0.482,7,22,0.318,20,34,0.588,0.545,25,33,0.758,6,26,32,8,6,1,8,21,26,66,0.394,8,28,0.286,18,38,.474,0.455,19,30,0.633,16,26,42,12,6,2,11,25,1,1,0,delaware,2014
17,17,2014-01-11,@,James Madison,REG (Conf),W,78,74,,22,66,0.333,9,24,0.375,13,42,0.31,0.402,25,35,0.714,10,25,35,8,6,0,6,21,27,61,0.443,4,20,0.2,23,41,.561,0.475,16,24,0.667,10,36,46,8,3,6,11,26,1,1,0,delaware,2014
18,18,2014-01-15,,William & Mary,REG (Conf),W,76,71,,26,57,0.456,9,25,0.36,17,32,0.531,0.535,15,24,0.625,7,27,34,12,9,2,8,15,26,57,0.456,9,26,0.346,17,31,.548,0.535,10,17,0.588,8,26,34,16,5,2,14,19,1,1,0,delaware,2014
19,19,2014-01-18,@,Northeastern,REG (Conf),W,74,70,,28,50,0.56,7,19,0.368,21,31,0.677,0.63,11,18,0.611,2,28,30,9,2,6,6,18,25,65,0.385,3,14,0.214,22,51,.431,0.408,17,25,0.68,13,22,35,7,2,3,4,14,1,1,0,delaware,2014
20,20,2014-01-20,@,Drexel,REG (Conf),W,90,77,,35,62,0.565,4,10,0.4,31,52,0.596,0.597,16,21,0.762,11,29,40,18,4,7,12,15,29,68,0.426,9,25,0.36,20,43,.465,0.493,10,13,0.769,5,20,25,15,5,2,4,18,1,1,0,delaware,2014
21,21,2014-01-25,,Towson,REG (Conf),W,83,76,,26,60,0.433,5,21,0.238,21,39,0.538,0.475,26,41,0.634,9,18,27,8,6,2,7,28,23,57,0.404,2,17,0.118,21,40,.525,0.421,28,39,0.718,17,31,48,4,3,5,17,31,1,1,0,delaware,2014
22,22,2014-01-29,@,William & Mary,REG (Conf),W,89,72,,32,62,0.516,10,22,0.455,22,40,0.55,0.597,15,20,0.75,10,30,40,13,5,4,8,18,26,63,0.413,11,30,0.367,15,33,.455,0.5,9,16,0.563,7,22,29,15,4,7,8,17,1,1,0,delaware,2014
23,23,2014-02-01,,UNC Wilmington,REG (Conf),W,66,65,,20,58,0.345,5,19,0.263,15,39,0.385,0.388,21,30,0.7,9,21,30,8,5,7,9,11,25,61,0.41,4,13,0.308,21,48,.438,0.443,11,13,0.846,10,28,38,10,5,5,11,25,1,1,0,delaware,2014
24,24,2014-02-03,,Northeastern,REG (Conf),W,80,67,,29,68,0.426,12,27,0.444,17,41,0.415,0.515,10,14,0.714,15,25,40,13,4,4,6,15,25,52,0.481,4,13,0.308,21,39,.538,0.519,13,20,0.65,4,25,29,14,4,4,8,15,1,1,0,delaware,2014
