rk,game_num,date,Unnamed: 3_level_1,opponent,game_type,result,pts,pts_opp,Score_OT,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_fg2,opp_fg2a,opp_fg2_pct,opp_efg_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,win,is_regular_season,is_ncaa_tourney,team_abbrev,year
1,1,2013-11-08,,Mercer,REG (Non-Conf),W,76,73,,26,59,0.441,7,15,0.467,19,44,0.432,0.5,17,28,0.607,11,27,38,14,4,7,13,18,25,63,0.397,10,30,0.333,15,33,.455,0.476,13,21,0.619,12,20,32,17,7,4,13,22,1,1,0,texas,2014
2,2,2013-11-12,,South Alabama,REG (Non-Conf),W,84,77,,33,68,0.485,6,14,0.429,27,54,0.5,0.529,12,19,0.632,16,23,39,14,6,6,12,14,25,59,0.424,13,33,0.394,12,26,.462,0.534,14,16,0.875,7,17,24,12,6,4,14,19,1,1,0,texas,2014
3,3,2013-11-15,,Stephen F. Austin,REG (Non-Conf),W,72,62,,26,51,0.51,2,9,0.222,24,42,0.571,0.529,18,24,0.75,10,28,38,5,5,7,16,18,22,57,0.386,11,24,0.458,11,33,.333,0.482,7,14,0.5,10,15,25,13,5,2,13,21,1,1,0,texas,2014
4,4,2013-11-18,,Houston Baptist,REG (Non-Conf),W,89,61,,30,67,0.448,11,25,0.44,19,42,0.452,0.53,18,40,0.45,19,30,49,18,8,11,9,24,20,51,0.392,5,9,0.556,15,42,.357,0.441,16,29,0.552,6,21,27,9,3,1,16,26,1,1,0,texas,2014
5,5,2013-11-25,N,Brigham Young,REG (Non-Conf),L,82,86,,28,74,0.378,6,24,0.25,22,50,0.44,0.419,20,31,0.645,15,30,45,13,12,9,13,22,28,62,0.452,10,12,0.833,18,50,.360,0.532,20,28,0.714,4,32,36,18,7,2,16,23,0,1,0,texas,2014
6,6,2013-11-26,N,DePaul,REG (Non-Conf),W,77,59,,26,52,0.5,2,9,0.222,24,43,0.558,0.519,23,28,0.821,14,19,33,9,8,3,15,19,18,47,0.383,5,17,0.294,13,30,.433,0.436,18,22,0.818,10,8,18,8,4,2,15,24,1,1,0,texas,2014
7,7,2013-11-29,,UT Arlington,REG (Non-Conf),W,72,69,,25,55,0.455,3,15,0.2,22,40,0.55,0.482,19,37,0.514,9,29,38,9,9,12,9,16,23,60,0.383,9,27,0.333,14,33,.424,0.458,14,18,0.778,8,23,31,7,3,6,16,23,1,1,0,texas,2014
8,8,2013-12-02,,Vanderbilt,REG (Non-Conf),W,70,64,,25,56,0.446,5,13,0.385,20,43,0.465,0.491,15,29,0.517,9,27,36,15,7,6,14,18,22,58,0.379,5,21,0.238,17,37,.459,0.422,15,21,0.714,8,24,32,13,8,3,15,21,1,1,0,texas,2014
9,9,2013-12-07,N,Temple,REG (Non-Conf),W,81,80,OT,28,73,0.384,4,14,0.286,24,59,0.407,0.411,21,35,0.6,18,31,49,15,6,9,17,26,30,70,0.429,5,22,0.227,25,48,.521,0.464,15,31,0.484,10,25,35,21,12,2,14,24,1,1,0,texas,2014
10,10,2013-12-14,,Texas State San Marcos,REG (Non-Conf),W,85,53,,27,56,0.482,6,15,0.4,21,41,0.512,0.536,25,35,0.714,10,32,42,11,11,7,13,15,19,64,0.297,5,26,0.192,14,38,.368,0.336,10,18,0.556,13,22,35,9,10,3,16,19,1,1,0,texas,2014
11,11,2013-12-18,@,North Carolina,REG (Non-Conf),W,86,83,,29,72,0.403,8,21,0.381,21,51,0.412,0.458,20,33,0.606,19,30,49,13,6,7,12,31,25,65,0.385,9,19,0.474,16,46,.348,0.454,24,47,0.511,13,26,39,13,7,5,8,24,1,1,0,texas,2014
12,12,2013-12-21,,Michigan State,REG (Non-Conf),L,78,92,,24,61,0.393,6,17,0.353,18,44,0.409,0.443,24,32,0.75,9,19,28,11,4,4,12,26,29,58,0.5,7,22,0.318,22,36,.611,0.56,27,33,0.818,11,30,41,14,4,3,13,25,0,1,0,texas,2014
13,13,2013-12-30,,Rice,REG (Non-Conf),W,66,44,,22,48,0.458,3,9,0.333,19,39,0.487,0.49,19,27,0.704,6,31,37,13,7,2,12,10,16,55,0.291,6,29,0.207,10,26,.385,0.345,6,7,0.857,6,23,29,11,8,2,11,20,1,1,0,texas,2014
14,14,2014-01-04,,Oklahoma,REG (Conf),L,85,88,,31,61,0.508,9,22,0.409,22,39,0.564,0.582,14,20,0.7,6,20,26,15,6,9,14,21,27,63,0.429,13,28,0.464,14,35,.400,0.532,21,26,0.808,14,20,34,15,7,1,14,19,0,1,0,texas,2014
15,15,2014-01-08,@,Oklahoma State,REG (Conf),L,74,87,,28,70,0.4,3,18,0.167,25,52,0.481,0.421,15,23,0.652,18,24,42,11,5,4,16,31,23,50,0.46,6,14,0.429,17,36,.472,0.52,35,51,0.686,6,25,31,13,13,8,7,19,0,1,0,texas,2014
16,16,2014-01-11,,Texas Tech,REG (Conf),W,67,64,,23,51,0.451,3,12,0.25,20,39,0.513,0.48,18,21,0.857,10,20,30,10,4,5,13,18,21,46,0.457,6,18,0.333,15,28,.536,0.522,16,23,0.696,7,16,23,12,5,4,12,17,1,1,0,texas,2014
17,17,2014-01-13,@,West Virginia,REG (Conf),W,80,69,,29,55,0.527,4,9,0.444,25,46,0.543,0.564,18,23,0.783,9,39,48,14,5,4,17,17,26,69,0.377,4,25,0.16,22,44,.500,0.406,13,20,0.65,8,16,24,12,13,7,6,18,1,1,0,texas,2014
18,18,2014-01-18,,Iowa State,REG (Conf),W,86,76,,27,65,0.415,8,24,0.333,19,41,0.463,0.477,24,31,0.774,13,20,33,12,5,9,8,20,24,61,0.393,11,32,0.344,13,29,.448,0.484,17,22,0.773,10,26,36,15,3,3,18,26,1,1,0,texas,2014
19,19,2014-01-21,,Kansas State,REG (Conf),W,67,64,,26,57,0.456,3,12,0.25,23,45,0.511,0.482,12,20,0.6,12,20,32,8,5,4,10,14,26,61,0.426,4,16,0.25,22,45,.489,0.459,8,14,0.571,11,18,29,14,3,2,11,18,1,1,0,texas,2014
20,20,2014-01-25,@,Baylor,REG (Conf),W,74,60,,26,58,0.448,2,11,0.182,24,47,0.511,0.466,20,34,0.588,11,29,40,16,8,4,8,20,18,56,0.321,3,17,0.176,15,39,.385,0.348,21,32,0.656,9,27,36,11,5,8,13,26,1,1,0,texas,2014
21,21,2014-02-01,,Kansas,REG (Conf),W,81,69,,24,56,0.429,3,10,0.3,21,46,0.457,0.455,30,45,0.667,14,24,38,8,7,12,10,19,25,65,0.385,6,14,0.429,19,51,.373,0.431,13,19,0.684,15,18,33,10,4,4,12,31,1,1,0,texas,2014
22,22,2014-02-04,@,TCU,REG (Conf),W,59,54,,18,58,0.31,5,18,0.278,13,40,0.325,0.353,18,26,0.692,22,30,52,12,2,3,13,16,17,52,0.327,7,21,0.333,10,31,.323,0.394,13,18,0.722,5,15,20,12,2,5,8,20,1,1,0,texas,2014
23,23,2014-02-08,@,Kansas State,REG (Conf),L,57,74,,18,55,0.327,5,13,0.385,13,42,0.31,0.373,16,18,0.889,15,19,34,7,7,2,18,12,28,53,0.528,8,16,0.5,20,37,.541,0.604,10,13,0.769,7,21,28,21,13,4,12,19,0,1,0,texas,2014
24,24,2014-02-11,,Oklahoma State,REG (Conf),W,87,68,,26,55,0.473,11,23,0.478,15,32,0.469,0.573,24,31,0.774,10,27,37,14,6,1,12,22,21,59,0.356,5,19,0.263,16,40,.400,0.398,21,31,0.677,12,21,33,6,8,1,10,23,1,1,0,texas,2014
25,25,2014-02-15,,West Virginia,REG (Conf),W,88,71,,33,57,0.579,4,13,0.308,29,44,0.659,0.614,18,27,0.667,11,29,40,18,4,5,11,18,23,58,0.397,8,23,0.348,15,35,.429,0.466,17,25,0.68,8,14,22,9,4,1,10,18,1,1,0,texas,2014
26,26,2014-02-18,@,Iowa State,REG (Conf),L,76,85,,23,70,0.329,7,23,0.304,16,47,0.34,0.379,23,25,0.92,15,24,39,16,4,7,9,17,30,61,0.492,8,24,0.333,22,37,.595,0.557,17,24,0.708,6,26,32,21,6,3,6,16,0,1,0,texas,2014
27,27,2014-02-22,@,Kansas,REG (Conf),L,54,85,,21,61,0.344,4,13,0.308,17,48,0.354,0.377,8,19,0.421,16,17,33,11,4,7,12,17,31,60,0.517,7,21,0.333,24,39,.615,0.575,16,21,0.762,10,26,36,19,7,9,7,19,0,1,0,texas,2014
28,28,2014-02-26,,Baylor,REG (Conf),W,74,69,,28,59,0.475,8,16,0.5,20,43,0.465,0.542,10,19,0.526,15,21,36,17,1,8,7,16,22,61,0.361,8,22,0.364,14,39,.359,0.426,17,27,0.63,16,18,34,11,4,5,5,18,1,1,0,texas,2014
