rk,game_num,date,Unnamed: 3_level_1,opponent,game_type,result,pts,pts_opp,Score_OT,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_fg2,opp_fg2a,opp_fg2_pct,opp_efg_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,win,is_regular_season,is_ncaa_tourney,team_abbrev,year
1,1,2014-11-14,,New Mexico State,REG (Non-Conf),W,71,54,,31,63,0.492,0,11,0.0,31,52,0.596,0.492,9,16,0.563,14,20,34,11,11,4,11,22,16,40,0.4,4,17,0.235,12,23,.522,0.45,18,31,0.581,8,21,29,9,6,3,19,15,1,1,0,wichita-state,2015
2,2,2014-11-18,N,Memphis,REG (Non-Conf),W,71,56,,25,62,0.403,4,16,0.25,21,46,0.457,0.435,17,23,0.739,10,22,32,13,8,3,11,23,20,49,0.408,2,9,0.222,18,40,.450,0.429,14,23,0.609,9,23,32,4,0,9,23,20,1,1,0,wichita-state,2015
3,3,2014-11-23,,Newman,REG (Non-Conf),W,105,57,,35,67,0.522,10,23,0.435,25,44,0.568,0.597,25,39,0.641,16,35,51,22,6,5,10,19,17,53,0.321,8,24,0.333,9,29,.310,0.396,15,24,0.625,4,14,18,10,4,0,14,27,1,1,0,wichita-state,2015
4,4,2014-11-29,,Tulsa,REG (Non-Conf),W,75,55,,25,54,0.463,12,26,0.462,13,28,0.464,0.574,13,21,0.619,9,23,32,18,5,0,6,15,21,51,0.412,8,16,0.5,13,35,.371,0.49,5,8,0.625,5,18,23,11,0,2,10,20,1,1,0,wichita-state,2015
5,5,2014-12-03,@,Utah,REG (Non-Conf),L,68,69,OT,24,63,0.381,11,30,0.367,13,33,0.394,0.468,9,13,0.692,11,23,34,8,6,5,6,22,24,51,0.471,9,21,0.429,15,30,.500,0.559,12,23,0.522,9,27,36,14,2,5,11,12,0,1,0,wichita-state,2015
6,6,2014-12-06,,Saint Louis,REG (Non-Conf),W,81,52,,28,52,0.538,10,18,0.556,18,34,0.529,0.635,15,21,0.714,11,28,39,20,5,4,15,23,15,42,0.357,5,14,0.357,10,28,.357,0.417,17,25,0.68,3,15,18,9,8,5,14,18,1,1,0,wichita-state,2015
7,7,2014-12-09,,Seton Hall,REG (Non-Conf),W,77,68,,29,55,0.527,6,13,0.462,23,42,0.548,0.582,13,23,0.565,9,20,29,15,10,1,12,21,24,51,0.471,8,20,0.4,16,31,.516,0.549,12,21,0.571,7,18,25,6,6,4,18,20,1,1,0,wichita-state,2015
8,8,2014-12-13,@,Detroit Mercy,REG (Non-Conf),W,77,68,,26,63,0.413,9,28,0.321,17,35,0.486,0.484,16,25,0.64,16,23,39,13,9,0,10,11,26,58,0.448,9,24,0.375,17,34,.500,0.526,7,10,0.7,9,24,33,12,5,4,12,22,1,1,0,wichita-state,2015
9,9,2014-12-16,,Alabama,REG (Non-Conf),W,53,52,,20,49,0.408,5,18,0.278,15,31,0.484,0.459,8,17,0.471,11,18,29,14,5,0,10,12,20,43,0.465,5,16,0.313,15,27,.556,0.523,7,12,0.583,5,20,25,8,4,4,10,16,1,1,0,wichita-state,2015
10,10,2014-12-22,N,Loyola Marymount,REG (Non-Conf),W,80,53,,26,56,0.464,11,24,0.458,15,32,0.469,0.563,17,24,0.708,14,14,28,15,10,0,7,20,18,38,0.474,0,5,0.0,18,33,.545,0.474,17,22,0.773,7,10,17,5,5,5,16,21,1,1,0,wichita-state,2015
