rk,game_num,date,Unnamed: 3_level_1,opponent,game_type,result,pts,pts_opp,Score_OT,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_fg2,opp_fg2a,opp_fg2_pct,opp_efg_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,win,is_regular_season,is_ncaa_tourney,team_abbrev,year
1,1,2016-11-11,,Louisiana Tech,REG (Non-Conf),W,85,76,,30,57,0.526,9,18,0.5,21,39,0.538,0.605,16,26,0.615,7,23,30,16,6,4,15,20,24,55,0.436,7,20,0.35,17,35,.486,0.5,21,30,0.7,9,20,29,8,11,4,13,28,1,1,0,south-carolina,2017
2,2,2016-11-13,,Holy Cross,REG (Non-Conf),W,81,49,,27,46,0.587,12,24,0.5,15,22,0.682,0.717,15,16,0.938,8,22,30,17,4,6,11,17,17,45,0.378,5,20,0.25,12,25,.480,0.433,10,15,0.667,5,10,15,12,3,0,8,16,1,1,0,south-carolina,2017
3,3,2016-11-15,,Monmouth,REG (Non-Conf),W,70,69,OT,23,68,0.338,7,23,0.304,16,45,0.356,0.39,17,25,0.68,14,26,40,15,7,5,20,22,20,65,0.308,6,28,0.214,14,37,.378,0.354,23,27,0.852,13,25,38,10,15,4,18,24,1,1,0,south-carolina,2017
4,4,2016-11-18,,South Carolina State,REG (Non-Conf),W,92,50,,33,65,0.508,8,24,0.333,25,41,0.61,0.569,18,21,0.857,15,27,42,17,6,9,12,17,16,52,0.308,5,14,0.357,11,38,.289,0.356,13,21,0.619,5,14,19,6,6,1,14,19,1,1,0,south-carolina,2017
5,5,2016-11-23,,Michigan,REG (Non-Conf),W,61,46,,23,53,0.434,4,15,0.267,19,38,0.5,0.472,11,18,0.611,12,24,36,10,5,6,13,24,10,52,0.192,2,26,0.077,8,26,.308,0.212,24,32,0.75,15,15,30,2,7,0,15,17,1,1,0,south-carolina,2017
6,6,2016-11-26,N,Syracuse,REG (Non-Conf),W,64,50,,23,51,0.451,4,13,0.308,19,38,0.5,0.49,14,19,0.737,9,24,33,13,12,1,15,21,14,44,0.318,6,15,0.4,8,29,.276,0.386,16,26,0.615,8,19,27,9,6,2,17,19,1,1,0,south-carolina,2017
7,7,2016-12-01,,Vermont,REG (Non-Conf),W,68,50,,29,62,0.468,4,13,0.308,25,49,0.51,0.5,6,7,0.857,9,25,34,18,11,3,13,15,18,51,0.353,5,20,0.25,13,31,.419,0.402,9,14,0.643,9,19,28,5,7,2,18,14,1,1,0,south-carolina,2017
8,8,2016-12-04,,Florida International,REG (Non-Conf),W,70,54,,25,61,0.41,8,21,0.381,17,40,0.425,0.475,12,19,0.632,10,22,32,16,13,6,9,17,19,46,0.413,5,15,0.333,14,31,.452,0.467,11,16,0.688,7,26,33,5,7,1,22,18,1,1,0,south-carolina,2017
9,9,2016-12-12,N,Seton Hall,REG (Non-Conf),L,64,67,,22,57,0.386,5,16,0.313,17,41,0.415,0.43,15,25,0.6,10,22,32,6,10,4,13,23,19,55,0.345,3,12,0.25,16,43,.372,0.373,26,36,0.722,11,27,38,6,6,2,16,18,0,1,0,south-carolina,2017
10,10,2016-12-17,@,South Florida,REG (Non-Conf),W,77,66,,27,62,0.435,10,25,0.4,17,37,0.459,0.516,13,20,0.65,7,22,29,18,9,4,6,21,21,50,0.42,6,11,0.545,15,39,.385,0.48,18,27,0.667,11,25,36,5,3,2,17,18,1,1,0,south-carolina,2017
11,11,2016-12-21,,Clemson,REG (Non-Conf),L,60,62,,22,62,0.355,2,16,0.125,20,46,0.435,0.371,14,20,0.7,13,19,32,10,8,4,13,22,21,51,0.412,3,16,0.188,18,35,.514,0.441,17,27,0.63,11,23,34,8,9,5,14,21,0,1,0,south-carolina,2017
12,12,2016-12-27,,Lander,REG (Non-Conf),W,90,62,,35,67,0.522,10,21,0.476,25,46,0.543,0.597,10,16,0.625,13,29,42,18,6,10,12,16,22,62,0.355,5,23,0.217,17,39,.436,0.395,13,19,0.684,8,23,31,12,7,4,12,17,1,1,0,south-carolina,2017
13,13,2016-12-30,@,Memphis,REG (Non-Conf),L,54,70,,18,57,0.316,9,25,0.36,9,32,0.281,0.395,9,15,0.6,15,18,33,12,6,2,17,30,20,43,0.465,1,7,0.143,19,36,.528,0.477,29,37,0.784,10,21,31,14,4,4,16,18,0,1,0,south-carolina,2017
14,14,2017-01-04,@,Georgia,REG (Conf),W,67,61,,26,61,0.426,5,17,0.294,21,44,0.477,0.467,10,17,0.588,11,23,34,11,7,8,7,23,17,47,0.362,4,13,0.308,13,34,.382,0.404,23,30,0.767,10,28,38,10,2,3,15,17,1,1,0,south-carolina,2017
15,15,2017-01-07,,Texas A&M,REG (Conf),W,79,68,,28,70,0.4,9,25,0.36,19,45,0.422,0.464,14,17,0.824,15,12,27,14,11,2,6,10,27,51,0.529,11,19,0.579,16,32,.500,0.637,3,5,0.6,11,24,35,16,3,4,25,15,1,1,0,south-carolina,2017
16,16,2017-01-11,@,Tennessee,REG (Conf),W,70,60,,22,54,0.407,7,13,0.538,15,41,0.366,0.472,19,27,0.704,12,21,33,12,12,5,21,26,17,52,0.327,1,11,0.091,16,41,.390,0.337,25,33,0.758,13,18,31,10,6,5,22,22,1,1,0,south-carolina,2017
17,17,2017-01-14,,Ole Miss,REG (Conf),W,67,56,,20,55,0.364,5,20,0.25,15,35,0.429,0.409,22,31,0.71,13,27,40,12,10,3,20,19,17,55,0.309,5,17,0.294,12,38,.316,0.355,17,23,0.739,10,20,30,8,9,3,21,23,1,1,0,south-carolina,2017
18,18,2017-01-18,,Florida,REG (Conf),W,57,53,,15,51,0.294,4,13,0.308,11,38,0.289,0.333,23,34,0.676,9,28,37,8,7,6,15,28,19,54,0.352,0,17,0.0,19,37,.514,0.352,15,28,0.536,10,22,32,8,9,5,15,27,1,1,0,south-carolina,2017
19,19,2017-01-21,@,Kentucky,REG (Conf),L,69,85,,24,58,0.414,5,20,0.25,19,38,0.5,0.457,16,19,0.842,9,14,23,11,7,1,13,26,28,48,0.583,8,20,0.4,20,28,.714,0.667,21,28,0.75,7,22,29,17,6,5,17,16,0,1,0,south-carolina,2017
20,20,2017-01-24,,Auburn,REG (Conf),W,98,69,,30,61,0.492,15,26,0.577,15,35,0.429,0.615,23,33,0.697,12,23,35,23,7,5,15,29,21,59,0.356,3,21,0.143,18,38,.474,0.381,24,39,0.615,14,20,34,8,7,8,19,24,1,1,0,south-carolina,2017
21,21,2017-01-28,@,Missouri,REG (Conf),W,63,53,,20,57,0.351,9,25,0.36,11,32,0.344,0.43,14,19,0.737,10,26,36,9,6,4,14,19,20,56,0.357,1,17,0.059,19,39,.487,0.366,12,17,0.706,8,26,34,8,2,0,14,21,1,1,0,south-carolina,2017
22,22,2017-02-01,@,Louisiana State,REG (Conf),W,88,63,,30,61,0.492,7,21,0.333,23,40,0.575,0.549,21,31,0.677,11,23,34,10,10,1,14,17,24,60,0.4,6,20,0.3,18,40,.450,0.45,9,14,0.643,10,22,32,10,7,3,22,22,1,1,0,south-carolina,2017
23,23,2017-02-04,,Georgia,REG (Conf),W,77,75,,26,60,0.433,11,24,0.458,15,36,0.417,0.525,14,25,0.56,8,16,24,13,9,2,7,22,24,49,0.49,5,9,0.556,19,40,.475,0.541,22,28,0.786,8,24,32,12,6,5,14,20,1,1,0,south-carolina,2017
24,24,2017-02-07,,Alabama,REG (Conf),L,86,90,4OT,23,88,0.261,5,31,0.161,18,57,0.316,0.29,35,50,0.7,22,29,51,7,11,2,13,26,30,71,0.423,8,27,0.296,22,44,.500,0.479,22,33,0.667,10,46,56,11,6,5,24,36,0,1,0,south-carolina,2017
25,25,2017-02-11,@,Mississippi State,REG (Conf),W,77,73,,27,54,0.5,6,15,0.4,21,39,0.538,0.556,17,29,0.586,5,17,22,12,4,2,11,15,27,51,0.529,11,27,0.407,16,24,.667,0.637,8,12,0.667,6,24,30,12,5,4,18,27,1,1,0,south-carolina,2017
26,26,2017-02-15,,Arkansas,REG (Conf),L,76,83,,28,65,0.431,6,22,0.273,22,43,0.512,0.477,14,17,0.824,12,15,27,15,3,4,12,18,30,56,0.536,7,14,0.5,23,42,.548,0.598,16,18,0.889,9,18,27,12,6,6,13,19,0,1,0,south-carolina,2017
27,27,2017-02-18,@,Vanderbilt,REG (Conf),L,62,71,,24,56,0.429,1,9,0.111,23,47,0.489,0.438,13,22,0.591,8,23,31,7,6,1,10,22,20,45,0.444,9,25,0.36,11,20,.550,0.544,22,32,0.688,7,26,33,9,4,8,14,22,0,1,0,south-carolina,2017
28,28,2017-02-21,@,Florida,REG (Conf),L,66,81,,22,56,0.393,3,14,0.214,19,42,0.452,0.42,19,22,0.864,8,17,25,8,7,1,15,22,25,51,0.49,9,19,0.474,16,32,.500,0.578,22,27,0.815,8,22,30,13,9,4,15,21,0,1,0,south-carolina,2017
29,29,2017-02-25,,Tennessee,REG (Conf),W,82,55,,27,60,0.45,9,23,0.391,18,37,0.486,0.525,19,26,0.731,6,23,29,15,7,6,18,19,18,54,0.333,1,13,0.077,17,41,.415,0.343,18,21,0.857,9,20,29,3,9,6,19,22,1,1,0,south-carolina,2017
30,30,2017-02-28,,Mississippi State,REG (Conf),W,63,57,,17,50,0.34,4,19,0.211,13,31,0.419,0.38,25,34,0.735,13,22,35,9,10,1,16,14,20,55,0.364,7,26,0.269,13,29,.448,0.427,10,12,0.833,9,20,29,10,6,7,18,26,1,1,0,south-carolina,2017
31,31,2017-03-04,@,Ole Miss,REG (Conf),L,70,75,,23,63,0.365,9,29,0.31,14,34,0.412,0.437,15,24,0.625,11,19,30,17,8,3,12,25,24,52,0.462,8,17,0.471,16,35,.457,0.538,19,30,0.633,9,29,38,11,3,4,17,20,0,1,0,south-carolina,2017
32,32,2017-03-10,N,Alabama,CTOURN,L,53,64,,18,49,0.367,4,17,0.235,14,32,0.438,0.408,13,23,0.565,7,18,25,5,6,3,9,20,22,49,0.449,5,15,0.333,17,34,.500,0.5,15,21,0.714,10,30,40,13,1,0,12,22,0,0,0,south-carolina,2017
33,33,2017-03-17,N,Marquette,ROUND-64,W,93,73,,36,68,0.529,8,24,0.333,28,44,0.636,0.588,13,19,0.684,11,23,34,17,11,2,8,13,25,54,0.463,11,28,0.393,14,26,.538,0.565,12,14,0.857,5,21,26,12,3,3,17,20,1,0,0,south-carolina,2017
34,34,2017-03-19,N,Duke,ROUND-32,W,88,81,,27,63,0.429,7,22,0.318,20,41,0.488,0.484,27,32,0.844,12,21,33,16,8,2,11,22,22,53,0.415,10,27,0.37,12,26,.462,0.509,27,29,0.931,8,23,31,11,6,7,18,26,1,0,0,south-carolina,2017
35,35,2017-03-24,N,Baylor,ROUND-16,W,70,50,,23,50,0.46,8,20,0.4,15,30,0.5,0.54,16,23,0.696,8,29,37,12,7,6,12,20,17,56,0.304,3,13,0.231,14,43,.326,0.33,13,20,0.65,10,19,29,11,6,3,16,20,1,0,0,south-carolina,2017
36,36,2017-03-26,N,Florida,ROUND-8,W,77,70,,26,53,0.491,2,10,0.2,24,43,0.558,0.509,23,31,0.742,10,21,31,7,4,2,11,17,25,60,0.417,7,26,0.269,18,34,.529,0.475,13,14,0.929,9,15,24,11,7,5,14,21,1,0,0,south-carolina,2017
37,37,2017-04-01,N,Gonzaga,NATIONAL-SEMI,L,73,77,,25,66,0.379,7,20,0.35,18,46,0.391,0.432,16,22,0.727,12,23,35,12,7,6,5,14,29,60,0.483,9,19,0.474,20,41,.488,0.558,10,13,0.769,6,31,37,15,3,8,12,21,0,0,0,south-carolina,2017
