rk,game_num,date,Unnamed: 3_level_1,opponent,game_type,result,pts,pts_opp,Score_OT,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_fg2,opp_fg2a,opp_fg2_pct,opp_efg_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,win,is_regular_season,is_ncaa_tourney,team_abbrev,year
1,1,2016-11-11,,Gardner-Webb,REG (Non-Conf),W,72,44,,24,53,0.453,8,21,0.381,16,32,0.5,0.528,16,21,0.762,16,24,40,17,11,5,18,15,15,49,0.306,6,22,0.273,9,27,.333,0.367,8,15,0.533,10,13,23,9,12,1,23,20,1,1,0,southern-methodist,2017
2,2,2016-11-13,,Eastern Michigan,REG (Non-Conf),W,91,64,,29,55,0.527,8,21,0.381,21,34,0.618,0.6,25,38,0.658,14,28,42,26,6,1,14,21,18,53,0.34,8,33,0.242,10,20,.500,0.415,20,24,0.833,9,16,25,7,10,6,14,27,1,1,0,southern-methodist,2017
3,3,2016-11-17,N,Pittsburgh,REG (Non-Conf),W,76,67,,30,63,0.476,6,18,0.333,24,45,0.533,0.524,10,13,0.769,13,19,32,12,5,5,7,19,23,52,0.442,6,19,0.316,17,33,.515,0.5,15,22,0.682,6,18,24,10,1,3,13,20,1,1,0,southern-methodist,2017
4,4,2016-11-18,N,Michigan,REG (Non-Conf),L,54,76,,22,57,0.386,6,16,0.375,16,41,0.39,0.439,4,9,0.444,11,22,33,8,3,0,13,14,27,51,0.529,13,31,0.419,14,20,.700,0.657,9,11,0.818,2,22,24,14,7,3,4,11,0,1,0,southern-methodist,2017
5,5,2016-11-22,,UC Santa Barbara,REG (Non-Conf),W,84,57,,29,52,0.558,9,19,0.474,20,33,0.606,0.644,17,27,0.63,10,32,42,21,6,1,11,12,21,64,0.328,7,30,0.233,14,34,.412,0.383,8,10,0.8,10,14,24,12,4,2,10,19,1,1,0,southern-methodist,2017
6,6,2016-11-25,@,Southern California,REG (Non-Conf),L,73,78,,27,65,0.415,6,17,0.353,21,48,0.438,0.462,13,18,0.722,9,25,34,13,8,2,11,22,26,53,0.491,12,24,0.5,14,29,.483,0.604,14,26,0.538,7,27,34,15,4,8,14,23,0,1,0,southern-methodist,2017
7,7,2016-11-30,@,Boise State,REG (Non-Conf),L,62,71,,25,55,0.455,1,11,0.091,24,44,0.545,0.464,11,22,0.5,12,23,35,9,3,3,16,19,25,54,0.463,7,21,0.333,18,33,.545,0.528,14,19,0.737,4,22,26,7,10,1,9,18,0,1,0,southern-methodist,2017
8,8,2016-12-02,,Cal State Bakersfield,REG (Non-Conf),W,49,43,,14,44,0.318,6,17,0.353,8,27,0.296,0.386,15,21,0.714,8,24,32,12,6,8,15,10,17,57,0.298,6,21,0.286,11,36,.306,0.351,3,7,0.429,13,20,33,12,6,3,14,18,1,1,0,southern-methodist,2017
9,9,2016-12-04,,Delaware State,REG (Non-Conf),W,74,60,,25,53,0.472,7,22,0.318,18,31,0.581,0.538,17,24,0.708,17,25,42,19,8,5,19,15,21,51,0.412,9,22,0.409,12,29,.414,0.5,9,14,0.643,4,14,18,14,10,0,16,21,1,1,0,southern-methodist,2017
10,10,2016-12-07,,TCU,REG (Non-Conf),W,74,59,,23,52,0.442,5,16,0.313,18,36,0.5,0.49,23,30,0.767,10,24,34,14,2,3,5,14,23,54,0.426,6,22,0.273,17,32,.531,0.481,7,12,0.583,10,18,28,13,2,3,9,21,1,1,0,southern-methodist,2017
