rk,game_num,date,Unnamed: 3_level_1,opponent,game_type,result,pts,pts_opp,Score_OT,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_fg2,opp_fg2a,opp_fg2_pct,opp_efg_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,win,is_regular_season,is_ncaa_tourney,team_abbrev,year
1,1,2016-11-11,,Lafayette,REG (Non-Conf),W,88,48,,33,67,0.493,15,41,0.366,18,26,0.692,0.604,7,12,0.583,9,41,50,15,8,4,8,14,19,65,0.292,6,32,0.188,13,33,.394,0.338,4,7,0.571,4,22,26,12,3,0,13,15,1,1,0,villanova,2017
2,2,2016-11-14,@,Purdue,REG (Non-Conf),W,79,76,,27,56,0.482,7,17,0.412,20,39,0.513,0.545,18,22,0.818,6,22,28,12,7,3,11,21,28,57,0.491,8,22,0.364,20,35,.571,0.561,12,19,0.632,5,22,27,26,2,1,15,21,1,1,0,villanova,2017
3,3,2016-11-17,N,Western Michigan,REG (Non-Conf),W,76,65,,24,47,0.511,9,23,0.391,15,24,0.625,0.606,19,24,0.792,4,18,22,12,12,3,12,17,25,50,0.5,3,16,0.188,22,34,.647,0.53,12,14,0.857,7,20,27,14,6,1,18,22,1,1,0,villanova,2017
4,4,2016-11-18,N,Wake Forest,REG (Non-Conf),W,96,77,,34,59,0.576,16,31,0.516,18,28,0.643,0.712,12,14,0.857,9,23,32,17,4,4,6,14,29,58,0.5,8,21,0.381,21,37,.568,0.569,11,13,0.846,5,16,21,16,1,3,4,16,1,1,0,villanova,2017
5,5,2016-11-20,N,UCF,REG (Non-Conf),W,67,57,,24,57,0.421,7,26,0.269,17,31,0.548,0.482,12,12,1.0,9,21,30,9,7,2,10,15,25,56,0.446,5,20,0.25,20,36,.556,0.491,2,7,0.286,8,20,28,14,4,2,13,14,1,1,0,villanova,2017
6,6,2016-11-23,,College of Charleston,REG (Non-Conf),W,63,47,,21,48,0.438,5,17,0.294,16,31,0.516,0.49,16,24,0.667,7,24,31,13,6,3,9,9,19,54,0.352,4,22,0.182,15,32,.469,0.389,5,6,0.833,8,20,28,9,4,3,12,18,1,1,0,villanova,2017
7,7,2016-11-29,@,Pennsylvania,REG (Non-Conf),W,82,57,,27,49,0.551,12,26,0.462,15,23,0.652,0.673,16,23,0.696,6,28,34,16,8,4,16,18,18,56,0.321,8,27,0.296,10,29,.345,0.393,13,17,0.765,9,18,27,14,12,1,17,22,1,1,0,villanova,2017
8,8,2016-12-03,,Saint Joseph's,REG (Non-Conf),W,88,57,,32,62,0.516,16,34,0.471,16,28,0.571,0.645,8,12,0.667,9,32,41,23,6,2,10,14,21,62,0.339,5,15,0.333,16,47,.340,0.379,10,13,0.769,10,18,28,10,2,0,12,12,1,1,0,villanova,2017
9,9,2016-12-06,N,La Salle,REG (Non-Conf),W,89,79,,34,67,0.507,8,19,0.421,26,48,0.542,0.567,13,16,0.813,7,24,31,15,3,4,6,14,31,59,0.525,8,21,0.381,23,38,.605,0.593,9,14,0.643,5,22,27,17,2,3,11,20,1,1,0,villanova,2017
10,10,2016-12-10,N,Notre Dame,REG (Non-Conf),W,74,66,,25,50,0.5,4,16,0.25,21,34,0.618,0.54,20,22,0.909,10,23,33,10,5,4,9,10,27,58,0.466,6,22,0.273,21,36,.583,0.517,6,6,1.0,6,16,22,16,7,1,9,17,1,1,0,villanova,2017
