rk,game_num,date,Unnamed: 3_level_1,opponent,game_type,result,pts,pts_opp,Score_OT,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_fg2,opp_fg2a,opp_fg2_pct,opp_efg_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,win,is_regular_season,is_ncaa_tourney,team_abbrev,year
1,1,2016-11-11,,UNC Asheville,REG (Non-Conf),W,80,65,,31,56,0.554,6,19,0.316,25,37,0.676,0.607,12,19,0.632,10,24,34,14,11,1,14,15,25,53,0.472,6,17,0.353,19,36,.528,0.528,9,14,0.643,5,17,22,9,7,0,13,19,1,1,0,virginia-commonwealth,2017
2,2,2016-11-15,@,Liberty,REG (Non-Conf),W,64,59,,22,47,0.468,5,15,0.333,17,32,0.531,0.521,15,23,0.652,6,21,27,12,7,2,19,24,17,44,0.386,7,20,0.35,10,24,.417,0.466,18,25,0.72,3,21,24,9,10,3,16,22,1,1,0,virginia-commonwealth,2017
3,3,2016-11-18,,Binghamton,REG (Non-Conf),W,81,42,,31,55,0.564,11,20,0.55,20,35,0.571,0.664,8,15,0.533,5,27,32,15,10,6,12,18,15,54,0.278,3,23,0.13,12,31,.387,0.306,9,13,0.692,8,22,30,7,3,1,17,14,1,1,0,virginia-commonwealth,2017
4,4,2016-11-23,N,Baylor,REG (Non-Conf),L,63,71,,22,47,0.468,5,15,0.333,17,32,0.531,0.521,14,19,0.737,5,15,20,14,10,4,17,23,21,48,0.438,2,9,0.222,19,39,.487,0.458,27,33,0.818,11,21,32,8,6,3,16,18,0,1,0,virginia-commonwealth,2017
5,5,2016-11-24,N,St. John's (NY),REG (Non-Conf),W,75,69,,25,60,0.417,7,15,0.467,18,45,0.4,0.475,18,25,0.72,6,27,33,18,5,3,7,25,23,56,0.411,7,21,0.333,16,35,.457,0.473,16,24,0.667,7,31,38,12,2,8,13,20,1,1,0,virginia-commonwealth,2017
6,6,2016-11-25,N,Louisiana State,REG (Non-Conf),W,85,74,,32,65,0.492,6,17,0.353,26,48,0.542,0.538,15,22,0.682,9,21,30,19,14,3,8,20,28,57,0.491,4,12,0.333,24,45,.533,0.526,14,20,0.7,7,21,28,15,3,5,18,18,1,1,0,virginia-commonwealth,2017
7,7,2016-11-29,,Princeton,REG (Non-Conf),W,81,70,,30,54,0.556,7,19,0.368,23,35,0.657,0.62,14,16,0.875,7,21,28,18,7,7,16,17,27,54,0.5,8,17,0.471,19,37,.514,0.574,8,15,0.533,9,16,25,10,8,1,19,18,1,1,0,virginia-commonwealth,2017
8,8,2016-12-03,N,Illinois,REG (Non-Conf),L,46,64,,16,53,0.302,2,18,0.111,14,35,0.4,0.321,12,16,0.75,8,20,28,8,2,4,14,21,22,52,0.423,6,14,0.429,16,38,.421,0.481,14,21,0.667,8,23,31,14,6,2,11,19,0,1,0,virginia-commonwealth,2017
9,9,2016-12-07,,Georgia Tech,REG (Non-Conf),L,73,76,OT,25,60,0.417,8,20,0.4,17,40,0.425,0.483,15,21,0.714,7,25,32,19,12,6,21,22,29,61,0.475,4,10,0.4,25,51,.490,0.508,14,26,0.538,10,23,33,11,10,6,18,19,0,1,0,virginia-commonwealth,2017
10,10,2016-12-10,@,Old Dominion,REG (Non-Conf),W,67,64,,24,52,0.462,6,15,0.4,18,37,0.486,0.519,13,18,0.722,11,22,33,12,5,7,17,23,22,50,0.44,7,14,0.5,15,36,.417,0.51,13,28,0.464,9,18,27,14,7,6,11,19,1,1,0,virginia-commonwealth,2017
