rk,game_num,date,Unnamed: 3_level_1,opponent,game_type,result,pts,pts_opp,Score_OT,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_fg2,opp_fg2a,opp_fg2_pct,opp_efg_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,win,is_regular_season,is_ncaa_tourney,team_abbrev,year
1,1,2018-11-06,,South Alabama,REG (Non-Conf),W,101,58,,38,74,0.514,18,38,0.474,20,36,0.556,0.635,7,14,0.5,19,21,40,24,9,8,13,21,17,46,0.37,7,22,0.318,10,24,.417,0.446,17,22,0.773,6,18,24,9,4,5,22,17,1,1,0,auburn,2019
2,2,2018-11-09,,Washington,REG (Non-Conf),W,88,66,,29,70,0.414,12,31,0.387,17,39,0.436,0.5,18,23,0.783,17,22,39,16,8,4,11,20,25,45,0.556,6,14,0.429,19,31,.613,0.622,10,17,0.588,3,18,21,10,8,5,18,18,1,1,0,auburn,2019
3,3,2018-11-14,,Miss. Col.,REG (Non-Conf),W,103,52,,37,80,0.463,8,33,0.242,29,47,0.617,0.513,21,32,0.656,21,41,62,14,14,7,11,14,18,66,0.273,8,30,0.267,10,36,.278,0.333,8,16,0.5,8,25,33,10,2,0,18,23,1,1,0,auburn,2019
4,4,2018-11-19,N,Xavier,REG (Non-Conf),W,88,79,OT,30,66,0.455,11,35,0.314,19,31,0.613,0.538,17,24,0.708,12,20,32,16,10,7,12,23,24,61,0.393,10,27,0.37,14,34,.412,0.475,21,24,0.875,15,26,41,13,7,3,21,20,1,1,0,auburn,2019
5,5,2018-11-20,N,Duke,REG (Non-Conf),L,72,78,,28,77,0.364,11,32,0.344,17,45,0.378,0.435,5,9,0.556,17,22,39,14,8,2,9,24,24,54,0.444,7,25,0.28,17,29,.586,0.509,23,34,0.676,13,31,44,12,6,11,12,13,0,1,0,auburn,2019
6,6,2018-11-21,N,Arizona,REG (Non-Conf),W,73,57,,27,50,0.54,9,26,0.346,18,24,0.75,0.63,10,15,0.667,8,20,28,10,4,2,14,19,20,47,0.426,10,25,0.4,10,22,.455,0.532,7,9,0.778,5,16,21,9,3,0,19,22,1,1,0,auburn,2019
7,7,2018-11-28,,Saint Peter's,REG (Non-Conf),W,99,49,,36,75,0.48,15,31,0.484,21,44,0.477,0.58,12,20,0.6,15,26,41,25,16,8,13,17,14,52,0.269,6,22,0.273,8,30,.267,0.327,15,21,0.714,10,24,34,8,9,6,26,19,1,1,0,auburn,2019
8,8,2018-12-04,,UNC Asheville,REG (Non-Conf),W,67,41,,23,48,0.479,9,25,0.36,14,23,0.609,0.573,12,18,0.667,7,23,30,19,13,12,19,16,14,45,0.311,7,19,0.368,7,26,.269,0.389,6,8,0.75,3,19,22,8,5,0,25,15,1,1,0,auburn,2019
9,9,2018-12-08,,Dayton,REG (Non-Conf),W,82,72,,28,61,0.459,12,33,0.364,16,28,0.571,0.557,14,17,0.824,10,16,26,17,10,9,10,10,27,56,0.482,11,23,0.478,16,33,.485,0.58,7,10,0.7,13,22,35,16,3,2,23,14,1,1,0,auburn,2019
10,10,2018-12-15,N,UAB,REG (Non-Conf),W,75,71,OT,22,57,0.386,4,22,0.182,18,35,0.514,0.421,27,34,0.794,13,25,38,10,2,7,10,16,28,63,0.444,9,29,0.31,19,34,.559,0.516,6,11,0.545,11,24,35,11,8,3,11,25,1,1,0,auburn,2019
11,11,2018-12-19,@,NC State,REG (Non-Conf),L,71,78,,30,62,0.484,5,25,0.2,25,37,0.676,0.524,6,12,0.5,13,20,33,13,11,3,24,20,28,53,0.528,10,22,0.455,18,31,.581,0.623,12,22,0.545,5,21,26,13,7,1,21,15,0,1,0,auburn,2019
