rk,game_num,date,Unnamed: 3_level_1,opponent,game_type,result,pts,pts_opp,Score_OT,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_fg2,opp_fg2a,opp_fg2_pct,opp_efg_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,win,is_regular_season,is_ncaa_tourney,team_abbrev,year
1,1,2020-11-25,,College of Charleston,REG (Non-Conf),W,79,60,,28,71,0.394,4,18,0.222,24,53,0.453,0.423,19,24,0.792,16,30,46,12,10,9,9,16,24,60,0.4,8,23,0.348,16,37,.432,0.467,4,10,0.4,6,25,31,13,5,3,13,20,1,1,0,north-carolina,2021
2,2,2020-11-30,N,UNLV,REG (Non-Conf),W,78,51,,25,60,0.417,7,20,0.35,18,40,0.45,0.475,21,32,0.656,18,34,52,11,7,5,16,15,18,62,0.29,8,37,0.216,10,25,.400,0.355,7,15,0.467,11,18,29,7,10,3,15,25,1,1,0,north-carolina,2021
3,3,2020-12-01,N,Stanford,REG (Non-Conf),W,67,63,,24,52,0.462,4,12,0.333,20,40,0.5,0.5,15,24,0.625,12,26,38,11,6,5,23,22,20,51,0.392,5,20,0.25,15,31,.484,0.441,18,24,0.75,3,17,20,9,14,7,13,19,1,1,0,north-carolina,2021
4,4,2020-12-02,N,Texas,REG (Non-Conf),L,67,69,,24,58,0.414,1,9,0.111,23,49,0.469,0.422,18,32,0.563,17,27,44,6,2,4,13,14,25,60,0.417,9,22,0.409,16,38,.421,0.492,10,14,0.714,6,21,27,10,10,4,11,25,0,1,0,north-carolina,2021
5,5,2020-12-08,@,Iowa,REG (Non-Conf),L,80,93,,31,65,0.477,6,15,0.4,25,50,0.5,0.523,12,20,0.6,13,31,44,22,7,2,18,18,34,76,0.447,17,40,0.425,17,36,.472,0.559,8,14,0.571,13,21,34,22,8,5,10,17,0,1,0,north-carolina,2021
6,6,2020-12-12,,North Carolina Central,REG (Non-Conf),W,73,67,,23,50,0.46,2,15,0.133,21,35,0.6,0.48,25,31,0.806,10,24,34,13,7,6,18,15,26,58,0.448,8,19,0.421,18,39,.462,0.517,7,8,0.875,3,18,21,14,10,1,13,23,1,1,0,north-carolina,2021
7,7,2020-12-19,N,Kentucky,REG (Non-Conf),W,75,63,,26,61,0.426,5,20,0.25,21,41,0.512,0.467,18,29,0.621,15,22,37,14,2,3,10,25,21,53,0.396,3,13,0.231,18,40,.450,0.425,18,30,0.6,14,26,40,8,5,4,16,30,1,1,0,north-carolina,2021
8,8,2020-12-22,@,NC State,REG (Conf),L,76,79,,31,70,0.443,2,12,0.167,29,58,0.5,0.457,12,17,0.706,16,25,41,15,8,7,18,19,30,64,0.469,8,17,0.471,22,47,.468,0.531,11,20,0.55,11,22,33,10,8,6,14,19,0,1,0,north-carolina,2021
9,9,2020-12-30,@,Georgia Tech,REG (Conf),L,67,72,,25,56,0.446,8,20,0.4,17,36,0.472,0.518,9,14,0.643,9,27,36,17,7,2,18,19,27,51,0.529,10,22,0.455,17,29,.586,0.627,8,16,0.5,1,22,23,18,11,2,13,17,0,1,0,north-carolina,2021
10,10,2021-01-02,,Notre Dame,REG (Conf),W,66,65,,24,69,0.348,8,23,0.348,16,46,0.348,0.406,10,14,0.714,20,24,44,15,4,2,8,10,26,55,0.473,11,30,0.367,15,25,.600,0.573,2,6,0.333,3,22,25,17,6,3,9,11,1,1,0,north-carolina,2021
11,11,2021-01-05,@,Miami (FL),REG (Conf),W,67,65,,21,61,0.344,9,20,0.45,12,41,0.293,0.418,16,22,0.727,13,30,43,13,9,6,20,23,22,63,0.349,3,16,0.188,19,47,.404,0.373,18,22,0.818,9,22,31,9,14,7,14,17,1,1,0,north-carolina,2021
