rk,game_num,date,Unnamed: 3_level_1,opponent,game_type,result,pts,pts_opp,Score_OT,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_fg2,opp_fg2a,opp_fg2_pct,opp_efg_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,win,is_regular_season,is_ncaa_tourney,team_abbrev,year
1,1,2020-12-03,,UTSA,REG (Non-Conf),W,105,66,,34,68,0.5,17,34,0.5,17,34,0.5,0.625,20,24,0.833,9,28,37,21,9,3,12,15,23,67,0.343,8,30,0.267,15,37,.405,0.403,12,14,0.857,11,26,37,6,8,3,18,21,1,1,0,oklahoma,2021
2,2,2020-12-06,@,TCU,REG (Conf),W,82,78,,28,54,0.519,6,18,0.333,22,36,0.611,0.574,20,24,0.833,7,23,30,17,4,3,8,13,28,64,0.438,10,28,0.357,18,36,.500,0.516,12,15,0.8,12,20,32,15,4,5,6,18,1,1,0,oklahoma,2021
3,3,2020-12-09,@,Xavier,REG (Non-Conf),L,77,99,,29,60,0.483,6,20,0.3,23,40,0.575,0.533,13,16,0.813,9,18,27,15,7,1,10,12,36,63,0.571,19,32,0.594,17,31,.548,0.722,8,10,0.8,10,21,31,28,9,3,11,14,0,1,0,oklahoma,2021
4,4,2020-12-12,,Florida A&M,REG (Non-Conf),W,85,54,,30,65,0.462,9,25,0.36,21,40,0.525,0.531,16,20,0.8,9,30,39,16,8,5,5,12,20,63,0.317,6,16,0.375,14,47,.298,0.365,8,12,0.667,11,23,34,8,4,2,15,13,1,1,0,oklahoma,2021
5,5,2020-12-16,,Oral Roberts,REG (Non-Conf),W,79,65,,27,64,0.422,9,24,0.375,18,40,0.45,0.492,16,21,0.762,14,32,46,13,3,5,14,13,22,67,0.328,9,32,0.281,13,35,.371,0.396,12,12,1.0,7,25,32,6,6,3,11,18,1,1,0,oklahoma,2021
6,6,2020-12-19,,Houston Baptist,REG (Non-Conf),W,84,65,,34,69,0.493,5,23,0.217,29,46,0.63,0.529,11,12,0.917,11,26,37,16,9,3,10,13,24,57,0.421,10,26,0.385,14,31,.452,0.509,7,10,0.7,5,20,25,7,4,3,16,12,1,1,0,oklahoma,2021
7,7,2020-12-22,,Texas Tech,REG (Conf),L,67,69,,22,54,0.407,6,15,0.4,16,39,0.41,0.463,17,27,0.63,10,19,29,9,7,4,14,13,28,57,0.491,4,14,0.286,24,43,.558,0.526,9,10,0.9,6,20,26,10,6,2,11,22,0,1,0,oklahoma,2021
8,8,2021-01-02,,West Virginia,REG (Conf),W,75,71,,27,64,0.422,11,35,0.314,16,29,0.552,0.508,10,14,0.714,8,28,36,17,9,4,13,16,24,60,0.4,14,24,0.583,10,36,.278,0.517,9,15,0.6,6,24,30,13,8,1,14,14,1,1,0,oklahoma,2021
9,9,2021-01-06,@,Baylor,REG (Conf),L,61,76,,22,61,0.361,4,24,0.167,18,37,0.486,0.393,13,14,0.929,9,16,25,14,8,4,10,15,28,58,0.483,10,24,0.417,18,34,.529,0.569,10,12,0.833,8,27,35,13,5,5,12,17,0,1,0,oklahoma,2021
10,10,2021-01-09,@,Kansas,REG (Conf),L,59,63,,23,60,0.383,6,20,0.3,17,40,0.425,0.433,7,10,0.7,8,22,30,11,10,3,9,17,23,47,0.489,6,20,0.3,17,27,.630,0.553,11,19,0.579,5,29,34,13,5,6,15,14,0,1,0,oklahoma,2021
11,11,2021-01-12,,TCU,REG (Conf),W,82,46,,32,69,0.464,12,27,0.444,20,42,0.476,0.551,6,6,1.0,9,29,38,20,8,5,5,16,18,52,0.346,4,19,0.211,14,33,.424,0.385,6,17,0.353,9,24,33,7,3,4,16,9,1,1,0,oklahoma,2021
12,12,2021-01-19,,Kansas State,REG (Conf),W,76,50,,29,63,0.46,7,20,0.35,22,43,0.512,0.516,11,21,0.524,9,23,32,19,13,7,7,10,22,61,0.361,3,15,0.2,19,46,.413,0.385,3,6,0.5,11,32,43,10,3,2,17,19,1,1,0,oklahoma,2021
13,13,2021-01-23,,Kansas,REG (Conf),W,75,68,,24,53,0.453,9,24,0.375,15,29,0.517,0.538,18,22,0.818,5,30,35,14,6,2,10,13,25,54,0.463,8,22,0.364,17,32,.531,0.537,10,14,0.714,2,23,25,12,6,2,11,20,1,1,0,oklahoma,2021
14,14,2021-01-26,@,Texas,REG (Conf),W,80,79,,26,61,0.426,7,27,0.259,19,34,0.559,0.484,21,34,0.618,12,25,37,9,8,4,10,20,29,66,0.439,6,25,0.24,23,41,.561,0.485,15,19,0.789,12,30,42,15,4,5,13,29,1,1,0,oklahoma,2021
