rk,game_num,date,Unnamed: 3_level_1,opponent,game_type,result,pts,pts_opp,Score_OT,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_fg2,opp_fg2a,opp_fg2_pct,opp_efg_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,win,is_regular_season,is_ncaa_tourney,team_abbrev,year
1,1,2021-11-09,,Maine,REG (Non-Conf),W,82,47,,35,66,0.53,9,21,0.429,26,45,0.578,0.598,3,5,0.6,7,25,32,18,4,3,8,11,20,61,0.328,4,22,0.182,16,39,.410,0.361,3,3,1.0,12,22,34,9,3,3,18,11,1,1,0,virginia-tech,2022
2,2,2021-11-12,@,Navy,REG (Non-Conf),W,77,57,,27,54,0.5,8,19,0.421,19,35,0.543,0.574,15,19,0.789,6,26,32,14,5,2,9,17,20,51,0.392,3,25,0.12,17,26,.654,0.422,14,19,0.737,6,21,27,9,6,3,10,18,1,1,0,virginia-tech,2022
3,3,2021-11-15,,Radford,REG (Non-Conf),W,65,39,,25,58,0.431,10,23,0.435,15,35,0.429,0.517,5,6,0.833,5,33,38,10,7,3,15,14,14,50,0.28,2,24,0.083,12,26,.462,0.3,9,15,0.6,5,24,29,8,11,2,16,13,1,1,0,virginia-tech,2022
4,4,2021-11-18,,Saint Francis (PA),REG (Non-Conf),W,85,55,,31,60,0.517,7,20,0.35,24,40,0.6,0.575,16,20,0.8,10,30,40,14,6,4,8,14,21,63,0.333,6,23,0.261,15,40,.375,0.381,7,11,0.636,9,20,29,10,3,3,9,20,1,1,0,virginia-tech,2022
5,5,2021-11-21,,Merrimack,REG (Non-Conf),W,72,43,,27,49,0.551,11,23,0.478,16,26,0.615,0.663,7,12,0.583,7,25,32,15,5,5,12,9,19,49,0.388,5,20,0.25,14,29,.483,0.439,0,0,,4,14,18,8,4,3,15,11,1,1,0,virginia-tech,2022
6,6,2021-11-24,N,Memphis,REG (Non-Conf),L,61,69,,19,56,0.339,7,21,0.333,12,35,0.343,0.402,16,22,0.727,9,22,31,10,8,0,13,20,24,61,0.393,5,19,0.263,19,42,.452,0.434,16,20,0.8,15,29,44,10,8,4,13,21,0,1,0,virginia-tech,2022
7,7,2021-11-26,N,Xavier,REG (Non-Conf),L,58,59,,22,54,0.407,8,23,0.348,14,31,0.452,0.481,6,10,0.6,5,23,28,14,4,1,8,12,22,46,0.478,10,22,0.455,12,24,.500,0.587,5,8,0.625,2,28,30,13,5,2,13,15,0,1,0,virginia-tech,2022
8,8,2021-12-01,@,Maryland,REG (Non-Conf),W,62,58,,23,60,0.383,9,20,0.45,14,40,0.35,0.458,7,12,0.583,9,20,29,15,6,4,8,15,23,55,0.418,1,13,0.077,22,42,.524,0.427,11,11,1.0,8,29,37,6,4,7,13,12,1,1,0,virginia-tech,2022
9,9,2021-12-04,,Wake Forest,REG (Conf),L,61,80,,23,56,0.411,8,27,0.296,15,29,0.517,0.482,7,8,0.875,10,14,24,14,3,2,12,13,33,52,0.635,7,16,0.438,26,36,.722,0.702,7,12,0.583,6,19,25,17,5,2,10,11,0,1,0,virginia-tech,2022
10,10,2021-12-08,,Cornell,REG (Non-Conf),W,93,60,,34,63,0.54,12,23,0.522,22,40,0.55,0.635,13,17,0.765,11,28,39,16,4,6,11,14,20,52,0.385,8,26,0.308,12,26,.462,0.462,12,16,0.75,4,16,20,16,7,2,16,14,1,1,0,virginia-tech,2022
11,11,2021-12-12,@,Dayton,REG (Non-Conf),L,57,62,,21,55,0.382,6,22,0.273,15,33,0.455,0.436,9,14,0.643,8,22,30,11,5,2,13,17,21,50,0.42,7,18,0.389,14,32,.438,0.49,13,21,0.619,9,26,35,15,9,0,14,18,0,1,0,virginia-tech,2022
12,12,2021-12-17,N,St. Bonaventure,REG (Non-Conf),W,86,49,,28,51,0.549,13,28,0.464,15,23,0.652,0.676,17,23,0.739,9,22,31,14,8,5,13,13,18,54,0.333,6,23,0.261,12,31,.387,0.389,7,13,0.538,8,15,23,8,7,5,19,17,1,1,0,virginia-tech,2022
13,13,2021-12-22,@,Duke,REG (Conf),L,65,76,,26,61,0.426,5,19,0.263,21,42,0.5,0.467,8,9,0.889,10,19,29,16,4,1,10,18,29,54,0.537,5,15,0.333,24,39,.615,0.583,13,16,0.813,8,23,31,10,8,6,10,15,0,1,0,virginia-tech,2022
14,14,2022-01-04,,NC State,REG (Conf),L,63,68,,23,53,0.434,8,23,0.348,15,30,0.5,0.509,9,11,0.818,6,18,24,14,3,3,10,13,26,59,0.441,9,24,0.375,17,35,.486,0.517,7,9,0.778,13,19,32,11,6,3,9,16,0,1,0,virginia-tech,2022
15,15,2022-01-12,@,Virginia,REG (Conf),L,52,54,,21,50,0.42,7,20,0.35,14,30,0.467,0.49,3,3,1.0,5,22,27,13,5,6,10,16,20,50,0.4,3,13,0.231,17,37,.459,0.43,11,16,0.688,9,21,30,12,6,3,7,10,0,1,0,virginia-tech,2022
16,16,2022-01-15,,Notre Dame,REG (Conf),W,79,73,,29,49,0.592,10,20,0.5,19,29,0.655,0.694,11,15,0.733,4,22,26,13,1,4,10,18,26,57,0.456,8,20,0.4,18,37,.486,0.526,13,18,0.722,7,18,25,12,4,0,2,13,1,1,0,virginia-tech,2022
17,17,2022-01-19,@,NC State,REG (Conf),W,62,59,,26,53,0.491,7,24,0.292,19,29,0.655,0.557,3,4,0.75,11,25,36,13,5,5,15,17,23,56,0.411,8,26,0.308,15,30,.500,0.482,5,9,0.556,8,14,22,10,11,1,8,11,1,1,0,virginia-tech,2022
18,18,2022-01-22,@,Boston College,REG (Conf),L,63,68,,23,53,0.434,7,17,0.412,16,36,0.444,0.5,10,11,0.909,8,14,22,13,7,3,6,18,25,52,0.481,4,12,0.333,21,40,.525,0.519,14,19,0.737,13,21,34,15,3,5,10,14,0,1,0,virginia-tech,2022
19,19,2022-01-24,@,North Carolina,REG (Conf),L,68,78,,27,58,0.466,7,18,0.389,20,40,0.5,0.526,7,11,0.636,3,27,30,13,2,2,9,21,23,63,0.365,10,25,0.4,13,38,.342,0.444,22,26,0.846,15,27,42,13,6,4,7,15,0,1,0,virginia-tech,2022
20,20,2022-01-26,,Miami (FL),REG (Conf),L,75,78,,25,50,0.5,13,26,0.5,12,24,0.5,0.63,12,15,0.8,8,19,27,20,2,6,14,9,29,53,0.547,11,18,0.611,18,35,.514,0.651,9,10,0.9,4,17,21,14,10,4,10,13,0,1,0,virginia-tech,2022
21,21,2022-01-29,@,Florida State,REG (Conf),W,85,72,,32,52,0.615,18,25,0.72,14,27,0.519,0.788,3,5,0.6,3,13,16,16,6,2,10,16,26,52,0.5,5,13,0.385,21,39,.538,0.548,15,17,0.882,8,14,22,16,7,3,14,9,1,1,0,virginia-tech,2022
22,22,2022-02-02,,Georgia Tech,REG (Conf),W,81,66,,28,53,0.528,8,20,0.4,20,33,0.606,0.604,17,22,0.773,9,23,32,16,4,3,13,11,24,60,0.4,10,25,0.4,14,35,.400,0.483,8,8,1.0,7,18,25,8,7,2,12,23,1,1,0,virginia-tech,2022
