rk,game_num,date,Unnamed: 3_level_1,opponent,game_type,result,pts,pts_opp,Score_OT,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_fg2,opp_fg2a,opp_fg2_pct,opp_efg_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,win,is_regular_season,is_ncaa_tourney,team_abbrev,year
1,1,2022-11-07,,IUPUI,REG (Non-Conf),W,88.0,39.0,,32.0,62.0,0.516,6.0,19.0,0.316,26.0,43.0,0.605,0.565,18.0,23.0,0.783,13.0,24.0,37.0,20.0,15.0,4.0,14.0,18.0,14.0,42.0,0.333,2.0,13.0,0.154,12,29,.414,0.357,9.0,16.0,0.563,6.0,15,21,4,7.0,2.0,28.0,24,1,1,0,iowa-state,2023
2,2,2022-11-13,,North Carolina A&T,REG (Non-Conf),W,80.0,43.0,,32.0,68.0,0.471,6.0,20.0,0.3,26.0,48.0,0.542,0.515,10.0,13.0,0.769,17.0,27.0,44.0,15.0,9.0,1.0,11.0,18.0,11.0,43.0,0.256,5.0,24.0,0.208,6,19,.316,0.314,16.0,21.0,0.762,5.0,18,23,6,8.0,1.0,18.0,15,1,1,0,iowa-state,2023
3,3,2022-11-20,,Milwaukee,REG (Non-Conf),W,68.0,53.0,,26.0,67.0,0.388,6.0,28.0,0.214,20.0,39.0,0.513,0.433,10.0,15.0,0.667,14.0,19.0,33.0,12.0,11.0,6.0,12.0,17.0,17.0,43.0,0.395,7.0,20.0,0.35,10,23,.435,0.477,12.0,18.0,0.667,6.0,25,31,8,8.0,3.0,25.0,16,1,1,0,iowa-state,2023
4,4,2022-11-24,N,Villanova,REG (Non-Conf),W,81.0,79.0,OT,30.0,66.0,0.455,8.0,28.0,0.286,22.0,38.0,0.579,0.515,13.0,15.0,0.867,11.0,24.0,35.0,22.0,12.0,3.0,16.0,23.0,23.0,57.0,0.404,13.0,36.0,0.361,10,21,.476,0.518,20.0,25.0,0.8,8.0,25,33,17,8.0,0.0,18.0,19,1,1,0,iowa-state,2023
5,5,2022-11-25,N,North Carolina,REG (Non-Conf),W,70.0,65.0,,25.0,57.0,0.439,9.0,20.0,0.45,16.0,37.0,0.432,0.518,11.0,15.0,0.733,8.0,17.0,25.0,17.0,8.0,2.0,10.0,23.0,22.0,50.0,0.44,3.0,18.0,0.167,19,32,.594,0.47,18.0,25.0,0.72,10.0,21,31,12,7.0,2.0,14.0,19,1,1,0,iowa-state,2023
6,6,2022-11-27,N,Connecticut,REG (Non-Conf),L,53.0,71.0,,22.0,54.0,0.407,3.0,13.0,0.231,19.0,41.0,0.463,0.435,6.0,10.0,0.6,7.0,12.0,19.0,9.0,13.0,0.0,10.0,21.0,22.0,53.0,0.415,7.0,26.0,0.269,15,27,.556,0.481,20.0,25.0,0.8,18.0,27,45,16,5.0,2.0,17.0,15,0,1,0,iowa-state,2023
7,7,2022-11-30,,North Dakota,REG (Non-Conf),W,63.0,44.0,,24.0,57.0,0.421,7.0,16.0,0.438,17.0,41.0,0.415,0.482,8.0,16.0,0.5,15.0,23.0,38.0,14.0,12.0,1.0,12.0,10.0,17.0,48.0,0.354,7.0,26.0,0.269,10,22,.455,0.427,3.0,3.0,1.0,8.0,21,29,10,5.0,1.0,18.0,14,1,1,0,iowa-state,2023
8,8,2022-12-04,,St. John's (NY),REG (Non-Conf),W,71.0,60.0,,24.0,56.0,0.429,5.0,13.0,0.385,19.0,43.0,0.442,0.473,18.0,28.0,0.643,9.0,24.0,33.0,17.0,13.0,1.0,12.0,22.0,19.0,53.0,0.358,3.0,16.0,0.188,16,37,.432,0.387,19.0,25.0,0.76,10.0,24,34,6,6.0,2.0,20.0,20,1,1,0,iowa-state,2023
9,9,2022-12-08,@,Iowa,REG (Non-Conf),L,56.0,75.0,,24.0,59.0,0.407,3.0,22.0,0.136,21.0,37.0,0.568,0.432,5.0,7.0,0.714,9.0,20.0,29.0,11.0,8.0,2.0,15.0,20.0,24.0,48.0,0.5,12.0,23.0,0.522,12,25,.480,0.625,15.0,19.0,0.789,6.0,27,33,16,6.0,4.0,17.0,12,0,1,0,iowa-state,2023
10,10,2022-12-11,,McNeese State,REG (Non-Conf),W,77.0,40.0,,30.0,55.0,0.545,10.0,18.0,0.556,20.0,37.0,0.541,0.636,7.0,12.0,0.583,8.0,18.0,26.0,21.0,9.0,2.0,14.0,14.0,14.0,38.0,0.368,7.0,21.0,0.333,7,17,.412,0.461,5.0,11.0,0.455,6.0,21,27,8,9.0,0.0,28.0,21,1,1,0,iowa-state,2023
