rk,game_num,date,Unnamed: 3_level_1,opponent,game_type,result,pts,pts_opp,Score_OT,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_fg2,opp_fg2a,opp_fg2_pct,opp_efg_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,win,is_regular_season,is_ncaa_tourney,team_abbrev,year
1,1,2022-11-07,,Radford,REG (Non-Conf),W,79,69,,27,59,0.458,5,19,0.263,22,40,0.55,0.5,20,25,0.8,8,30,38,18,9,3,18,20,26,63,0.413,5,25,0.2,21,38,.553,0.452,12,20,0.6,7,24,31,11,8,3,14,20,1,1,0,marquette,2023
2,2,2022-11-10,,Central Michigan,REG (Non-Conf),W,97,73,,35,66,0.53,13,38,0.342,22,28,0.786,0.629,14,27,0.519,7,24,31,27,13,1,13,19,26,58,0.448,7,23,0.304,19,35,.543,0.509,14,21,0.667,8,26,34,17,7,0,21,20,1,1,0,marquette,2023
3,3,2022-11-15,@,Purdue,REG (Non-Conf),L,70,75,,27,72,0.375,11,35,0.314,16,37,0.432,0.451,5,7,0.714,12,23,35,17,4,1,8,19,27,56,0.482,9,27,0.333,18,29,.621,0.563,12,18,0.667,5,28,33,12,3,5,6,10,0,1,0,marquette,2023
4,4,2022-11-17,,LIU,REG (Non-Conf),W,95,58,,34,68,0.5,11,35,0.314,23,33,0.697,0.581,16,20,0.8,8,29,37,29,12,6,12,18,20,63,0.317,7,23,0.304,13,40,.325,0.373,11,20,0.55,12,23,35,13,7,3,21,13,1,1,0,marquette,2023
5,5,2022-11-21,N,Mississippi State,REG (Non-Conf),L,55,58,,21,51,0.412,8,28,0.286,13,23,0.565,0.49,5,8,0.625,4,22,26,9,7,2,16,19,20,55,0.364,7,16,0.438,13,39,.333,0.427,11,21,0.524,13,27,40,13,11,1,15,10,0,1,0,marquette,2023
6,6,2022-11-23,N,Georgia Tech,REG (Non-Conf),W,84,60,,29,61,0.475,9,23,0.391,20,38,0.526,0.549,17,22,0.773,8,27,35,14,7,6,10,15,22,65,0.338,7,23,0.304,15,42,.357,0.392,9,10,0.9,10,23,33,7,4,5,12,17,1,1,0,marquette,2023
7,7,2022-11-26,,Chicago State,REG (Non-Conf),W,82,68,,29,57,0.509,6,20,0.3,23,37,0.622,0.561,18,30,0.6,9,21,30,20,12,6,12,19,23,53,0.434,5,19,0.263,18,34,.529,0.481,17,20,0.85,4,26,30,14,7,2,17,19,1,1,0,marquette,2023
8,8,2022-11-29,,Baylor,REG (Non-Conf),W,96,70,,35,60,0.583,12,25,0.48,23,35,0.657,0.683,14,15,0.933,6,16,22,23,12,4,9,12,27,56,0.482,9,24,0.375,18,32,.563,0.563,7,10,0.7,10,18,28,12,5,0,18,16,1,1,0,marquette,2023
9,9,2022-12-03,,Wisconsin,REG (Non-Conf),L,77,80,OT,27,53,0.509,9,20,0.45,18,33,0.545,0.594,14,20,0.7,7,18,25,14,10,1,12,16,30,59,0.508,12,27,0.444,18,32,.563,0.61,8,13,0.615,8,22,30,21,9,1,13,20,0,1,0,marquette,2023
10,10,2022-12-06,,North Carolina Central,REG (Non-Conf),W,90,78,,36,57,0.632,9,23,0.391,27,34,0.794,0.711,9,16,0.563,6,20,26,25,7,7,15,12,29,63,0.46,9,20,0.45,20,43,.465,0.532,11,12,0.917,10,20,30,20,9,2,16,19,1,1,0,marquette,2023
11,11,2022-12-11,@,Notre Dame,REG (Non-Conf),W,79,64,,32,67,0.478,6,23,0.261,26,44,0.591,0.522,9,13,0.692,12,24,36,13,3,3,3,12,23,55,0.418,10,25,0.4,13,30,.433,0.509,8,12,0.667,8,20,28,13,1,4,8,16,1,1,0,marquette,2023
