rk,game_num,date,Unnamed: 3_level_1,opponent,game_type,result,pts,pts_opp,Score_OT,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_fg2,opp_fg2a,opp_fg2_pct,opp_efg_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,win,is_regular_season,is_ncaa_tourney,team_abbrev,year
1,1,2022-11-07,,Austin Peay,REG (Non-Conf),W,99,50,,40,65,0.615,11,28,0.393,29,37,0.784,0.7,8,10,0.8,8,28,36,20,10,6,14,20,16,52,0.308,1,8,0.125,15,44,.341,0.317,17,20,0.85,6,14,20,8,6,1,19,14,1,1,0,north-carolina-state,2023
2,2,2022-11-11,,Campbell,REG (Non-Conf),W,73,67,,24,49,0.49,4,17,0.235,20,32,0.625,0.531,21,32,0.656,7,25,32,14,12,5,14,19,25,53,0.472,10,19,0.526,15,34,.441,0.566,7,18,0.389,6,22,28,16,8,1,16,22,1,1,0,north-carolina-state,2023
3,3,2022-11-15,,Florida International,REG (Non-Conf),W,107,74,,39,76,0.513,15,33,0.455,24,43,0.558,0.612,14,17,0.824,11,26,37,21,17,4,13,16,31,58,0.534,5,18,0.278,26,40,.650,0.578,7,15,0.467,4,22,26,14,9,4,22,16,1,1,0,north-carolina-state,2023
4,4,2022-11-19,,Elon,REG (Non-Conf),W,74,63,,29,69,0.42,11,33,0.333,18,36,0.5,0.5,5,6,0.833,9,30,39,15,6,4,7,13,23,59,0.39,7,25,0.28,16,34,.471,0.449,10,13,0.769,4,29,33,14,4,2,9,12,1,1,0,north-carolina-state,2023
5,5,2022-11-23,N,Kansas,REG (Non-Conf),L,74,80,,24,62,0.387,8,22,0.364,16,40,0.4,0.452,18,22,0.818,11,25,36,8,9,3,11,17,24,58,0.414,10,21,0.476,14,37,.378,0.5,22,29,0.759,7,28,35,14,7,0,12,17,0,1,0,north-carolina-state,2023
6,6,2022-11-24,N,Dayton,REG (Non-Conf),W,76,64,,28,57,0.491,6,22,0.273,22,35,0.629,0.544,14,19,0.737,10,19,29,12,7,4,11,17,26,53,0.491,2,11,0.182,24,42,.571,0.509,10,16,0.625,7,14,21,13,7,0,15,18,1,1,0,north-carolina-state,2023
7,7,2022-11-25,N,Butler,REG (Non-Conf),W,76,61,,29,65,0.446,5,15,0.333,24,50,0.48,0.485,13,16,0.813,9,22,31,13,8,3,5,12,26,62,0.419,6,20,0.3,20,42,.476,0.468,3,4,0.75,7,25,32,10,1,5,12,14,1,1,0,north-carolina-state,2023
8,8,2022-11-29,,William & Mary,REG (Non-Conf),W,85,64,,31,63,0.492,12,28,0.429,19,35,0.543,0.587,11,19,0.579,13,28,41,18,11,7,14,15,22,57,0.386,7,19,0.368,15,38,.395,0.447,13,20,0.65,10,22,32,8,11,2,16,17,1,1,0,north-carolina-state,2023
9,9,2022-12-02,,Pittsburgh,REG (Conf),L,60,68,,21,60,0.35,6,27,0.222,15,33,0.455,0.4,12,19,0.632,12,25,37,9,8,2,12,19,25,54,0.463,6,22,0.273,19,32,.594,0.519,12,15,0.8,4,28,32,10,5,4,13,17,0,1,0,north-carolina-state,2023
10,10,2022-12-06,,Coppin State,REG (Non-Conf),W,94,72,,36,69,0.522,13,29,0.448,23,40,0.575,0.616,9,16,0.563,12,28,40,21,11,7,12,16,25,66,0.379,6,27,0.222,19,39,.487,0.424,16,24,0.667,14,24,38,10,5,1,14,17,1,1,0,north-carolina-state,2023
