rk,game_num,date,Unnamed: 3_level_1,opponent,game_type,result,pts,pts_opp,Score_OT,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_fg2,opp_fg2a,opp_fg2_pct,opp_efg_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,win,is_regular_season,is_ncaa_tourney,team_abbrev,year
1,1,2022-11-07,,Chicago State,REG (Non-Conf),W,85,54,,24,56,0.429,10,21,0.476,14,35,0.4,0.518,27,32,0.844,9,32,41,20,8,4,14,18,16,63,0.254,9,34,0.265,7,29,.241,0.325,13,18,0.722,11,17,28,9,6,5,12,28,1,1,0,northwestern,2023
2,2,2022-11-11,,Northern Illinois,REG (Non-Conf),W,63,46,,24,58,0.414,5,22,0.227,19,36,0.528,0.457,10,17,0.588,11,28,39,16,9,8,8,12,17,51,0.333,3,14,0.214,14,37,.378,0.363,9,14,0.643,5,27,32,5,2,3,16,15,1,1,0,northwestern,2023
3,3,2022-11-15,@,Georgetown,REG (Non-Conf),W,75,63,,27,67,0.403,14,33,0.424,13,34,0.382,0.507,7,12,0.583,15,27,42,18,6,4,14,16,24,57,0.421,7,22,0.318,17,35,.486,0.482,8,10,0.8,5,24,29,11,9,8,13,16,1,1,0,northwestern,2023
4,4,2022-11-18,,Purdue Fort Wayne,REG (Non-Conf),W,60,52,,23,56,0.411,9,27,0.333,14,29,0.483,0.491,5,7,0.714,4,31,35,15,10,5,15,11,18,55,0.327,8,35,0.229,10,20,.500,0.4,8,11,0.727,6,27,33,13,9,3,19,13,1,1,0,northwestern,2023
5,5,2022-11-22,N,Liberty,REG (Non-Conf),W,66,52,,22,51,0.431,6,17,0.353,16,34,0.471,0.49,16,21,0.762,9,24,33,11,13,4,12,14,17,50,0.34,9,30,0.3,8,20,.400,0.43,9,9,1.0,5,22,27,12,5,0,17,19,1,1,0,northwestern,2023
6,6,2022-11-23,N,Auburn,REG (Non-Conf),L,42,43,,14,56,0.25,2,24,0.083,12,32,0.375,0.268,12,16,0.75,8,25,33,4,8,8,8,16,13,50,0.26,5,21,0.238,8,29,.276,0.31,12,18,0.667,8,29,37,7,4,6,14,18,0,1,0,northwestern,2023
7,7,2022-11-28,,Pittsburgh,REG (Non-Conf),L,58,87,,21,61,0.344,10,32,0.313,11,29,0.379,0.426,6,13,0.462,12,16,28,15,5,3,11,19,26,54,0.481,14,22,0.636,12,32,.375,0.611,21,27,0.778,12,27,39,22,5,1,9,16,0,1,0,northwestern,2023
8,8,2022-12-04,@,Michigan State,REG (Conf),W,70,63,,21,49,0.429,7,23,0.304,14,26,0.538,0.5,21,24,0.875,5,25,30,8,10,5,11,15,23,55,0.418,8,22,0.364,15,33,.455,0.491,9,12,0.75,6,21,27,16,7,4,13,17,1,1,0,northwestern,2023
9,9,2022-12-11,,Prairie View A&M,REG (Non-Conf),W,61,51,,18,61,0.295,8,29,0.276,10,32,0.313,0.361,17,23,0.739,13,31,44,15,4,8,7,16,18,62,0.29,8,28,0.286,10,34,.294,0.355,7,15,0.467,16,28,44,10,4,2,15,23,1,1,0,northwestern,2023
10,10,2022-12-17,,DePaul,REG (Non-Conf),W,83,45,,29,67,0.433,13,33,0.394,16,34,0.471,0.53,12,14,0.857,9,29,38,15,14,5,12,13,16,52,0.308,6,21,0.286,10,31,.323,0.365,7,9,0.778,3,27,30,9,6,3,22,14,1,1,0,northwestern,2023
11,11,2022-12-20,,IllinoisâChicago,REG (Non-Conf),W,92,54,,36,70,0.514,8,27,0.296,28,43,0.651,0.571,12,15,0.8,15,27,42,20,7,2,8,20,17,44,0.386,8,24,0.333,9,20,.450,0.477,12,19,0.632,3,17,20,12,2,6,21,17,1,1,0,northwestern,2023
12,12,2022-12-29,,Brown,REG (Non-Conf),W,63,58,,20,58,0.345,4,21,0.19,16,37,0.432,0.379,19,21,0.905,8,23,31,11,9,4,11,18,19,45,0.422,9,22,0.409,10,23,.435,0.522,11,22,0.5,4,24,28,17,4,4,16,19,1,1,0,northwestern,2023
13,13,2023-01-01,,Ohio State,REG (Conf),L,57,73,,19,67,0.284,9,31,0.29,10,36,0.278,0.351,10,17,0.588,12,22,34,11,5,5,7,16,26,56,0.464,6,15,0.4,20,41,.488,0.518,15,20,0.75,7,35,42,15,5,7,12,13,0,1,0,northwestern,2023
14,14,2023-01-04,,Illinois,REG (Conf),W,73,60,,17,53,0.321,7,18,0.389,10,35,0.286,0.387,32,40,0.8,8,23,31,11,11,3,7,17,23,58,0.397,8,28,0.286,15,30,.500,0.466,6,10,0.6,7,27,34,13,2,6,15,29,1,1,0,northwestern,2023
15,15,2023-01-08,@,Indiana,REG (Conf),W,84,83,,29,63,0.46,7,19,0.368,22,44,0.5,0.516,19,28,0.679,9,23,32,15,14,5,7,19,32,62,0.516,9,18,0.5,23,44,.523,0.589,10,14,0.714,10,28,38,14,2,5,16,21,1,1,0,northwestern,2023
