rk,game_num,date,Unnamed: 3_level_1,opponent,game_type,result,pts,pts_opp,Score_OT,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_fg2,opp_fg2a,opp_fg2_pct,opp_efg_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,win,is_regular_season,is_ncaa_tourney,team_abbrev,year
1,1,2022-11-07,@,St. Mary's (CA),REG (Non-Conf),L,70.0,78.0,,23.0,58.0,0.397,12.0,30.0,0.4,11.0,28.0,0.393,0.5,12.0,17.0,0.706,5.0,25.0,30.0,11.0,2.0,6.0,11.0,22.0,25.0,62.0,0.403,8.0,25.0,0.32,17,37,.459,0.468,20.0,28.0,0.714,8.0,31,39,9,8.0,3.0,4.0,15,0,1,0,oral-roberts,2023
2,2,2022-11-11,,John Brown,REG (Non-Conf),W,95.0,62.0,,35.0,74.0,0.473,15.0,40.0,0.375,20.0,34.0,0.588,0.574,10.0,15.0,0.667,5.0,36.0,41.0,22.0,8.0,12.0,6.0,2.0,26.0,77.0,0.338,10.0,33.0,0.303,16,44,.364,0.403,0.0,0.0,,10.0,33,43,6,4.0,1.0,16.0,13,1,1,0,oral-roberts,2023
3,3,2022-11-14,@,Houston,REG (Non-Conf),L,45.0,83.0,,14.0,62.0,0.226,8.0,38.0,0.211,6.0,24.0,0.25,0.29,9.0,15.0,0.6,10.0,15.0,25.0,9.0,4.0,3.0,10.0,22.0,30.0,58.0,0.517,6.0,17.0,0.353,24,41,.585,0.569,17.0,25.0,0.68,15.0,33,48,6,5.0,5.0,12.0,15,0,1,0,oral-roberts,2023
4,4,2022-11-15,@,Texas Southern,REG (Non-Conf),W,82.0,64.0,,33.0,72.0,0.458,9.0,26.0,0.346,24.0,46.0,0.522,0.521,7.0,10.0,0.7,14.0,30.0,44.0,15.0,4.0,4.0,8.0,14.0,26.0,74.0,0.351,4.0,25.0,0.16,22,49,.449,0.378,8.0,12.0,0.667,14.0,24,38,13,3.0,6.0,7.0,9,1,1,0,oral-roberts,2023
5,5,2022-11-19,,Oklahoma Baptist,REG (Non-Conf),W,98.0,86.0,,37.0,75.0,0.493,12.0,31.0,0.387,25.0,44.0,0.568,0.573,12.0,12.0,1.0,13.0,27.0,40.0,21.0,10.0,11.0,15.0,9.0,35.0,74.0,0.473,9.0,22.0,0.409,26,52,.500,0.534,7.0,9.0,0.778,9.0,22,31,16,9.0,5.0,15.0,14,1,1,0,oral-roberts,2023
6,6,2022-11-22,@,Utah State,REG (Non-Conf),L,85.0,95.0,,30.0,65.0,0.462,14.0,30.0,0.467,16.0,35.0,0.457,0.569,11.0,12.0,0.917,5.0,23.0,28.0,15.0,7.0,5.0,14.0,19.0,29.0,56.0,0.518,19.0,31.0,0.613,10,25,.400,0.688,18.0,23.0,0.783,5.0,30,35,25,5.0,3.0,18.0,14,0,1,0,oral-roberts,2023
7,7,2022-11-27,,Rogers St.,REG (Non-Conf),W,81.0,70.0,,28.0,56.0,0.5,7.0,26.0,0.269,21.0,30.0,0.7,0.563,18.0,27.0,0.667,10.0,29.0,39.0,13.0,3.0,3.0,9.0,8.0,25.0,67.0,0.373,9.0,18.0,0.5,16,49,.327,0.44,11.0,12.0,0.917,8.0,18,26,9,6.0,2.0,9.0,19,1,1,0,oral-roberts,2023
8,8,2022-11-29,,Ozark Christian,REG (Non-Conf),W,116.0,68.0,,43.0,81.0,0.531,14.0,36.0,0.389,29.0,45.0,0.644,0.617,16.0,23.0,0.696,16.0,33.0,49.0,18.0,11.0,1.0,9.0,14.0,26.0,64.0,0.406,13.0,38.0,0.342,13,26,.500,0.508,3.0,9.0,0.333,8.0,23,31,16,5.0,1.0,22.0,18,1,1,0,oral-roberts,2023
9,9,2022-12-03,@,Tulsa,REG (Non-Conf),W,77.0,66.0,,33.0,78.0,0.423,9.0,36.0,0.25,24.0,42.0,0.571,0.481,2.0,3.0,0.667,10.0,28.0,38.0,16.0,9.0,4.0,5.0,14.0,25.0,61.0,0.41,7.0,21.0,0.333,18,40,.450,0.467,9.0,17.0,0.529,8.0,32,40,9,3.0,2.0,13.0,7,1,1,0,oral-roberts,2023
10,10,2022-12-10,,Central Arkansas,REG (Non-Conf),W,111.0,78.0,,38.0,64.0,0.594,16.0,26.0,0.615,22.0,38.0,0.579,0.719,19.0,21.0,0.905,4.0,33.0,37.0,21.0,11.0,7.0,16.0,7.0,30.0,78.0,0.385,11.0,33.0,0.333,19,45,.422,0.455,7.0,7.0,1.0,11.0,20,31,9,12.0,2.0,16.0,16,1,1,0,oral-roberts,2023
