rk,game_num,date,Unnamed: 3_level_1,opponent,game_type,result,pts,pts_opp,Score_OT,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_fg2,opp_fg2a,opp_fg2_pct,opp_efg_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,win,is_regular_season,is_ncaa_tourney,team_abbrev,year
1,1,2023-11-06,,Morehead State,REG (Non-Conf),W,105,73,,32,57,0.561,10,23,0.435,22,34,0.647,0.649,31,38,0.816,12,24,36,17,13,4,13,17,27,63,0.429,7,23,0.304,20,40,.500,0.484,12,19,0.632,12,15,27,7,6,3,14,25,1,1,0,alabama,2024
2,2,2023-11-10,,Indiana State,REG (Non-Conf),W,102,80,,33,64,0.516,13,23,0.565,20,41,0.488,0.617,23,27,0.852,13,25,38,14,6,7,11,18,27,53,0.509,10,26,0.385,17,27,.630,0.604,16,26,0.615,4,20,24,10,8,2,13,24,1,1,0,alabama,2024
3,3,2023-11-14,,South Alabama,REG (Non-Conf),W,102,46,,34,55,0.618,12,23,0.522,22,32,0.688,0.727,22,30,0.733,11,35,46,21,9,7,10,19,14,61,0.23,5,29,0.172,9,32,.281,0.27,13,21,0.619,10,13,23,6,6,2,11,21,1,1,0,alabama,2024
4,4,2023-11-17,,Mercer,REG (Non-Conf),W,98,67,,35,60,0.583,8,19,0.421,27,41,0.659,0.65,20,29,0.69,9,32,41,16,6,2,11,18,26,64,0.406,3,14,0.214,23,50,.460,0.43,12,23,0.522,8,18,26,7,6,4,8,24,1,1,0,alabama,2024
5,5,2023-11-24,N,Ohio State,REG (Non-Conf),L,81,92,,26,56,0.464,9,30,0.3,17,26,0.654,0.545,20,26,0.769,7,16,23,10,5,3,12,26,27,50,0.54,10,18,0.556,17,32,.531,0.64,28,30,0.933,6,22,28,10,9,1,14,24,0,1,0,alabama,2024
6,6,2023-11-25,N,Oregon,REG (Non-Conf),W,99,91,,32,64,0.5,9,24,0.375,23,40,0.575,0.57,26,28,0.929,14,24,38,15,8,6,16,16,36,69,0.522,7,20,0.35,29,49,.592,0.572,12,15,0.8,8,16,24,20,9,5,12,24,1,1,0,alabama,2024
7,7,2023-11-28,,Clemson,REG (Non-Conf),L,77,85,,23,67,0.343,11,35,0.314,12,32,0.375,0.425,20,26,0.769,12,23,35,12,7,3,7,15,32,60,0.533,11,21,0.524,21,39,.538,0.625,10,15,0.667,8,33,41,12,4,7,11,22,0,1,0,alabama,2024
8,8,2023-12-04,,Arkansas State,REG (Non-Conf),W,89,65,,28,64,0.438,13,31,0.419,15,33,0.455,0.539,20,24,0.833,10,27,37,17,10,8,14,17,22,65,0.338,6,30,0.2,16,35,.457,0.385,15,21,0.714,11,25,36,10,5,7,14,19,1,1,0,alabama,2024
9,9,2023-12-09,N,Purdue,REG (Non-Conf),L,86,92,,29,64,0.453,19,46,0.413,10,18,0.556,0.602,9,14,0.643,10,20,30,20,5,5,13,24,30,62,0.484,8,18,0.444,22,44,.500,0.548,24,28,0.857,10,22,32,22,9,2,9,15,0,1,0,alabama,2024
10,10,2023-12-16,@,Creighton,REG (Non-Conf),L,82,85,,35,75,0.467,4,22,0.182,31,53,0.585,0.493,8,13,0.615,16,19,35,10,5,1,4,25,29,52,0.558,6,18,0.333,23,34,.676,0.615,21,29,0.724,5,23,28,14,1,5,10,16,0,1,0,alabama,2024
11,11,2023-12-20,N,Arizona,REG (Non-Conf),L,74,87,,22,65,0.338,8,40,0.2,14,25,0.56,0.4,22,26,0.846,13,22,35,12,10,3,17,25,28,65,0.431,4,17,0.235,24,48,.500,0.462,27,37,0.73,14,30,44,14,13,3,14,20,0,1,0,alabama,2024
12,12,2023-12-23,,Eastern Kentucky,REG (Non-Conf),W,111,67,,40,69,0.58,19,38,0.5,21,31,0.677,0.717,12,20,0.6,9,34,43,29,8,3,10,10,24,71,0.338,8,29,0.276,16,42,.381,0.394,11,17,0.647,11,25,36,8,7,5,13,17,1,1,0,alabama,2024
13,13,2023-12-30,N,Liberty,REG (Non-Conf),W,101,56,,35,60,0.583,14,28,0.5,21,32,0.656,0.7,17,20,0.85,11,32,43,22,8,4,8,16,21,63,0.333,10,35,0.286,11,28,.393,0.413,4,6,0.667,8,14,22,15,2,1,9,17,1,1,0,alabama,2024
14,14,2024-01-06,@,Vanderbilt,REG (Conf),W,78,75,,26,53,0.491,12,30,0.4,14,23,0.609,0.604,14,21,0.667,7,28,35,13,5,5,16,15,26,65,0.4,7,26,0.269,19,39,.487,0.454,16,20,0.8,9,21,30,6,10,3,8,17,1,1,0,alabama,2024
15,15,2024-01-09,,South Carolina,REG (Conf),W,74,47,,26,54,0.481,15,34,0.441,11,20,0.55,0.62,7,9,0.778,6,26,32,15,10,4,14,12,17,55,0.309,5,25,0.2,12,30,.400,0.355,8,9,0.889,12,17,29,8,8,2,16,13,1,1,0,alabama,2024
16,16,2024-01-13,@,Mississippi State,REG (Conf),W,82,74,,25,58,0.431,10,28,0.357,15,30,0.5,0.517,22,26,0.846,10,22,32,9,7,5,13,20,26,61,0.426,7,17,0.412,19,44,.432,0.484,15,27,0.556,13,21,34,12,7,7,12,19,1,1,0,alabama,2024
17,17,2024-01-16,,Missouri,REG (Conf),W,93,75,,30,57,0.526,13,27,0.481,17,30,0.567,0.64,20,21,0.952,11,23,34,18,6,3,13,16,26,53,0.491,8,21,0.381,18,32,.563,0.566,15,20,0.75,6,15,21,10,9,0,10,22,1,1,0,alabama,2024
