rk,game_num,date,Unnamed: 3_level_1,opponent,game_type,result,pts,pts_opp,Score_OT,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_fg2,opp_fg2a,opp_fg2_pct,opp_efg_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,win,is_regular_season,is_ncaa_tourney,team_abbrev,year
1,1,2024-11-04,,Dean,REG (Non-Conf),W,105,63,,40,72,0.556,7,23,0.304,33,49,0.673,0.604,18,23,0.783,15,34,49,26,9,7,13,5,24,70,0.343,7,16,0.438,17,54,.315,0.393,8,9,0.889,4,14,18,7,9,1,14,17,1,1,0,bryant,2025
2,2,2024-11-08,,Siena,REG (Non-Conf),L,88,90,OT,26,58,0.448,9,22,0.409,17,36,0.472,0.526,27,37,0.73,14,26,40,16,9,9,23,24,28,70,0.4,11,28,0.393,17,42,.405,0.479,23,27,0.852,14,19,33,7,8,2,18,29,0,1,0,bryant,2025
3,3,2024-11-14,@,Buffalo,REG (Non-Conf),W,87,64,,31,79,0.392,10,27,0.37,21,52,0.404,0.456,15,20,0.75,15,32,47,19,10,4,8,22,19,53,0.358,6,27,0.222,13,26,.500,0.415,20,30,0.667,3,27,30,9,2,4,16,19,1,1,0,bryant,2025
4,4,2024-11-18,@,Delaware,REG (Non-Conf),W,85,84,,33,65,0.508,10,24,0.417,23,41,0.561,0.585,9,15,0.6,7,26,33,15,5,2,17,16,29,68,0.426,7,20,0.35,22,48,.458,0.478,19,21,0.905,8,24,32,11,9,3,10,17,1,1,0,bryant,2025
5,5,2024-11-21,@,Stonehill,REG (Non-Conf),L,66,67,,22,60,0.367,6,19,0.316,16,41,0.39,0.417,16,21,0.762,8,25,33,8,7,11,8,17,24,66,0.364,5,22,0.227,19,44,.432,0.402,14,21,0.667,14,28,42,10,1,2,9,19,0,1,0,bryant,2025
6,6,2024-11-24,@,St. Bonaventure,REG (Non-Conf),L,70,85,,26,63,0.413,7,19,0.368,19,44,0.432,0.468,11,14,0.786,13,19,32,7,5,4,12,14,32,57,0.561,8,14,0.571,24,43,.558,0.632,13,16,0.813,6,22,28,8,7,3,12,14,0,1,0,bryant,2025
7,7,2024-11-26,N,Tennessee State,REG (Non-Conf),W,97,85,,35,67,0.522,14,26,0.538,21,41,0.512,0.627,13,18,0.722,16,28,44,18,5,6,20,17,31,73,0.425,4,19,0.211,27,54,.500,0.452,19,26,0.731,8,17,25,13,14,2,10,17,1,1,0,bryant,2025
8,8,2024-11-27,@,Chattanooga,REG (Non-Conf),L,76,84,,24,65,0.369,8,24,0.333,16,41,0.39,0.431,20,25,0.8,15,19,34,10,10,4,10,18,28,57,0.491,11,30,0.367,17,27,.630,0.588,17,22,0.773,7,23,30,19,7,1,11,16,0,1,0,bryant,2025
9,9,2024-12-02,@,Drexel,REG (Non-Conf),W,78,73,,27,61,0.443,4,17,0.235,23,44,0.523,0.475,20,31,0.645,10,24,34,13,4,4,6,13,27,68,0.397,11,28,0.393,16,40,.400,0.478,8,14,0.571,10,26,36,15,4,0,11,24,1,1,0,bryant,2025
10,10,2024-12-06,,Brown,REG (Non-Conf),L,75,76,,29,57,0.509,5,14,0.357,24,43,0.558,0.553,12,20,0.6,6,20,26,11,7,5,11,13,29,59,0.492,6,15,0.4,23,44,.523,0.542,12,17,0.706,5,25,30,14,6,2,11,17,0,1,0,bryant,2025
11,11,2024-12-08,,Vermont St.âJohnson,REG (Non-Conf),W,122,63,,49,85,0.576,18,45,0.4,31,40,0.775,0.682,6,12,0.5,20,31,51,26,7,5,6,12,27,69,0.391,4,15,0.267,23,54,.426,0.42,5,11,0.455,11,19,30,15,4,2,13,10,1,1,0,bryant,2025
12,12,2024-12-11,@,St. John's (NY),REG (Non-Conf),L,77,99,,28,57,0.491,6,17,0.353,22,40,0.55,0.544,15,24,0.625,9,19,28,9,7,3,19,19,39,78,0.5,8,26,0.308,31,52,.596,0.551,13,19,0.684,20,18,38,18,12,5,11,20,0,1,0,bryant,2025
13,13,2024-12-14,N,Fordham,REG (Non-Conf),L,84,86,,27,61,0.443,6,18,0.333,21,43,0.488,0.492,24,31,0.774,11,23,34,14,9,3,16,15,30,69,0.435,7,23,0.304,23,46,.500,0.486,19,22,0.864,9,20,29,11,8,2,14,22,0,1,0,bryant,2025
14,14,2024-12-22,@,Towson,REG (Non-Conf),L,65,70,,24,60,0.4,8,22,0.364,16,38,0.421,0.467,9,11,0.818,6,24,30,11,6,3,10,15,26,64,0.406,5,24,0.208,21,40,.525,0.445,13,17,0.765,12,30,42,10,6,3,11,14,0,1,0,bryant,2025
15,15,2024-12-30,@,Grand Canyon,REG (Non-Conf),L,66,112,,23,67,0.343,4,28,0.143,19,39,0.487,0.373,16,27,0.593,11,28,39,8,5,4,22,27,34,83,0.41,9,28,0.321,25,55,.455,0.464,35,44,0.795,19,38,57,15,15,2,7,20,0,1,0,bryant,2025
16,16,2025-01-04,,Maine,REG (Conf),W,81,55,,31,62,0.5,10,26,0.385,21,36,0.583,0.581,9,14,0.643,15,30,45,20,8,6,18,16,18,53,0.34,5,17,0.294,13,36,.361,0.387,14,20,0.7,3,18,21,8,9,1,14,17,1,1,0,bryant,2025
17,17,2025-01-11,,Vermont,REG (Conf),W,73,53,,29,65,0.446,11,27,0.407,18,38,0.474,0.531,4,6,0.667,10,20,30,14,11,3,6,12,22,51,0.431,7,23,0.304,15,28,.536,0.5,2,6,0.333,8,23,31,9,2,2,17,13,1,1,0,bryant,2025
18,18,2025-01-16,@,Albany (NY),REG (Conf),W,89,79,,33,65,0.508,7,22,0.318,26,43,0.605,0.562,16,19,0.842,10,27,37,18,7,9,9,11,30,68,0.441,8,21,0.381,22,47,.468,0.5,11,13,0.846,10,22,32,10,6,2,9,19,1,1,0,bryant,2025
19,19,2025-01-18,,UMass Lowell,REG (Conf),W,85,62,,34,75,0.453,8,28,0.286,26,47,0.553,0.507,9,12,0.75,16,38,54,15,8,11,12,17,20,68,0.294,6,26,0.231,14,42,.333,0.338,16,25,0.64,12,24,36,10,7,1,11,14,1,1,0,bryant,2025
20,20,2025-01-23,@,New Hampshire,REG (Conf),W,95,76,,36,73,0.493,11,28,0.393,25,45,0.556,0.568,12,12,1.0,11,24,35,18,7,10,6,14,26,65,0.4,8,24,0.333,18,41,.439,0.462,16,18,0.889,12,21,33,10,5,0,12,11,1,1,0,bryant,2025
21,21,2025-01-25,,Binghamton,REG (Conf),W,83,69,,30,66,0.455,9,26,0.346,21,40,0.525,0.523,14,19,0.737,11,23,34,15,5,8,3,14,24,57,0.421,9,28,0.321,15,29,.517,0.5,12,13,0.923,5,27,32,13,1,1,12,15,1,1,0,bryant,2025
22,22,2025-01-30,@,UMBC,REG (Conf),W,92,86,,37,76,0.487,9,30,0.3,28,46,0.609,0.546,9,15,0.6,15,24,39,19,6,2,9,21,30,58,0.517,8,25,0.32,22,33,.667,0.586,18,29,0.621,5,25,30,13,5,3,11,13,1,1,0,bryant,2025
23,23,2025-02-01,@,NJIT,REG (Conf),W,92,70,,29,64,0.453,11,27,0.407,18,37,0.486,0.539,23,26,0.885,10,35,45,18,2,5,6,12,23,67,0.343,14,36,0.389,9,31,.290,0.448,10,13,0.769,6,25,31,11,4,2,8,18,1,1,0,bryant,2025
24,24,2025-02-06,,Albany (NY),REG (Conf),L,63,68,,23,62,0.371,6,19,0.316,17,43,0.395,0.419,11,17,0.647,17,19,36,10,6,15,17,15,26,62,0.419,5,20,0.25,21,42,.500,0.46,11,17,0.647,8,21,29,9,8,3,15,15,0,1,0,bryant,2025
25,25,2025-02-08,@,Binghamton,REG (Conf),W,78,71,,27,64,0.422,6,18,0.333,21,46,0.457,0.469,18,24,0.75,11,31,42,12,4,4,5,17,24,64,0.375,9,25,0.36,15,39,.385,0.445,14,20,0.7,8,26,34,11,4,1,4,17,1,1,0,bryant,2025
26,26,2025-02-13,,NJIT,REG (Conf),W,88,66,,37,69,0.536,6,21,0.286,31,48,0.646,0.58,8,17,0.471,11,28,39,19,9,6,8,13,25,70,0.357,7,25,0.28,18,45,.400,0.407,9,10,0.9,7,25,32,8,5,1,14,18,1,1,0,bryant,2025
27,27,2025-02-15,,UMBC,REG (Conf),W,81,79,,31,64,0.484,6,24,0.25,25,40,0.625,0.531,13,16,0.813,14,24,38,16,5,3,14,12,33,62,0.532,9,24,0.375,24,38,.632,0.605,4,8,0.5,4,21,25,17,7,2,12,16,1,1,0,bryant,2025
28,28,2025-02-20,@,Vermont,REG (Conf),L,55,59,,20,56,0.357,4,21,0.19,16,35,0.457,0.393,11,21,0.524,9,25,34,6,5,10,8,13,24,58,0.414,6,18,0.333,18,40,.450,0.466,5,9,0.556,7,29,36,7,4,7,8,18,0,1,0,bryant,2025
29,29,2025-02-27,@,UMass Lowell,REG (Conf),W,79,78,,28,67,0.418,9,27,0.333,19,40,0.475,0.485,14,19,0.737,8,23,31,18,8,6,11,15,30,64,0.469,8,24,0.333,22,40,.550,0.531,10,13,0.769,7,28,35,18,8,5,15,15,1,1,0,bryant,2025
