rk,game_num,date,Unnamed: 3_level_1,opponent,game_type,result,pts,pts_opp,Score_OT,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_fg2,opp_fg2a,opp_fg2_pct,opp_efg_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,win,is_regular_season,is_ncaa_tourney,team_abbrev,year
1,1,2025-11-03,N,Furman,REG (Non-Conf),W,97,71,,40,69,0.58,9,20,0.45,31,49,0.633,0.645,8,15,0.533,9,19,28,17,17,3,6,18,25,57,0.439,7,26,0.269,18,31,.581,0.5,14,19,0.737,14,24,38,13,1,3,22,16,1,1,0,high-point,2026
2,2,2025-11-08,,Averett,REG (Non-Conf),W,127,52,,45,64,0.703,8,17,0.471,37,47,0.787,0.766,29,40,0.725,10,29,39,27,22,6,11,20,15,50,0.3,4,17,0.235,11,33,.333,0.34,18,23,0.783,6,10,16,8,3,1,30,24,1,1,0,high-point,2026
3,3,2025-11-11,,Jacksonville,REG (Non-Conf),W,85,64,,27,62,0.435,8,24,0.333,19,38,0.5,0.5,23,30,0.767,9,26,35,15,9,4,3,14,22,60,0.367,9,34,0.265,13,26,.500,0.442,11,16,0.688,11,27,38,12,2,3,14,22,1,1,0,high-point,2026
4,4,2025-11-14,@,UAB,REG (Non-Conf),L,74,91,,24,60,0.4,4,23,0.174,20,37,0.541,0.433,22,31,0.71,8,25,33,16,8,3,15,23,30,59,0.508,4,13,0.308,26,46,.565,0.542,27,35,0.771,6,24,30,16,9,4,11,18,0,1,0,high-point,2026
5,5,2025-11-17,,Canisius,REG (Non-Conf),W,93,50,,36,62,0.581,13,32,0.406,23,30,0.767,0.685,8,10,0.8,6,22,28,21,15,4,6,22,15,49,0.306,4,17,0.235,11,32,.344,0.347,16,25,0.64,10,18,28,9,4,2,19,14,1,1,0,high-point,2026
6,6,2025-11-20,N,IllinoisâChicago,REG (Non-Conf),W,90,80,,25,55,0.455,10,28,0.357,15,27,0.556,0.545,30,37,0.811,8,15,23,19,13,0,9,20,29,59,0.492,5,23,0.217,24,36,.667,0.534,17,24,0.708,15,19,34,14,6,5,18,24,1,1,0,high-point,2026
7,7,2025-11-22,N,Incarnate Word,REG (Non-Conf),W,91,80,,30,56,0.536,5,18,0.278,25,38,0.658,0.58,26,31,0.839,13,21,34,14,7,2,8,19,26,61,0.426,11,29,0.379,15,32,.469,0.516,17,22,0.773,11,12,23,11,4,1,9,22,1,1,0,high-point,2026
8,8,2025-11-29,,Western Carolina,REG (Non-Conf),W,93,73,,33,58,0.569,12,25,0.48,21,33,0.636,0.672,15,21,0.714,8,20,28,12,10,0,14,17,27,56,0.482,8,25,0.32,19,31,.613,0.554,11,18,0.611,8,19,27,18,8,1,18,21,1,1,0,high-point,2026
9,9,2025-12-03,,Southern Illinois,REG (Non-Conf),L,84,86,,28,65,0.431,10,26,0.385,18,39,0.462,0.508,18,24,0.75,12,20,32,10,8,3,11,13,33,67,0.493,10,22,0.455,23,45,.511,0.567,10,14,0.714,10,29,39,20,8,6,12,18,0,1,0,high-point,2026
10,10,2025-12-05,,NJIT,REG (Non-Conf),W,89,72,,31,68,0.456,10,30,0.333,21,38,0.553,0.529,17,23,0.739,13,24,37,18,13,3,8,15,23,55,0.418,14,39,0.359,9,16,.563,0.545,12,16,0.75,6,26,32,16,4,1,17,19,1,1,0,high-point,2026
11,11,2025-12-14,N,Appalachian State,REG (Non-Conf),L,78,86,OT,26,75,0.347,11,44,0.25,15,31,0.484,0.42,15,27,0.556,15,23,38,15,5,1,8,26,27,57,0.474,13,27,0.481,14,30,.467,0.588,19,26,0.731,4,32,36,19,5,6,9,20,0,1,0,high-point,2026
12,12,2025-12-16,,Mary Baldwin,REG (Non-Conf),W,129,47,,44,69,0.638,16,31,0.516,28,38,0.737,0.754,25,33,0.758,13,33,46,24,16,6,7,14,18,53,0.34,5,20,0.25,13,33,.394,0.387,6,10,0.6,4,15,19,10,2,2,26,24,1,1,0,high-point,2026
13,13,2025-12-19,,La Salle,REG (Non-Conf),W,84,72,,25,52,0.481,13,27,0.481,12,25,0.48,0.606,21,28,0.75,7,21,28,15,8,5,8,21,21,48,0.438,4,11,0.364,17,37,.459,0.479,26,32,0.813,8,19,27,11,5,4,12,21,1,1,0,high-point,2026
14,14,2025-12-22,,Bryant,REG (Non-Conf),W,93,47,,31,51,0.608,9,20,0.45,22,31,0.71,0.696,22,32,0.688,14,21,35,17,16,6,13,16,18,44,0.409,3,16,0.188,15,28,.536,0.443,8,13,0.615,5,9,14,5,9,3,21,21,1,1,0,high-point,2026
15,15,2025-12-28,,Pfeiffer,REG (Non-Conf),W,123,64,,47,74,0.635,10,21,0.476,37,53,0.698,0.703,19,24,0.792,15,31,46,30,10,4,10,17,24,64,0.375,9,24,0.375,15,40,.375,0.445,7,13,0.538,5,15,20,12,6,2,14,19,1,1,0,high-point,2026
