rk,game_num,date,Unnamed: 3_level_1,opponent,game_type,result,pts,pts_opp,Score_OT,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_fg2,opp_fg2a,opp_fg2_pct,opp_efg_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,win,is_regular_season,is_ncaa_tourney,team_abbrev,year
1,1,2025-11-03,,Rider,REG (Non-Conf),W,87,53,,30,64,0.469,8,30,0.267,22,34,0.647,0.531,19,34,0.559,20,26,46,14,8,9,6,24,16,49,0.327,3,12,0.25,13,37,.351,0.357,18,29,0.621,9,17,26,7,3,2,13,24,1,1,0,virginia,2026
2,2,2025-11-07,,North Carolina Central,REG (Non-Conf),W,81,62,,28,61,0.459,14,36,0.389,14,25,0.56,0.574,11,19,0.579,17,27,44,22,4,11,11,19,19,60,0.317,6,14,0.429,13,46,.283,0.367,18,22,0.818,13,17,30,13,8,1,9,19,1,1,0,virginia,2026
3,3,2025-11-11,,Hampton,REG (Non-Conf),W,91,53,,33,60,0.55,11,22,0.5,22,38,0.579,0.642,14,17,0.824,15,29,44,22,8,9,13,14,20,63,0.317,6,26,0.231,14,37,.378,0.365,7,11,0.636,10,14,24,9,9,4,10,19,1,1,0,virginia,2026
4,4,2025-11-15,,Marshall,REG (Non-Conf),W,104,78,,33,63,0.524,12,28,0.429,21,35,0.6,0.619,26,36,0.722,9,23,32,18,9,4,9,20,26,60,0.433,7,24,0.292,19,36,.528,0.492,19,24,0.792,9,23,32,14,6,3,15,28,1,1,0,virginia,2026
5,5,2025-11-21,N,Northwestern,REG (Non-Conf),W,83,78,,24,64,0.375,5,24,0.208,19,40,0.475,0.414,30,36,0.833,16,26,42,8,4,4,11,22,27,58,0.466,7,16,0.438,20,42,.476,0.526,17,24,0.708,4,18,22,14,7,1,7,29,1,1,0,virginia,2026
6,6,2025-11-23,N,Butler,REG (Non-Conf),L,73,80,,29,71,0.408,8,27,0.296,21,44,0.477,0.465,7,15,0.467,14,19,33,6,6,11,8,20,27,56,0.482,6,15,0.4,21,41,.512,0.536,20,29,0.69,13,27,40,11,7,3,10,19,0,1,0,virginia,2026
7,7,2025-11-28,,Queens (NC),REG (Non-Conf),W,94,69,,32,60,0.533,15,33,0.455,17,27,0.63,0.658,15,22,0.682,14,24,38,24,7,8,8,17,24,63,0.381,9,29,0.31,15,34,.441,0.452,12,18,0.667,16,17,33,12,6,0,11,21,1,1,0,virginia,2026
8,8,2025-12-03,@,Texas,REG (Non-Conf),W,88,69,,28,52,0.538,12,24,0.5,16,28,0.571,0.654,20,29,0.69,7,22,29,18,5,4,6,20,24,59,0.407,4,19,0.211,20,40,.500,0.441,17,25,0.68,10,20,30,7,4,1,7,19,1,1,0,virginia,2026
9,9,2025-12-06,N,Dayton,REG (Non-Conf),W,86,73,,27,45,0.6,12,20,0.6,15,25,0.6,0.733,20,27,0.741,6,34,40,21,6,4,21,20,25,64,0.391,7,23,0.304,18,41,.439,0.445,16,22,0.727,7,15,22,11,11,2,9,21,1,1,0,virginia,2026
10,10,2025-12-09,,Maryland Eastern Shore,REG (Non-Conf),W,84,60,,30,62,0.484,13,31,0.419,17,31,0.548,0.589,11,15,0.733,9,23,32,16,11,7,7,12,25,54,0.463,3,12,0.25,22,42,.524,0.491,7,8,0.875,5,21,26,11,6,3,13,12,1,1,0,virginia,2026
