rk,game_num,date,Unnamed: 3_level_1,opponent,game_type,result,pts,pts_opp,Score_OT,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_fg2,opp_fg2a,opp_fg2_pct,opp_efg_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,win,is_regular_season,is_ncaa_tourney,team_abbrev,year
1,1,2014-11-14,,Presbyterian,REG (Non-Conf),W,113,44,,42,69,0.609,16,31,0.516,26,38,0.684,0.725,13,16,0.813,16,29,45,30,12,4,9,17,18,52,0.346,1,12,0.083,17,40,0.425,0.356,7,11,0.636,7,12,19,7,6,1,16,22,1,1,0,duke,2015
2,2,2014-11-15,,Fairfield,REG (Non-Conf),W,109,59,,40,62,0.645,9,22,0.409,31,40,0.775,0.718,20,28,0.714,12,26,38,22,12,4,12,17,22,53,0.415,2,14,0.143,20,39,0.513,0.434,13,17,0.765,5,13,18,9,4,1,17,20,1,1,0,duke,2015
3,3,2014-11-18,N,Michigan State,REG (Non-Conf),W,81,71,,27,50,0.54,7,14,0.5,20,36,0.556,0.61,20,26,0.769,4,18,22,15,6,5,8,16,30,60,0.5,5,20,0.25,25,40,0.625,0.542,6,10,0.6,12,21,33,15,2,0,13,22,1,1,0,duke,2015
4,4,2014-11-21,N,Temple,REG (Non-Conf),W,74,54,,25,64,0.391,7,23,0.304,18,41,0.439,0.445,17,26,0.654,13,24,37,14,9,5,9,16,22,59,0.373,1,12,0.083,21,47,0.447,0.381,9,13,0.692,10,24,34,6,5,6,17,24,1,1,0,duke,2015
5,5,2014-11-22,N,Stanford,REG (Non-Conf),W,70,59,,22,56,0.393,9,25,0.36,13,31,0.419,0.473,17,29,0.586,15,22,37,16,9,3,9,15,22,61,0.361,3,14,0.214,19,47,0.404,0.385,12,14,0.857,12,23,35,5,6,1,12,24,1,1,0,duke,2015
6,6,2014-11-26,,Furman,REG (Non-Conf),W,93,54,,38,66,0.576,11,29,0.379,27,37,0.73,0.659,6,10,0.6,13,26,39,24,5,4,7,17,19,56,0.339,6,18,0.333,13,38,0.342,0.393,10,12,0.833,9,16,25,10,2,3,14,15,1,1,0,duke,2015
7,7,2014-11-30,,Army,REG (Non-Conf),W,93,73,,31,60,0.517,4,19,0.211,27,41,0.659,0.55,27,37,0.73,16,25,41,20,9,4,10,17,26,57,0.456,7,16,0.438,19,41,0.463,0.518,14,18,0.778,5,19,24,14,4,0,14,24,1,1,0,duke,2015
8,8,2014-12-03,@,Wisconsin,REG (Non-Conf),W,80,70,,30,46,0.652,7,12,0.583,23,34,0.676,0.728,13,18,0.722,3,25,28,11,6,1,10,18,22,54,0.407,9,21,0.429,13,33,0.394,0.491,17,21,0.81,8,17,25,11,2,2,8,17,1,1,0,duke,2015
9,9,2014-12-15,,Elon,REG (Non-Conf),W,75,62,,29,56,0.518,3,16,0.188,26,40,0.65,0.545,14,27,0.519,13,25,38,14,12,5,17,14,25,59,0.424,5,19,0.263,20,40,0.5,0.466,7,8,0.875,6,20,26,11,9,0,19,20,1,1,0,duke,2015
10,10,2014-12-18,N,Connecticut,REG (Non-Conf),W,66,56,,18,48,0.375,5,19,0.263,13,29,0.448,0.427,25,34,0.735,12,25,37,10,7,5,17,16,23,54,0.426,3,12,0.25,20,42,0.476,0.454,7,13,0.538,8,20,28,5,7,4,13,24,1,1,0,duke,2015
