team_abbrev,team_name,seed,wins,exit_round,year
connecticut,UConn,1,6,Champion,2024
purdue,Purdue,1,5,Runner-up,2024
alabama,Alabama,4,4,F4,2024
north-carolina-state,NC State,11,4,F4,2024
clemson,Clemson,6,3,E8,2024
duke,Duke,4,3,E8,2024
tennessee,Tennessee,2,3,E8,2024
illinois,Illinois,3,3,E8,2024
iowa-state,Iowa State,2,2,S16,2024
arizona,Arizona,2,2,S16,2024
north-carolina,UNC,1,2,S16,2024
marquette,Marquette,2,2,S16,2024
creighton,Creighton,3,2,S16,2024
gonzaga,Gonzaga,5,2,S16,2024
houston,Houston,1,2,S16,2024
san-diego-state,San Diego State,5,2,S16,2024
oakland,Oakland,14,1,R32,2024
james-madison,James Madison,12,1,R32,2024
michigan-state,Michigan State,9,1,R32,2024
grand-canyon,Grand Canyon,12,1,R32,2024
duquesne,Duquesne,11,1,R32,2024
colorado,Colorado,10,1,R32,2024
texas,Texas,7,1,R32,2024
northwestern,Northwestern,9,1,R32,2024
oregon,Oregon,11,1,R32,2024
baylor,Baylor,3,1,R32,2024
kansas,Kansas,4,1,R32,2024
dayton,Dayton,7,1,R32,2024
washington-state,Washington State,7,1,R32,2024
yale,Yale,13,1,R32,2024
utah-state,Utah State,8,1,R32,2024
texas-am,Texas A&M,9,1,R32,2024
alabama-birmingham,UAB,12,0,R64,2024
western-kentucky,Western Kentucky,15,0,R64,2024
wagner,Wagner,16,0,R64,2024
auburn,Auburn,4,0,R64,2024
south-dakota-state,South Dakota State,15,0,R64,2024
mississippi-state,Mississippi State,8,0,R64,2024
saint-marys-ca,Saint Mary's,5,0,R64,2024
new-mexico,New Mexico,11,0,R64,2024
colgate,Colgate,14,0,R64,2024
nevada,Nevada,10,0,R64,2024
florida-atlantic,Florida Atlantic,8,0,R64,2024
college-of-charleston,College of Charleston,13,0,R64,2024
vermont,Vermont,13,0,R64,2024
florida,Florida,7,0,R64,2024
colorado-state,Colorado State,10,0,R64,2024
grambling,Grambling,16,0,R64,2024
texas-christian,TCU,9,0,R64,2024
mcneese-state,McNeese State,12,0,R64,2024
samford,Samford,13,0,R64,2024
south-carolina,South Carolina,6,0,R64,2024
morehead-state,Morehead State,14,0,R64,2024
akron,Akron,14,0,R64,2024
saint-peters,St. Peter's,15,0,R64,2024
kentucky,Kentucky,3,0,R64,2024
stetson,Stetson,16,0,R64,2024
longwood,Longwood,16,0,R64,2024
nebraska,Nebraska,8,0,R64,2024
wisconsin,Wisconsin,5,0,R64,2024
brigham-young,BYU,6,0,R64,2024
drake,Drake,10,0,R64,2024
texas-tech,Texas Tech,6,0,R64,2024
long-beach-state,Long Beach State,15,0,R64,2024
